Energy, Data
-1.89472,0
-1.86136,0
-1.82799,0
-1.79463,0
-1.76126,0
-1.7279,0
-1.69453,0
-1.66117,0
-1.6278,0
-1.59444,0
-1.56107,0
-1.52771,0
-1.49435,0
-1.46098,1
-1.42762,0
-1.39425,1
-1.36089,0
-1.32752,0
-1.29416,0
-1.26079,0
-1.22743,0
-1.19406,0
-1.1607,0
-1.12733,0
-1.09397,1
-1.0606,0
-1.02724,1
-0.993873,0
-0.960509,0
-0.927144,1
-0.893779,0
-0.860414,0
-0.827049,1
-0.793685,0
-0.76032,0
-0.726955,0
-0.69359,0
-0.660226,0
-0.626861,1
-0.593496,0
-0.560131,1
-0.526766,0
-0.493402,0
-0.460037,2
-0.426672,1
-0.393307,0
-0.359943,0
-0.326578,0
-0.293213,1
-0.259848,1
-0.226483,0
-0.193119,0
-0.159754,0
-0.126389,0
-0.0930243,0
-0.0596595,0
-0.0262948,0
0.00707001,0
0.0404348,1
0.0737996,0
0.107164,0
0.140529,0
0.173894,0
0.207259,0
0.240623,1
0.273988,0
0.307353,0
0.340718,0
0.374083,0
0.407447,0
0.440812,1
0.474177,0
0.507542,0
0.540906,0
0.574271,1
0.607636,1
0.641001,0
0.674366,0
0.70773,1
0.741095,1
0.77446,2
0.807825,1
0.84119,0
0.874554,1
0.907919,1
0.941284,0
0.974649,0
1.00801,0
1.04138,0
1.07474,0
1.10811,0
1.14147,0
1.17484,1
1.2082,2
1.24157,0
1.27493,0
1.3083,2
1.34166,0
1.37503,1
1.40839,2
1.44176,1
1.47512,4
1.50849,3
1.54185,1
1.57521,2
1.60858,4
1.64194,2
1.67531,3
1.70867,2
1.74204,4
1.7754,2
1.80877,3
1.84213,4
1.8755,1
1.90886,6
1.94223,3
1.97559,4
2.00896,2
2.04232,3
2.07569,5
2.10905,7
2.14242,3
2.17578,7
2.20915,7
2.24251,5
2.27588,7
2.30924,5
2.3426,5
2.37597,5
2.40933,9
2.4427,12
2.47606,15
2.50943,12
2.54279,20
2.57616,18
2.60952,28
2.64289,35
2.67625,38
2.70962,42
2.74298,59
2.77635,42
2.80971,61
2.84308,82
2.87644,88
2.90981,109
2.94317,93
2.97654,78
3.0099,98
3.04327,114
3.07663,111
3.10999,115
3.14336,101
3.17672,105
3.21009,88
3.24345,113
3.27682,98
3.31018,77
3.34355,85
3.37691,79
3.41028,79
3.44364,76
3.47701,73
3.51037,77
3.54374,83
3.5771,86
3.61047,71
3.64383,82
3.6772,56
3.71056,60
3.74393,79
3.77729,68
3.81065,66
3.84402,56
3.87738,73
3.91075,57
3.94411,56
3.97748,70
4.01084,60
4.04421,55
4.07757,34
4.11094,44
4.1443,52
4.17767,44
4.21103,43
4.2444,30
4.27776,43
4.31113,49
4.34449,41
4.37786,47
4.41122,42
4.44459,43
4.47795,38
4.51132,30
4.54468,33
4.57804,28
4.61141,38
4.64477,29
4.67814,38
4.7115,28
4.74487,30
4.77823,27
4.8116,26
4.84496,26
4.87833,25
4.91169,25
4.94506,22
4.97842,25
5.01179,29
5.04515,24
5.07852,28
5.11188,21
5.14525,22
5.17861,24
5.21198,26
5.24534,17
5.27871,28
5.31207,17
5.34543,21
5.3788,21
5.41216,25
5.44553,15
5.47889,25
5.51226,19
5.54562,19
5.57899,15
5.61235,16
5.64572,21
5.67908,22
5.71245,20
5.74581,20
5.77918,19
5.81254,17
5.84591,14
5.87927,21
5.91264,18
5.946,17
5.97937,16
6.01273,12
6.0461,17
6.07946,16
6.11282,16
6.14619,18
6.17955,12
6.21292,17
6.24628,12
6.27965,17
6.31301,19
6.34638,14
6.37974,11
6.41311,18
6.44647,11
6.47984,20
6.5132,14
6.54657,19
6.57993,14
6.6133,16
6.64666,17
6.68003,9
6.71339,19
6.74676,15
6.78012,13
6.81349,19
6.84685,19
6.88021,20
6.91358,11
6.94694,9
6.98031,11
7.01367,11
7.04704,23
7.0804,11
7.11377,17
7.14713,21
7.1805,16
7.21386,12
7.24723,10
7.28059,9
7.31396,12
7.34732,10
7.38069,7
7.41405,12
7.44742,14
7.48078,8
7.51415,15
7.54751,14
7.58087,16
7.61424,10
7.6476,15
7.68097,15
7.71433,11
7.7477,23
7.78106,7
7.81443,12
7.84779,10
7.88116,12
7.91452,15
7.94789,10
7.98125,11
8.01462,15
8.04798,9
8.08135,15
8.11471,11
8.14808,10
8.18144,11
8.21481,12
8.24817,6
8.28154,7
8.3149,13
8.34826,8
8.38163,8
8.41499,11
8.44836,14
8.48172,9
8.51509,9
8.54845,9
8.58182,10
8.61518,15
8.64855,17
8.68191,11
8.71528,20
8.74864,11
8.78201,11
8.81537,14
8.84874,13
8.8821,7
8.91547,9
8.94883,10
8.9822,12
9.01556,13
9.04893,8
9.08229,19
9.11565,15
9.14902,6
9.18238,7
9.21575,8
9.24911,6
9.28248,6
9.31584,9
9.34921,9
9.38257,8
9.41594,10
9.4493,3
9.48267,4
9.51603,9
9.5494,11
9.58276,3
9.61613,7
9.64949,8
9.68286,11
9.71622,9
9.74959,7
9.78295,18
9.81632,12
9.84968,11
9.88305,10
9.91641,12
9.94977,13
9.98314,10
10.0165,10
10.0499,12
10.0832,10
10.1166,9
10.15,14
10.1833,14
10.2167,8
10.2501,18
10.2834,8
10.3168,13
10.3502,13
10.3835,11
10.4169,12
10.4502,14
10.4836,8
10.517,10
10.5503,9
10.5837,5
10.6171,13
10.6504,6
10.6838,6
10.7172,10
10.7505,11
10.7839,6
10.8173,4
10.8506,5
10.884,8
10.9174,8
10.9507,5
10.9841,6
11.0174,3
11.0508,5
11.0842,7
11.1175,5
11.1509,5
11.1843,5
11.2176,4
11.251,6
11.2844,3
11.3177,6
11.3511,10
11.3845,5
11.4178,8
11.4512,7
11.4846,4
11.5179,7
11.5513,5
11.5846,13
11.618,7
11.6514,5
11.6847,9
11.7181,5
11.7515,4
11.7848,12
11.8182,5
11.8516,2
11.8849,1
11.9183,9
11.9517,6
11.985,9
12.0184,7
12.0518,5
12.0851,5
12.1185,7
12.1518,9
12.1852,4
12.2186,5
12.2519,2
12.2853,7
12.3187,1
12.352,9
12.3854,6
12.4188,7
12.4521,4
12.4855,5
12.5189,5
12.5522,4
12.5856,2
12.619,5
12.6523,5
12.6857,9
12.7191,6
12.7524,3
12.7858,4
12.8191,4
12.8525,3
12.8859,2
12.9192,7
12.9526,7
12.986,1
13.0193,3
13.0527,4
13.0861,9
13.1194,2
13.1528,4
13.1862,8
13.2195,1
13.2529,7
13.2863,6
13.3196,4
13.353,5
13.3863,7
13.4197,3
13.4531,7
13.4864,2
13.5198,3
13.5532,1
13.5865,6
13.6199,6
13.6533,5
13.6866,5
13.72,3
13.7534,4
13.7867,3
13.8201,5
13.8535,2
13.8868,4
13.9202,9
13.9535,4
13.9869,6
14.0203,4
14.0536,5
14.087,3
14.1204,4
14.1537,4
14.1871,2
14.2205,7
14.2538,9
14.2872,3
14.3206,6
14.3539,0
14.3873,6
14.4207,5
14.454,1
14.4874,6
14.5207,4
14.5541,4
14.5875,8
14.6208,3
14.6542,9
14.6876,3
14.7209,5
14.7543,7
14.7877,3
14.821,2
14.8544,5
14.8878,5
14.9211,5
14.9545,7
14.9879,7
15.0212,3
15.0546,6
15.088,4
15.1213,5
15.1547,5
15.188,3
15.2214,8
15.2548,3
15.2881,7
15.3215,6
15.3549,4
15.3882,8
15.4216,6
15.455,6
15.4883,8
15.5217,7
15.5551,4
15.5884,3
15.6218,2
15.6552,3
15.6885,4
15.7219,6
15.7552,3
15.7886,6
15.822,3
15.8553,5
15.8887,4
15.9221,2
15.9554,5
15.9888,4
16.0222,9
16.0555,8
16.0889,6
16.1223,3
16.1556,5
16.189,5
16.2224,3
16.2557,6
16.2891,5
16.3224,8
16.3558,2
16.3892,5
16.4225,4
16.4559,4
16.4893,5
16.5226,9
16.556,7
16.5894,7
16.6227,3
16.6561,5
16.6895,3
16.7228,3
16.7562,4
16.7896,7
16.8229,5
16.8563,8
16.8896,4
16.923,2
16.9564,4
16.9897,4
17.0231,5
17.0565,6
17.0898,6
17.1232,7
17.1566,8
17.1899,3
17.2233,8
17.2567,3
17.29,3
17.3234,7
17.3568,3
17.3901,5
17.4235,6
17.4569,6
17.4902,4
17.5236,10
17.5569,6
17.5903,10
17.6237,7
17.657,4
17.6904,4
17.7238,9
17.7571,7
17.7905,3
17.8239,9
17.8572,6
17.8906,10
17.924,6
17.9573,5
17.9907,5
18.0241,10
18.0574,7
18.0908,8
18.1241,7
18.1575,6
18.1909,4
18.2242,7
18.2576,6
18.291,7
18.3243,2
18.3577,7
18.3911,6
18.4244,8
18.4578,9
18.4912,3
18.5245,11
18.5579,5
18.5913,8
18.6246,6
18.658,12
18.6913,8
18.7247,6
18.7581,10
18.7914,10
18.8248,7
18.8582,8
18.8915,6
18.9249,11
18.9583,13
18.9916,8
19.025,9
19.0584,4
19.0917,8
19.1251,11
19.1585,3
19.1918,12
19.2252,7
19.2585,9
19.2919,4
19.3253,10
19.3586,8
19.392,5
19.4254,2
19.4587,5
19.4921,4
19.5255,8
19.5588,8
19.5922,9
19.6256,7
19.6589,10
19.6923,8
19.7257,10
19.759,7
19.7924,10
19.8258,11
19.8591,7
19.8925,10
19.9258,10
19.9592,10
19.9926,10
20.0259,11
20.0593,8
20.0927,9
20.126,7
20.1594,9
20.1928,6
20.2261,10
20.2595,12
20.2929,9
20.3262,6
20.3596,7
20.393,20
20.4263,9
20.4597,9
20.493,12
20.5264,8
20.5598,3
20.5931,9
20.6265,14
20.6599,10
20.6932,9
20.7266,10
20.76,9
20.7933,6
20.8267,11
20.8601,9
20.8934,9
20.9268,17
20.9602,10
20.9935,4
21.0269,10
21.0602,10
21.0936,10
21.127,9
21.1603,12
21.1937,16
21.2271,9
21.2604,11
21.2938,8
21.3272,9
21.3605,9
21.3939,15
21.4273,11
21.4606,12
21.494,9
21.5274,12
21.5607,15
21.5941,8
21.6274,14
21.6608,15
21.6942,16
21.7275,13
21.7609,20
21.7943,12
21.8276,7
21.861,11
21.8944,15
21.9277,13
21.9611,13
21.9945,12
22.0278,9
22.0612,15
22.0946,17
22.1279,14
22.1613,13
22.1946,10
22.228,23
22.2614,13
22.2947,15
22.3281,12
22.3615,18
22.3948,17
22.4282,15
22.4616,11
22.4949,17
22.5283,16
22.5617,14
22.595,15
22.6284,15
22.6618,14
22.6951,16
22.7285,10
22.7619,15
22.7952,11
22.8286,12
22.8619,21
22.8953,22
22.9287,16
22.962,21
22.9954,21
23.0288,21
23.0621,17
23.0955,15
23.1289,19
23.1622,21
23.1956,16
23.229,20
23.2623,18
23.2957,29
23.3291,11
23.3624,21
23.3958,19
23.4291,23
23.4625,18
23.4959,22
23.5292,22
23.5626,24
23.596,20
23.6293,28
23.6627,23
23.6961,29
23.7294,31
23.7628,22
23.7962,29
23.8295,23
23.8629,27
23.8963,20
23.9296,21
23.963,23
23.9963,21
24.0297,31
24.0631,20
24.0964,37
24.1298,28
24.1632,23
24.1965,30
24.2299,35
24.2633,29
24.2966,32
24.33,25
24.3634,42
24.3967,29
24.4301,21
24.4635,20
24.4968,34
24.5302,40
24.5635,23
24.5969,31
24.6303,38
24.6636,45
24.697,46
24.7304,38
24.7637,41
24.7971,31
24.8305,33
24.8638,28
24.8972,46
24.9306,44
24.9639,45
24.9973,49
25.0307,39
25.064,38
25.0974,34
25.1307,39
25.1641,30
25.1975,35
25.2308,41
25.2642,41
25.2976,43
25.3309,62
25.3643,47
25.3977,43
25.431,49
25.4644,41
25.4978,45
25.5311,73
25.5645,51
25.5979,54
25.6312,49
25.6646,46
25.698,53
25.7313,60
25.7647,59
25.798,45
25.8314,54
25.8648,58
25.8981,52
25.9315,50
25.9649,52
25.9982,59
26.0316,55
26.065,73
26.0983,53
