Energy, Data
-1.84748,0
-1.81381,0
-1.78014,0
-1.74648,0
-1.71281,0
-1.67914,0
-1.64548,0
-1.61181,0
-1.57814,0
-1.54448,0
-1.51081,0
-1.47714,2
-1.44348,0
-1.40981,0
-1.37614,1
-1.34248,0
-1.30881,0
-1.27514,0
-1.24148,0
-1.20781,0
-1.17414,1
-1.14048,0
-1.10681,0
-1.07314,0
-1.03948,0
-1.00581,0
-0.972145,0
-0.938479,0
-0.904812,0
-0.871145,0
-0.837479,1
-0.803812,0
-0.770146,0
-0.736479,0
-0.702813,1
-0.669146,0
-0.63548,1
-0.601813,0
-0.568146,0
-0.53448,0
-0.500813,0
-0.467147,1
-0.43348,0
-0.399814,1
-0.366147,0
-0.332481,1
-0.298814,0
-0.265148,0
-0.231481,1
-0.197814,0
-0.164148,1
-0.130481,0
-0.0968148,0
-0.0631482,0
-0.0294816,0
0.0041849,1
0.0378515,0
0.071518,0
0.105185,0
0.138851,0
0.172518,0
0.206184,0
0.239851,0
0.273517,1
0.307184,0
0.34085,0
0.374517,1
0.408184,1
0.44185,0
0.475517,2
0.509183,0
0.54285,1
0.576516,0
0.610183,0
0.643849,0
0.677516,0
0.711182,0
0.744849,2
0.778516,2
0.812182,0
0.845849,0
0.879515,1
0.913182,0
0.946848,4
0.980515,1
1.01418,2
1.04785,1
1.08151,0
1.11518,1
1.14885,1
1.18251,1
1.21618,0
1.24985,0
1.28351,0
1.31718,0
1.35085,1
1.38451,2
1.41818,1
1.45185,2
1.48551,0
1.51918,0
1.55285,2
1.58651,1
1.62018,1
1.65385,2
1.68751,1
1.72118,2
1.75485,0
1.78851,3
1.82218,7
1.85585,1
1.88951,0
1.92318,4
1.95684,3
1.99051,4
2.02418,3
2.05784,5
2.09151,3
2.12518,3
2.15884,1
2.19251,7
2.22618,4
2.25984,6
2.29351,9
2.32718,6
2.36084,7
2.39451,2
2.42818,5
2.46184,3
2.49551,8
2.52918,3
2.56284,7
2.59651,9
2.63018,12
2.66384,15
2.69751,25
2.73118,30
2.76484,38
2.79851,41
2.83218,61
2.86584,60
2.89951,83
2.93317,78
2.96684,100
3.00051,93
3.03417,92
3.06784,120
3.10151,111
3.13517,105
3.16884,107
3.20251,95
3.23617,118
3.26984,97
3.30351,99
3.33717,109
3.37084,104
3.40451,100
3.43817,91
3.47184,88
3.50551,104
3.53917,82
3.57284,101
3.60651,83
3.64017,88
3.67384,78
3.70751,70
3.74117,74
3.77484,83
3.80851,71
3.84217,80
3.87584,74
3.9095,74
3.94317,74
3.97684,57
4.0105,68
4.04417,50
4.07784,58
4.1115,47
4.14517,56
