Energy, Data
16.9864,0
17.3333,0
17.6802,0
18.0272,0
18.3742,0
18.7212,0
19.0683,0
19.4155,0
19.7626,0
20.1098,0
20.4571,0
20.8043,0
21.1516,0
21.499,0
21.8464,0
22.1938,0
22.5413,0
22.8888,0
23.2363,0
23.5839,0
23.9315,0
24.2792,0
24.6269,0
24.9746,0
25.3224,0
25.6702,0
26.0181,0
26.366,0
26.7139,0
27.0618,0
27.4098,0
27.7579,0
28.106,0
28.4541,0
28.8022,0
29.1504,1
29.4987,0
29.8469,0
30.1952,0
30.5436,0
30.892,0
31.2404,1
31.5888,1
31.9373,0
32.2859,0
32.6345,0
32.9831,0
33.3317,0
33.6804,0
34.0291,0
34.3779,0
34.7267,1
35.0755,1
35.4244,1
35.7733,0
36.1223,1
36.4713,2
36.8203,3
37.1694,1
37.5185,0
37.8677,1
38.2168,1
38.5661,0
38.9153,3
39.2646,2
39.614,1
39.9633,1
40.3128,2
40.6622,2
41.0117,1
41.3612,1
41.7108,3
42.0604,2
42.41,2
42.7597,3
43.1094,1
43.4592,0
43.809,1
44.1588,3
44.5087,1
44.8586,1
45.2086,1
45.5586,3
45.9086,4
46.2586,1
46.6087,4
46.9589,1
47.3091,2
47.6593,6
48.0095,4
48.3598,0
48.7102,1
49.0605,5
49.4109,1
49.7614,3
50.1119,5
50.4624,1
50.8129,3
51.1635,3
51.5142,5
51.8649,5
52.2156,8
52.5663,3
52.9171,4
53.2679,6
53.6188,9
53.9697,5
54.3206,6
54.6716,5
55.0226,6
55.3737,8
55.7248,7
56.0759,10
56.4271,6
56.7783,10
57.1296,6
57.4808,9
57.8322,6
58.1835,8
58.5349,16
58.8864,15
59.2378,19
59.5893,12
59.9409,16
60.2925,10
60.6441,14
60.9958,15
61.3475,13
61.6992,13
62.051,13
62.4028,17
62.7547,19
63.1066,17
63.4585,17
63.8105,20
64.1625,14
64.5146,27
64.8666,28
65.2188,31
65.5709,26
65.9231,41
66.2754,53
66.6276,62
66.98,61
67.3323,56
67.6847,72
68.0371,87
68.3896,103
68.7421,127
69.0947,143
69.4472,209
69.7999,236
70.1525,261
70.5052,304
70.858,343
71.2107,477
71.5635,482
71.9164,605
72.2693,650
72.6222,758
72.9752,851
73.3282,894
73.6812,985
74.0343,1046
74.3874,1136
74.7406,1232
75.0938,1191
75.447,1414
75.8003,1468
76.1536,1460
76.5069,1587
76.8603,1623
77.2137,1720
77.5672,1715
77.9207,1848
78.2742,1796
78.6278,1822
78.9814,1847
79.3351,1907
79.6888,1842
80.0425,1951
80.3963,1989
80.7501,2052
81.1039,2054
81.4578,2053
81.8117,2062
82.1657,2162
82.5197,2216
82.8737,2163
83.2278,2194
83.5819,2219
83.936,2144
84.2902,2201
84.6444,2362
84.9987,2347
85.353,2418
85.7073,2557
86.0617,2523
86.4161,2644
86.7706,2640
87.1251,2702
87.4796,2991
87.8342,2982
88.1888,3106
88.5434,3173
88.8981,3258
89.2528,3533
89.6076,3607
89.9624,3604
90.3172,3823
90.6721,4062
91.027,4307
91.382,4240
91.737,4500
92.092,4559
92.447,4790
92.8021,4976
93.1573,4976
93.5125,5187
93.8677,5092
94.2229,5188
94.5782,5504
94.9336,5273
95.2889,5413
95.6443,5399
95.9998,5407
96.3553,5386
96.7108,5290
97.0664,5280
97.422,5269
97.7776,5219
98.1333,5113
98.489,5002
98.8447,4829
99.2005,4866
99.5564,4709
99.9122,4442
100.268,4561
100.624,4257
100.98,4322
101.336,4179
101.692,3954
102.048,3962
102.404,3945
102.761,3844
103.117,3824
103.473,3668
103.829,3641
104.186,3651
104.542,3588
104.898,3405
105.255,3507
105.611,3419
105.968,3487
106.324,3281
106.681,3364
107.038,3234
107.394,3266
107.751,3144
108.108,3032
108.464,3166
108.821,2967
109.178,2921
109.535,2875
109.892,2839
110.249,2688
110.606,2651
110.963,2618
111.32,2618
111.677,2481
112.034,2407
112.392,2321
112.749,2197
113.106,2254
113.463,2227
113.821,2210
114.178,2081
114.536,2055
114.893,2019
115.251,1954
115.608,2011
115.966,1927
116.323,1989
116.681,1905
117.039,1906
117.396,1797
117.754,1880
118.112,1846
118.47,1843
118.828,1779
119.186,1745
119.544,1775
119.902,1794
120.26,1784
120.618,1781
120.976,1700
121.334,1725
121.692,1703
122.05,1802
122.409,1703
122.767,1654
123.125,1728
123.484,1746
123.842,1692
124.201,1776
124.559,1674
124.918,1632
125.276,1688
125.635,1781
125.994,1709
126.352,1677
126.711,1767
127.07,1680
127.429,1679
127.787,1731
128.146,1678
128.505,1677
128.864,1734
129.223,1691
129.582,1697
129.941,1640
130.3,1687
130.66,1696
131.019,1730
131.378,1701
131.737,1695
132.097,1784
132.456,1663
132.815,1695
133.175,1715
133.534,1714
133.894,1726
134.253,1756
134.613,1644
134.972,1759
135.332,1636
135.692,1721
136.051,1769
136.411,1767
136.771,1735
137.131,1735
137.491,1697
137.851,1732
138.211,1773
138.57,1702
138.931,1687
139.291,1746
