Energy, Data
18.9628,0
19.3097,0
19.6566,0
20.0036,0
20.3506,0
20.6977,0
21.0448,0
21.3919,0
21.739,0
22.0862,0
22.4335,0
22.7808,0
23.1281,0
23.4754,0
23.8228,0
24.1702,0
24.5177,0
24.8652,0
25.2128,0
25.5603,0
25.908,0
26.2556,0
26.6033,0
26.9511,0
27.2988,0
27.6466,0
27.9945,0
28.3424,0
28.6903,0
29.0383,0
29.3863,0
29.7343,0
30.0824,0
30.4305,0
30.7787,0
31.1269,0
31.4751,1
31.8234,1
32.1717,0
32.52,1
32.8684,1
33.2168,0
33.5653,1
33.9138,0
34.2623,2
34.6109,1
34.9595,0
35.3081,0
35.6568,2
36.0056,2
36.3543,2
36.7031,0
37.052,0
37.4009,1
37.7498,1
38.0987,1
38.4477,2
38.7968,3
39.1458,1
39.4949,0
39.8441,1
40.1933,1
40.5425,1
40.8918,4
41.2411,1
41.5904,2
41.9398,2
42.2892,1
42.6386,2
42.9881,3
43.3377,3
43.6872,5
44.0368,1
44.3865,4
44.7362,1
45.0859,2
45.4356,3
45.7854,2
46.1353,5
46.4851,2
46.835,4
47.185,3
47.535,4
47.885,4
48.2351,4
48.5852,4
48.9353,2
49.2855,6
49.6357,7
49.986,7
50.3363,4
50.6866,5
51.037,5
51.3874,8
51.7378,4
52.0883,9
52.4388,4
52.7894,6
53.14,5
53.4906,4
53.8413,6
54.192,6
54.5427,9
54.8935,13
55.2444,11
55.5952,7
55.9461,5
56.2971,2
56.648,5
56.9991,10
57.3501,9
57.7012,10
58.0523,11
58.4035,11
58.7547,14
59.106,15
59.4573,12
59.8086,13
60.1599,16
60.5113,15
60.8628,18
61.2143,15
61.5658,23
61.9173,18
62.2689,17
62.6205,21
62.9722,18
63.3239,16
63.6757,23
64.0274,37
64.3793,25
64.7311,25
65.083,26
65.435,35
65.7869,40
66.1389,31
66.491,51
66.8431,37
67.1952,41
67.5474,47
67.8996,66
68.2518,55
68.6041,74
68.9564,61
69.3087,85
69.6611,119
70.0136,114
70.366,148
70.7185,179
71.0711,204
71.4237,248
71.7763,272
72.129,340
72.4817,429
72.8344,487
73.1872,559
73.54,620
73.8928,702
74.2457,872
74.5986,916
74.9516,1046
75.3046,1096
75.6576,1192
76.0107,1326
76.3638,1427
76.717,1505
77.0702,1510
77.4234,1742
77.7767,1754
78.13,1854
78.4834,1890
78.8367,2043
79.1902,2092
79.5436,2188
79.8971,2242
80.2507,2302
80.6042,2273
80.9578,2382
81.3115,2403
81.6652,2426
82.0189,2561
82.3727,2539
82.7265,2469
83.0803,2484
83.4342,2522
83.7881,2567
84.1421,2713
84.4961,2578
84.8501,2699
85.2042,2714
85.5583,2775
85.9125,2764
86.2666,2828
86.6209,2951
86.9751,3028
87.3294,3048
87.6838,3032
88.0381,3059
88.3926,3305
88.747,3243
89.1015,3481
89.456,3571
89.8106,3659
90.1652,3787
90.5199,4035
90.8745,3977
91.2293,4293
91.584,4384
91.9388,4605
92.2937,4601
92.6485,4844
93.0034,5094
93.3584,5158
93.7134,5420
94.0684,5536
94.4235,5657
94.7786,5728
95.1337,5872
95.4889,6148
95.8441,6097
96.1994,6132
96.5547,6298
96.91,6345
97.2654,6443
97.6208,6394
97.9762,6183
98.3317,6152
98.6872,6235
99.0428,6219
99.3984,6181
99.754,6041
100.11,5716
100.465,5516
100.821,5662
101.177,5710
101.533,5482
101.889,5261
102.245,5180
102.6,5137
102.956,5047
103.312,4892
103.669,4879
104.025,4660
104.381,4632
104.737,4550
105.093,4584
105.449,4375
105.806,4441
106.162,4320
106.518,4338
106.875,4251
107.231,4316
107.588,4213
107.944,4193
108.301,4147
108.657,4077
109.014,4041
109.371,4022
109.727,3870
110.084,3889
110.441,3758
110.798,3626
111.155,3653
111.511,3576
111.868,3470
112.225,3399
112.582,3186
112.939,3260
113.297,3198
113.654,3083
114.011,2946
114.368,2947
114.725,2962
115.083,2881
115.44,2816
115.797,2731
116.155,2754
116.512,2616
116.87,2567
117.227,2502
117.585,2479
117.942,2448
118.3,2437
118.657,2506
119.015,2397
119.373,2360
119.731,2413
120.088,2407
120.446,2331
120.804,2353
121.162,2267
121.52,2337
121.878,2339
122.236,2235
122.594,2352
122.952,2319
123.31,2333
123.669,2290
124.027,2258
124.385,2239
124.743,2265
125.102,2307
125.46,2207
125.819,2251
126.177,2277
126.536,2229
126.894,2245
127.253,2186
127.611,2301
127.97,2196
128.329,2247
128.687,2313
129.046,2271
129.405,2202
129.764,2293
130.123,2282
130.482,2282
130.841,2254
131.2,2256
131.559,2317
131.918,2330
132.277,2293
132.636,2376
132.995,2311
133.354,2309
133.714,2341
134.073,2254
134.432,2262
134.792,2307
135.151,2259
135.511,2308
135.87,2388
136.23,2328
136.589,2275
136.949,2358
137.308,2360
137.668,2342
138.028,2331
138.388,2392
138.747,2342
139.107,2351
139.467,2373
139.827,2348
140.187,2388
140.547,2260
140.907,2402
141.267,2441
141.627,2413
141.987,2438
