Energy, Data
-6.3873,0
-6.02434,0
-5.66135,0
-5.29831,0
-4.93524,0
-4.57212,0
-4.20897,0
-3.84578,0
-3.48256,0
-3.11929,0
-2.75599,0
-2.39265,0
-2.02927,0
-1.66585,0
-1.30239,0
-0.9389,0
-0.575367,0
-0.211797,0
0.151812,0
0.515459,0
0.879144,0
1.24287,0
1.60663,0
1.97043,0
2.33427,0
2.69814,0
3.06206,0
3.42601,0
3.79,0
4.15403,0
4.51809,0
4.8822,0
5.24634,0
5.61052,0
5.97474,0
6.339,0
6.7033,0
7.06763,0
7.432,1
7.79641,1
8.16086,0
8.52535,1
8.88988,1
9.25444,0
9.61904,0
9.98368,3
10.3484,1
10.7131,3
11.0778,0
11.4426,1
11.8074,0
12.1723,0
12.5372,1
12.9022,0
13.2672,1
13.6322,2
13.9972,1
14.3623,2
14.7275,0
15.0926,1
15.4579,0
15.8231,2
16.1884,0
16.5537,3
16.9191,1
17.2845,0
17.6499,3
18.0154,2
18.3809,1
18.7465,3
19.1121,1
19.4777,0
19.8434,1
20.2091,1
20.5748,4
20.9406,0
21.3064,1
21.6723,0
22.0382,2
22.4041,6
22.7701,5
23.1361,4
23.5022,1
23.8683,3
24.2344,2
24.6006,2
24.9668,2
25.333,4
25.6993,3
26.0656,5
26.432,1
26.7984,5
27.1648,3
27.5313,3
27.8978,3
28.2643,1
28.6309,4
28.9975,6
29.3642,5
29.7309,3
30.0976,4
30.4644,5
30.8312,4
31.1981,3
31.565,4
31.9319,6
32.2989,7
32.6659,5
33.0329,11
33.4,8
33.7671,5
34.1343,11
34.5015,10
34.8687,3
35.236,8
35.6033,6
35.9707,10
36.3381,10
36.7055,7
37.0729,8
37.4404,18
37.808,18
38.1756,14
38.5432,16
38.9108,10
39.2785,12
39.6463,14
40.014,15
40.3818,20
40.7497,22
41.1176,25
41.4855,20
41.8535,24
42.2215,24
42.5895,20
42.9576,30
43.3257,34
43.6938,27
44.062,38
44.4303,40
44.7985,42
45.1668,54
45.5352,60
45.9035,82
46.272,90
46.6404,89
47.0089,107
47.3775,145
47.746,164
48.1146,220
48.4833,228
48.852,270
49.2207,342
49.5895,370
49.9583,429
50.3271,530
50.696,621
51.0649,723
51.4338,849
51.8028,919
52.1719,1013
52.5409,1111
52.91,1218
53.2792,1367
53.6484,1389
54.0176,1553
54.3868,1660
54.7561,1724
55.1255,1879
55.4949,1902
55.8643,2077
56.2337,2161
56.6032,2280
56.9727,2404
57.3423,2373
57.7119,2540
58.0815,2632
58.4512,2598
58.8209,2581
59.1907,2664
59.5605,2710
59.9303,2811
60.3002,2688
60.6701,2856
61.04,2750
61.41,2846
61.78,2783
62.1501,2897
62.5202,2870
62.8903,2767
63.2605,2944
63.6307,2837
64.001,2948
64.3713,2854
64.7416,2929
65.112,2951
65.4824,3033
65.8528,2947
66.2233,3074
66.5938,3064
66.9644,3055
67.335,3384
67.7056,3360
68.0763,3449
68.447,3474
68.8177,3527
69.1885,3654
69.5593,3867
69.9302,3901
70.3011,3989
70.672,4103
71.043,4269
71.414,4315
71.7851,4415
72.1562,4490
72.5273,4609
72.8985,4711
73.2697,4710
73.6409,4782
74.0122,4758
74.3835,4852
74.7549,4898
75.1263,4881
75.4977,4945
75.8692,4695
76.2407,4823
76.6122,4839
76.9838,4769
77.3555,4623
77.7271,4689
78.0988,4558
78.4706,4548
78.8423,4301
79.2142,4321
79.586,4163
79.9579,4111
80.3298,4010
80.7018,3873
81.0738,3801
81.4459,3848
81.8179,3668
82.1901,3564
82.5622,3538
82.9344,3557
83.3067,3491
83.6789,3418
84.0512,3234
84.4236,3186
84.796,3292
85.1684,3295
85.5409,3259
85.9134,3146
86.2859,3167
86.6585,3122
87.0311,3071
87.4038,3061
87.7765,2964
88.1492,3048
88.522,2873
88.8948,2827
89.2676,2797
89.6405,2614
90.0135,2748
90.3864,2600
90.7594,2689
91.1324,2653
91.5055,2448
91.8786,2361
92.2518,2420
92.625,2366
92.9982,2307
93.3715,2251
93.7448,2267
94.1181,2244
94.4915,2110
94.8649,2134
95.2384,2099
95.6119,2125
95.9854,2052
96.359,2011
96.7326,2081
97.1063,1982
97.4799,1972
97.8537,1935
98.2274,1989
98.6012,1914
98.9751,1902
99.349,1991
99.7229,1896
100.097,1924
100.471,1932
100.845,1844
101.219,1876
101.593,1854
101.967,1907
102.341,1902
102.716,1860
