Energy, Data
15.7084,0
16.0553,0
16.4022,0
16.7492,0
17.0962,0
17.4433,0
17.7903,0
18.1375,0
18.4846,0
18.8318,0
19.1791,0
19.5264,0
19.8737,0
20.221,0
20.5684,0
20.9158,0
21.2633,0
21.6108,0
21.9584,0
22.3059,0
22.6536,0
23.0012,0
23.3489,0
23.6966,0
24.0444,0
24.3922,0
24.7401,0
25.088,0
25.4359,0
25.7839,0
26.1319,0
26.4799,0
26.828,0
27.1761,0
27.5243,0
27.8724,0
28.2207,1
28.5689,0
28.9173,1
29.2656,1
29.614,2
29.9624,0
30.3109,1
30.6594,1
31.0079,1
31.3565,2
31.7051,1
32.0537,0
32.4024,1
32.7512,0
33.0999,0
33.4487,0
33.7976,0
34.1464,1
34.4954,2
34.8443,0
35.1933,1
35.5423,0
35.8914,2
36.2405,0
36.5897,0
36.9389,0
37.2881,1
37.6373,1
37.9866,0
38.336,0
38.6854,0
39.0348,3
39.3842,1
39.7337,1
40.0832,1
40.4328,1
40.7824,3
41.1321,1
41.4817,0
41.8315,1
42.1812,0
42.531,2
42.8809,0
43.2307,2
43.5806,1
43.9306,0
44.2806,3
44.6306,2
44.9807,2
45.3308,1
45.6809,2
46.0311,0
46.3813,1
46.7316,1
47.0818,2
47.4322,2
47.7825,3
48.1329,2
48.4834,4
48.8339,2
49.1844,0
49.535,3
49.8856,3
50.2362,3
50.5869,4
50.9376,6
51.2883,1
51.6391,5
51.9899,5
52.3408,6
52.6917,11
53.0427,4
53.3936,3
53.7447,7
54.0957,4
54.4468,4
54.7979,11
55.1491,8
55.5003,8
55.8516,5
56.2029,9
56.5542,7
56.9055,6
57.2569,8
57.6084,13
57.9599,8
58.3114,13
58.6629,13
59.0145,16
59.3661,12
59.7178,16
60.0695,15
60.4212,15
60.773,24
61.1249,7
61.4767,15
61.8286,20
62.1805,14
62.5325,10
62.8845,24
63.2366,15
63.5887,35
63.9408,29
64.2929,23
64.6451,33
64.9974,52
65.3497,36
65.702,56
66.0543,68
66.4067,75
66.7592,78
67.1116,96
67.4641,126
67.8167,168
68.1693,175
68.5219,234
68.8745,270
69.2272,295
69.58,361
69.9328,417
70.2856,462
70.6384,523
70.9913,613
71.3442,722
71.6972,721
72.0502,802
72.4032,834
72.7563,981
73.1094,1061
73.4626,1145
73.8158,1259
74.169,1236
74.5223,1386
74.8756,1467
75.2289,1465
75.5823,1592
75.9358,1578
76.2892,1537
76.6427,1657
76.9962,1675
77.3498,1734
77.7034,1799
78.0571,1763
78.4108,1856
78.7645,1790
79.1183,1826
79.4721,1873
79.8259,1917
80.1798,1904
80.5337,1876
80.8877,1965
81.2417,1914
81.5957,2077
81.9498,1999
82.3039,2059
82.658,2136
83.0122,2071
83.3665,2155
83.7207,2149
84.075,2165
84.4294,2292
84.7837,2363
85.1382,2388
85.4926,2386
85.8471,2566
86.2016,2511
86.5562,2819
86.9108,2758
87.2654,2881
87.6201,2948
87.9749,3121
88.3296,3244
88.6844,3340
89.0392,3465
89.3941,3604
89.749,3833
90.104,3898
90.459,4079
90.814,4156
91.1691,4353
91.5242,4480
91.8793,4587
92.2345,4578
92.5897,4643
92.945,4729
93.3002,4797
93.6556,4987
94.0109,5016
94.3664,5115
94.7218,5037
95.0773,5033
95.4328,5048
95.7884,5110
96.144,5003
96.4996,4872
96.8553,4857
97.211,4832
97.5667,4724
97.9225,4531
98.2784,4529
98.6342,4405
98.9901,4342
99.3461,4173
99.7021,4034
100.058,4024
100.414,3822
100.77,3875
101.126,3742
101.483,3585
101.839,3622
102.195,3525
102.551,3440
102.908,3377
103.264,3375
103.62,3435
