Energy, Data
3.06284,0
3.40974,0
3.75667,0
4.10364,0
4.45065,0
4.7977,0
5.14478,0
5.49191,0
5.83907,0
6.18627,0
6.53351,0
6.88078,0
7.2281,0
7.57545,0
7.92284,0
8.27027,0
8.61774,0
8.96525,0
9.31279,0
9.66037,0
10.008,0
10.3556,0
10.7033,0
11.0511,0
11.3989,0
11.7467,0
12.0945,0
12.4424,0
12.7903,0
13.1383,0
13.4863,0
13.8343,0
14.1824,0
14.5305,0
14.8787,0
15.2269,0
15.5751,1
15.9234,1
16.2717,1
16.62,1
16.9684,0
17.3168,1
17.6653,1
18.0138,1
18.3623,0
18.7109,0
19.0595,1
19.4082,0
19.7569,2
20.1056,1
20.4543,0
20.8032,1
21.152,1
21.5009,2
21.8498,0
22.1988,0
22.5477,0
22.8968,1
23.2458,0
23.595,0
23.9441,0
24.2933,1
24.6425,2
24.9918,0
25.3411,0
25.6904,2
26.0398,3
26.3892,0
26.7387,3
27.0881,1
27.4377,0
27.7872,2
28.1369,1
28.4865,2
28.8362,2
29.1859,2
29.5357,1
29.8855,2
30.2353,1
30.5852,2
30.9351,2
31.285,2
31.635,2
31.985,1
32.3351,1
32.6852,3
33.0353,3
33.3855,1
33.7357,5
34.086,3
34.4363,1
34.7866,2
35.137,2
35.4874,1
35.8378,4
36.1883,3
36.5388,3
36.8894,8
37.24,4
37.5906,9
37.9413,7
38.292,1
38.6428,2
38.9936,4
39.3444,1
39.6952,2
40.0462,8
40.3971,3
40.7481,3
41.0991,7
41.4501,7
41.8012,4
42.1524,4
42.5035,4
42.8548,2
43.206,5
43.5573,12
43.9086,5
44.26,6
44.6114,9
44.9628,11
45.3143,10
45.6658,7
46.0173,6
46.3689,8
46.7206,18
47.0722,9
47.4239,13
47.7757,15
48.1275,10
48.4793,12
48.8311,18
49.183,19
49.535,23
49.8869,20
50.239,23
50.591,26
50.9431,26
51.2952,33
51.6474,22
51.9996,50
52.3518,44
52.7041,46
53.0564,44
53.4088,56
53.7612,80
54.1136,97
54.4661,110
54.8186,119
55.1711,155
55.5237,178
55.8763,210
56.229,275
56.5817,300
56.9344,403
57.2872,458
57.64,503
57.9928,588
58.3457,632
58.6987,746
59.0516,823
59.4046,912
59.7577,1010
60.1108,1048
60.4639,1148
60.817,1299
61.1702,1324
61.5234,1451
61.8767,1603
62.23,1604
62.5834,1718
62.9368,1803
63.2902,1967
63.6436,1894
63.9971,1979
64.3507,2128
64.7043,2202
65.0579,2313
65.4115,2299
65.7652,2329
66.1189,2372
66.4727,2439
66.8265,2455
67.1804,2448
67.5342,2500
67.8882,2516
68.2421,2450
68.5961,2577
68.9501,2521
69.3042,2546
69.6583,2557
70.0125,2534
70.3667,2550
70.7209,2632
71.0751,2662
71.4295,2650
71.7838,2705
72.1382,2607
72.4926,2645
72.847,2584
73.2015,2783
73.5561,2845
73.9106,2702
74.2652,2871
74.6199,2768
74.9746,2999
75.3293,3061
75.684,3067
76.0388,3195
76.3937,3299
76.7486,3306
77.1035,3411
77.4584,3607
77.8134,3735
78.1684,3792
78.5235,3859
78.8786,3977
79.2337,4104
79.5889,4119
79.9441,4272
80.2994,4215
80.6547,4408
81.01,4423
81.3654,4675
81.7208,4697
82.0762,4641
82.4317,4647
82.7872,4702
83.1428,4576
83.4984,4781
83.854,4806
84.2097,4786
84.5654,4705
84.9212,4636
85.277,4513
85.6328,4407
85.9887,4294
86.3446,4290
86.7005,4369
87.0565,4131
87.4125,3962
87.7686,3933
88.1247,3846
88.4808,3679
88.837,3697
89.1932,3661
89.5494,3478
89.9057,3402
90.262,3453
90.6184,3386
90.9748,3357
91.3312,3246
91.6877,3308
92.0442,3152
92.4008,3175
92.7574,3219
93.114,3010
93.4707,3120
93.8274,2997
94.1841,2948
94.5409,2914
94.8977,2877
95.2546,2856
95.6115,2905
95.9684,2855
96.3254,2729
96.6824,2699
97.0395,2698
97.3966,2611
97.7537,2611
98.1108,2468
98.468,2552
98.8253,2331
99.1826,2216
99.5399,2260
99.8972,2218
100.255,2162
100.612,2241
100.97,2076
101.327,2029
101.685,2006
102.042,1935
102.4,2028
102.757,1892
103.115,1912
103.473,1815
103.831,1870
104.188,1851
104.546,1810
104.904,1813
105.262,1797
105.62,1745
105.978,1774
106.336,1703
106.694,1747
107.052,1724
107.411,1847
107.769,1697
108.127,1763
108.485,1691
108.844,1714
109.202,1684
109.56,1739
109.919,1700
110.277,1736
110.636,1702
110.994,1631
111.353,1735
111.711,1713
112.07,1697
112.429,1690
112.787,1749
113.146,1668
113.505,1665
113.864,1704
114.223,1715
114.582,1724
114.941,1609
115.3,1642
115.659,1620
116.018,1722
116.377,1654
116.736,1594
117.095,1581
117.454,1598
117.814,1698
118.173,1726
118.532,1699
118.892,1651
119.251,1751
119.611,1657
119.97,1666
120.33,1738
120.689,1608
121.049,1694
121.408,1705
121.768,1643
122.128,1694
122.488,1736
122.847,1677
123.207,1730
123.567,1806
123.927,1729
124.287,1746
124.647,1728
125.007,1778
125.367,1690
125.727,1741
126.087,1784
126.447,1676
126.808,1672
127.168,1704
127.528,1712
127.889,1758
128.249,1678
128.609,1773
128.97,1756
129.33,1727
129.691,1684
130.051,1794
130.412,1717
130.773,1716
131.133,1775
131.494,1796
131.855,1734
132.216,1653
132.576,1667
132.937,1782
133.298,1789
133.659,1707
134.02,1824
134.381,1797
134.742,1779
135.103,1775
135.464,1751
135.826,1891
136.187,1855
136.548,1835
136.909,1768
137.271,1759
137.632,1787
137.993,1837
138.355,1776
138.716,1817
139.078,1775
139.439,1827
139.801,1791
140.163,1743
140.524,1770
140.886,1837
141.248,1803
141.61,1852
141.971,1849
142.333,1787
142.695,1802
143.057,1813
143.419,1746
143.781,1858
144.143,1785
144.505,1852
144.867,1912
145.229,1847
145.592,1892
145.954,1835
146.316,1874
146.678,1826
147.041,1849
147.403,1853
147.766,1799
148.128,1880
148.491,1932
148.853,1853
149.216,1861
149.578,1812
149.941,1812
150.304,1830
150.667,1861
151.029,1823
151.392,1878
151.755,1883
152.118,1889
152.481,1838
152.844,1863
153.207,1810
153.57,1834
153.933,1863
154.296,1862
154.659,1877
155.022,1868
155.386,1867
155.749,1864
156.112,1840
156.476,1858
156.839,1824
157.202,1845
157.566,1811
157.929,1926
