Energy, Data
-14.3424,0
-13.9594,0
-13.5765,0
-13.1935,0
-12.8105,0
-12.4275,0
-12.0445,0
-11.6615,0
-11.2784,0
-10.8954,0
-10.5123,0
-10.1292,0
-9.74607,0
-9.36295,0
-8.97981,0
-8.59666,0
-8.21349,0
-7.83031,0
-7.44711,0
-7.0639,0
-6.68068,0
-6.29743,0
-5.91418,0
-5.5309,0
-5.14762,0
-4.76432,0
-4.381,0
-3.99767,0
-3.61432,0
-3.23096,0
-2.84758,0
-2.46419,0
-2.08079,11
-1.69736,11
-1.31393,15
-0.930477,19
-0.547011,15
-0.16353,24
0.219966,22
0.603477,20
0.987002,23
1.37054,23
1.7541,19
2.13767,18
2.52125,22
2.90485,23
3.28847,23
3.6721,28
4.05575,28
4.43941,31
4.82308,27
5.20677,23
5.59048,24
5.9742,33
6.35793,28
6.74168,24
7.12544,16
7.50922,21
7.89302,26
8.27683,36
8.66065,28
9.04449,31
9.42834,22
9.81221,20
10.1961,20
10.58,32
10.9639,24
11.3478,33
11.7318,26
12.1157,30
12.4997,29
12.8837,33
13.2677,27
13.6517,26
14.0358,37
14.4198,27
14.8039,40
15.1879,31
15.572,42
15.9561,36
16.3403,22
16.7244,38
17.1086,47
17.4927,32
17.8769,29
18.2611,47
18.6453,46
19.0295,45
19.4138,50
19.798,57
20.1823,53
20.5666,43
20.9509,40
21.3352,60
21.7196,54
22.1039,55
22.4883,49
22.8726,60
23.257,60
23.6414,67
24.0259,61
24.4103,59
24.7948,78
25.1792,66
25.5637,67
25.9482,76
26.3327,66
26.7172,62
27.1018,66
27.4863,81
27.8709,61
28.2555,80
28.6401,77
29.0247,73
29.4093,77
29.794,90
30.1786,78
30.5633,93
30.948,94
31.3327,119
31.7174,90
32.1022,100
32.4869,121
32.8717,86
33.2565,112
33.6413,132
34.0261,104
34.4109,118
34.7957,118
35.1806,131
35.5654,144
35.9503,157
36.3352,146
36.7201,172
37.1051,156
37.49,185
37.875,188
38.2599,215
38.6449,205
39.0299,197
39.415,256
39.8,277
40.185,267
40.5701,309
40.9552,344
41.3403,396
41.7254,502
42.1105,520
42.4956,627
42.8808,686
43.266,814
43.6511,924
44.0363,1067
44.4216,1260
44.8068,1417
45.192,1645
45.5773,1816
45.9626,1959
46.3478,2208
46.7332,2434
47.1185,2515
47.5038,2839
47.8891,2847
48.2745,3099
48.6599,3311
49.0453,3437
49.4307,3642
49.8161,3809
50.2015,3880
50.587,4031
50.9725,4241
51.3579,4341
51.7434,4531
52.1289,4436
52.5145,4651
52.9,4741
53.2856,5031
53.6711,4924
54.0567,5089
54.4423,5267
54.8279,5276
55.2136,5204
55.5992,5326
55.9849,5503
56.3706,5686
56.7562,5585
57.142,5750
57.5277,5936
57.9134,5946
58.2992,6110
58.6849,6181
59.0707,6157
59.4565,6482
59.8423,6725
60.2281,6755
60.614,7075
60.9998,7190
61.3857,7534
61.7716,7645
62.1575,8018
62.5434,8197
62.9293,8426
63.3153,9020
63.7012,9453
64.0872,9704
64.4732,10130
64.8592,10384
65.2452,10945
65.6312,11519
66.0173,12029
66.4034,12717
66.7894,13143
67.1755,13691
67.5616,14357
67.9478,14878
68.3339,15288
68.72,15539
69.1062,16418
69.4924,16939
69.8786,17109
70.2648,17643
70.651,17915
71.0373,18392
71.4235,18421
71.8098,18462
72.1961,18621
72.5824,18604
72.9687,18767
73.355,18809
73.7414,18449
74.1278,18309
74.5141,18085
74.9005,18241
75.2869,17791
75.6734,17440
76.0598,17265
76.4462,16934
76.8327,16253
77.2192,16448
77.6057,15978
77.9922,15703
78.3787,15545
78.7653,15438
79.1518,14854
79.5384,14783
79.925,14744
80.3116,14473
80.6982,14623
81.0848,14543
81.4715,14381
81.8581,14544
82.2448,14428
82.6315,14214
83.0182,14306
83.4049,14366
83.7917,14531
84.1784,14273
84.5652,14298
84.952,13984
85.3388,14082
85.7256,13908
86.1124,13866
86.4992,13816
86.8861,13705
87.273,13708
87.6598,13458
88.0467,13134
88.4337,13084
88.8206,12853
89.2075,12611
89.5945,12646
89.9815,12258
90.3684,12117
90.7555,11732
91.1425,11602
91.5295,11356
91.9166,11178
92.3036,11180
92.6907,10802
93.0778,10723
93.4649,10628
93.852,10327
94.2392,10094
94.6263,10400
95.0135,9837
95.4007,9990
95.7879,9779
96.1751,9835
96.5623,9703
96.9495,9653
97.3368,9511
97.7241,9601
98.1114,9490
98.4987,9464
98.886,9643
99.2733,9493
99.6607,9551
100.048,9602
100.435,9544
100.823,9666
101.21,9585
101.598,9596
101.985,9634
102.373,9858
102.76,9840
103.147,10080
103.535,10112
103.922,10306
104.31,10308
104.698,10825
105.085,10928
105.473,11235
105.86,11371
106.248,11662
106.635,11889
107.023,12406
107.411,12754
107.798,13253
108.186,13810
108.574,14358
108.961,14724
109.349,15472
109.737,15986
110.125,17004
110.512,17660
110.9,18740
111.288,19580
111.676,20795
112.064,21869
112.451,23063
112.839,24297
113.227,25870
113.615,27247
114.003,28251
114.391,29600
114.779,31696
115.167,32912
115.555,34446
115.943,35784
116.331,37774
116.719,38806
117.107,40529
117.495,41741
117.883,43144
118.271,44062
118.659,45339
119.047,46252
119.435,46960
119.823,48231
120.211,48449
120.6,49000
120.988,48900
121.376,49179
121.764,48501
122.152,48323
122.541,47978
122.929,47079
123.317,46655
123.705,45085
124.094,44194
124.482,43269
124.87,41710
125.259,40114
125.647,38614
126.035,37081
126.424,35684
126.812,33756
127.2,32040
127.589,30420
127.977,28885
128.366,27469
128.754,25702
129.143,24279
129.531,22701
129.92,21224
130.308,20029
130.697,18757
131.085,17410
131.474,16175
131.863,15195
132.251,14222
132.64,13337
133.028,12632
133.417,11889
133.806,11162
134.194,10574
134.583,9952
134.972,9497
135.36,8924
135.749,8475
136.138,8092
136.527,7815
136.916,7344
137.304,7181
137.693,6926
138.082,6682
138.471,6575
138.86,6395
139.249,6149
139.637,6109
140.026,6029
140.415,5840
140.804,5880
141.193,5717
141.582,5633
141.971,5607
142.36,5481
142.749,5405
143.138,5324
143.527,5440
143.916,5322
144.305,5211
144.694,5300
145.083,5314
145.472,5185
145.862,5154
146.251,5183
146.64,5157
147.029,5224
147.418,5143
147.807,5109
148.197,5148
148.586,5104
148.975,5110
149.364,4977
149.754,5171
150.143,5152
150.532,5069
150.922,4992
151.311,5009
151.7,4995
152.09,5023
152.479,5002
152.868,5098
153.258,5047
153.647,5055
154.037,4902
154.426,4965
154.816,4953
155.205,4873
155.595,5111
