Energy, Data
-14.7317,0
-14.3463,0
-13.9608,0
-13.5753,0
-13.1899,0
-12.8044,0
-12.4189,0
-12.0334,0
-11.6478,0
-11.2623,0
-10.8767,0
-10.4911,0
-10.1055,0
-9.71993,0
-9.3343,0
-8.94866,0
-8.56301,0
-8.17734,0
-7.79166,0
-7.40596,0
-7.02024,0
-6.63451,0
-6.24877,0
-5.86301,0
-5.47724,0
-5.09145,0
-4.70565,0
-4.31983,0
-3.934,0
-3.54815,0
-3.16229,0
-2.77641,0
-2.39052,7
-2.00461,4
-1.61869,5
-1.23275,4
-0.846799,6
-0.460832,1
-0.0748499,5
0.311147,7
0.697158,6
1.08318,6
1.46923,5
1.85528,6
2.24135,3
2.62744,2
3.01354,6
3.39966,2
3.78579,3
4.17193,3
4.55809,3
4.94427,12
5.33046,7
5.71666,4
6.10288,10
6.48912,6
6.87537,6
7.26163,7
7.64791,6
8.03421,5
8.42052,9
8.80684,14
9.19318,8
9.57953,7
9.9659,8
10.3523,7
10.7387,12
11.1251,10
11.5115,11
11.898,14
12.2844,8
12.6709,8
13.0574,6
13.4439,4
13.8304,11
14.2169,6
14.6035,7
14.9901,5
15.3766,13
15.7632,17
16.1498,7
16.5365,12
16.9231,14
17.3097,12
17.6964,14
18.0831,9
18.4698,10
18.8565,15
19.2432,9
19.63,13
20.0167,9
20.4035,17
20.7903,17
21.1771,12
21.5639,9
21.9507,12
22.3376,15
22.7244,17
23.1113,23
23.4982,20
23.8851,19
24.272,12
24.659,23
25.0459,13
25.4329,25
25.8199,25
26.2069,22
26.5939,16
26.9809,20
27.3679,18
27.755,31
28.142,22
28.5291,25
28.9162,24
29.3033,28
29.6905,37
30.0776,36
30.4648,37
30.8519,31
31.2391,32
31.6263,33
32.0136,35
32.4008,44
32.788,46
33.1753,42
33.5626,48
33.9499,50
34.3372,53
34.7245,59
35.1118,50
35.4992,45
35.8866,72
36.2739,64
36.6613,86
37.0487,78
37.4362,76
37.8236,76
38.2111,99
38.5985,87
38.986,113
39.3735,138
39.761,117
40.1486,140
40.5361,175
40.9237,196
41.3113,202
41.6988,217
42.0865,287
42.4741,323
42.8617,412
43.2494,480
43.637,514
44.0247,633
44.4124,707
44.8001,863
45.1878,939
45.5756,1054
45.9633,1254
46.3511,1423
46.7389,1653
47.1267,1795
47.5145,2033
47.9023,2269
48.2902,2369
48.678,2612
49.0659,2897
49.4538,3070
49.8417,3298
50.2296,3538
50.6175,3755
51.0055,4029
51.3934,4275
51.7814,4385
52.1694,4733
52.5574,4847
52.9454,5105
53.3335,5217
53.7215,5436
54.1096,5447
54.4977,5447
54.8858,5667
55.2739,5719
55.662,5987
56.0502,5859
56.4383,6039
56.8265,6019
57.2147,5961
57.6029,6038
57.9911,6058
58.3793,6060
58.7676,5948
59.1558,6109
59.5441,6088
59.9324,5948
60.3207,6175
60.709,6094
61.0974,5961
61.4857,6358
61.8741,6287
62.2624,6291
62.6508,6365
63.0392,6433
63.4277,6571
63.8161,6695
64.2046,6691
64.593,6916
64.9815,7162
65.37,7055
65.7585,7306
66.1471,7487
66.5356,7437
66.9242,7843
67.3127,8062
67.7013,8028
68.0899,8242
68.4785,8513
68.8672,8447
69.2558,8542
69.6445,8781
70.0332,8646
70.4219,8943
70.8106,8844
71.1993,8989
71.588,8779
71.9768,8822
72.3655,9028
72.7543,8784
73.1431,8546
73.5319,8650
73.9208,8346
74.3096,8320
74.6985,8185
75.0873,8091
75.4762,8009
75.8651,7716
76.254,7563
76.643,7625
77.0319,7224
77.4209,7141
77.8098,6980
78.1988,6810
78.5878,6944
78.9769,6566
79.3659,6578
79.7549,6485
80.144,6280
80.5331,6334
80.9222,6186
81.3113,6054
81.7004,6023
82.0896,5974
82.4787,5849
82.8679,5885
83.2571,5708
83.6463,5837
84.0355,5746
84.4247,5598
84.8139,5598
85.2032,5547
85.5925,5425
85.9818,5366
86.3711,5233
86.7604,5343
87.1497,5004
87.5391,5053
87.9284,4940
88.3178,4844
88.7072,4863
89.0966,4807
89.486,4666
89.8755,4524
90.2649,4365
90.6544,4318
91.0439,4376
91.4334,4269
91.8229,4194
92.2124,4112
92.602,4049
92.9915,4032
93.3811,4071
93.7707,3934
94.1603,4084
94.5499,3974
94.9395,3777
95.3292,3795
95.7188,3885
96.1085,3843
96.4982,3836
96.8879,3988
97.2776,3831
97.6673,3751
98.0571,3957
98.4469,3761
98.8366,3846
99.2264,3839
99.6162,3790
100.006,3745
100.396,3834
100.786,3808
101.176,3795
101.566,3756
101.955,3692
102.345,3766
102.735,3798
103.125,3726
103.515,3788
103.905,3754
104.295,3866
104.685,3895
105.075,3931
105.465,3790
105.855,3801
106.245,3914
106.635,3967
107.025,3925
107.416,4126
107.806,3886
108.196,3954
108.586,3922
108.976,3998
109.366,4096
109.757,4055
110.147,4138
110.537,4180
110.927,4172
111.317,4201
111.708,4354
112.098,4331
112.488,4477
112.879,4528
113.269,4555
113.659,4792
114.05,4791
114.44,4750
114.83,5071
115.221,5132
115.611,5045
116.002,5299
116.392,5189
116.783,5276
117.173,5438
117.564,5394
117.954,5614
118.345,5692
118.735,5785
119.126,5680
119.516,5830
119.907,5891
120.297,5873
120.688,5778
121.079,5889
121.469,5796
121.86,5745
122.251,5883
122.641,5791
123.032,5654
123.423,5565
123.814,5556
124.204,5628
124.595,5392
124.986,5331
125.377,5187
125.767,5096
126.158,5001
126.549,4913
126.94,4772
127.331,4745
127.722,4678
128.113,4488
128.503,4385
128.894,4283
129.285,4067
129.676,3884
130.067,3977
130.458,3893
130.849,3683
131.24,3794
131.631,3584
132.022,3580
132.413,3586
132.804,3536
133.196,3523
133.587,3322
133.978,3275
134.369,3363
134.76,3239
135.151,3297
135.542,3254
135.934,3230
136.325,3175
136.716,3124
137.107,3205
137.499,3059
137.89,3216
138.281,3088
138.672,3052
139.064,3073
139.455,3195
139.846,3095
140.238,3202
140.629,3206
141.021,3081
141.412,3192
141.803,3047
142.195,3163
142.586,3156
142.978,3352
143.369,3187
143.761,3200
144.152,3184
144.544,3226
144.935,3151
145.327,3280
145.718,3294
146.11,3379
146.502,3222
146.893,3248
147.285,3247
147.676,3347
148.068,3309
148.46,3309
148.851,3244
149.243,3322
149.635,3292
150.027,3432
150.418,3366
150.81,3320
151.202,3317
151.594,3432
151.985,3307
152.377,3401
152.769,3364
153.161,3346
153.553,3455
153.945,3472
154.337,3506
154.728,3433
155.12,3449
155.512,3400
155.904,3408
156.296,3430
156.688,3524
157.08,3387
157.472,3513
157.864,3518
158.256,3444
158.648,3488
159.04,3528
159.433,3492
159.825,3518
160.217,3514
160.609,3595
161.001,3456
161.393,3557
161.785,3468
162.178,3511
162.57,3586
162.962,3512
163.354,3527
163.747,3493
164.139,3529
164.531,3488
164.923,3513
165.316,3396
165.708,3614
166.1,3493
166.493,3585
166.885,3511
167.277,3558
167.67,3507
168.062,3554
168.455,3673
168.847,3525
169.24,3651
169.632,3530
170.025,3637
170.417,3547
170.81,3662
171.202,3605
171.595,3596
171.987,3687
172.38,3605
172.772,3675
173.165,3700
173.558,3638
173.95,3596
174.343,3633
174.736,3663
175.128,3599
175.521,3641
175.914,3629
176.306,3637
176.699,3659
177.092,3681
177.485,3700
177.878,3671
178.27,3607
178.663,3747
179.056,3566
179.449,3710
179.842,3622
180.235,3627
180.627,3685
181.02,3708
181.413,3612
181.806,3612
182.199,3704
182.592,3586
182.985,3631
183.378,3697
183.771,3534
184.164,3751
184.557,3649
184.95,3636
185.343,3614
185.736,3683
186.13,3623
186.523,3623
186.916,3563
187.309,3698
187.702,3606
188.095,3493
188.488,3570
188.882,3705
189.275,3680
189.668,3592
190.061,3640
190.455,3597
190.848,3546
191.241,3616
191.634,3590
192.028,3536
192.421,3676
192.814,3669
193.208,3565
193.601,3531
193.995,3505
194.388,3572
194.781,3525
195.175,3610
195.568,3626
195.962,3403
196.355,3527
196.749,3647
197.142,3632
197.536,3600
197.929,3429
198.323,3511
198.717,3464
199.11,3525
199.504,3553
199.897,3462
200.291,3610
200.685,3631
201.078,3583
201.472,3542
201.866,3657
202.259,3565
202.653,3674
203.047,3591
203.441,3596
203.834,3579
204.228,3560
204.622,3631
205.016,3630
205.41,3593
205.804,3710
206.197,3607
206.591,3639
206.985,3652
207.379,3637
207.773,3651
208.167,3716
208.561,3658
208.955,3661
209.349,3659
209.743,3696
210.137,3688
210.531,3652
210.925,3747
211.319,3676
211.713,3702
212.107,3602
212.501,3718
212.895,3798
213.289,3701
213.684,3655
214.078,3619
214.472,3753
214.866,3662
215.26,3719
215.655,3725
216.049,3663
216.443,3770
216.837,3903
217.232,3778
217.626,3827
218.02,3787
218.414,3846
218.809,3861
219.203,3830
219.598,3760
219.992,3858
220.386,3843
220.781,3924
221.175,3793
221.57,3939
221.964,3943
222.359,4000
222.753,4187
223.148,3997
223.542,4129
223.937,4138
224.331,4137
224.726,4026
225.12,4249
225.515,4302
225.909,4334
226.304,4456
226.699,4573
227.093,4560
227.488,4687
227.883,4636
228.277,4735
228.672,4858
229.067,4867
229.462,4850
229.856,5073
230.251,5096
230.646,5088
231.041,5203
231.435,5395
231.83,5460
232.225,5464
232.62,5675
233.015,5739
233.41,5866
233.805,5870
234.2,6088
234.595,6068
234.989,6196
235.384,6289
235.779,6367
236.174,6500
236.569,6394
