Energy, Data
-14.8053,0
-14.4101,0
-14.0149,0
-13.6196,0
-13.2243,0
-12.829,0
-12.4337,0
-12.0383,0
-11.643,0
-11.2476,0
-10.8523,0
-10.4569,0
-10.0615,0
-9.66604,0
-9.27061,0
-8.87515,0
-8.47968,0
-8.0842,0
-7.6887,0
-7.29319,0
-6.89766,0
-6.50211,0
-6.10655,0
-5.71098,0
-5.31538,0
-4.91978,0
-4.52416,0
-4.12852,0
-3.73287,0
-3.3372,0
-2.94152,0
-2.54582,0
-2.15011,0
-1.75438,0
-1.35863,0
-0.962875,2
-0.5671,0
-0.171311,5
0.224494,3
0.620315,4
1.01615,5
1.412,1
1.80787,1
2.20375,3
2.59965,0
2.99556,3
3.39149,4
3.78743,5
4.18339,3
4.57936,3
4.97535,5
5.37135,3
5.76737,6
6.16341,1
6.55946,3
6.95552,0
7.3516,4
7.7477,1
8.14381,4
8.53993,3
8.93608,4
9.33223,3
9.7284,2
10.1246,5
10.5208,9
10.917,3
11.3132,9
11.7095,4
12.1058,4
12.502,7
12.8983,1
13.2946,7
13.691,6
14.0873,4
14.4837,5
14.88,4
15.2764,2
15.6728,4
16.0692,6
16.4657,9
16.8621,10
17.2586,6
17.6551,7
18.0516,10
18.4481,5
18.8446,10
19.2411,8
19.6377,9
20.0342,9
20.4308,12
20.8274,17
21.2241,12
21.6207,6
22.0173,14
22.414,11
22.8107,18
23.2074,13
23.6041,12
24.0008,7
24.3975,13
24.7943,13
25.191,23
25.5878,19
25.9846,19
26.3814,14
26.7783,21
27.1751,27
27.572,24
27.9689,25
28.3657,20
28.7627,24
29.1596,25
29.5565,21
29.9535,25
30.3504,36
30.7474,40
31.1444,27
31.5414,31
31.9385,27
32.3355,40
32.7326,35
33.1296,39
33.5267,42
33.9238,47
34.3209,52
34.7181,45
35.1152,53
35.5124,42
35.9096,66
36.3068,64
36.704,57
37.1012,59
37.4985,61
37.8957,80
38.293,84
38.6903,85
39.0876,85
39.4849,105
39.8822,95
40.2796,131
40.677,133
41.0743,147
41.4717,165
41.8691,169
42.2666,186
42.664,210
43.0615,246
43.4589,294
43.8564,288
44.2539,394
44.6515,464
45.049,527
45.4465,602
45.8441,677
46.2417,816
46.6393,963
47.0369,1014
47.4345,1223
47.8321,1336
48.2298,1452
48.6275,1637
49.0252,1783
49.4229,2025
49.8206,2137
50.2183,2309
50.6161,2435
51.0138,2598
51.4116,2763
51.8094,2906
52.2072,3091
52.605,3180
53.0029,3298
53.4007,3479
53.7986,3605
54.1965,3781
54.5944,3846
54.9923,3893
55.3902,4080
55.7882,4169
56.1861,4182
56.5841,4418
56.9821,4397
57.3801,4556
57.7781,4771
58.1762,4764
58.5742,5018
58.9723,5286
59.3704,5496
59.7685,5619
60.1666,5765
60.5647,6132
60.9629,6176
61.361,6602
61.7592,6977
62.1574,7320
62.5556,7601
62.9538,8040
63.3521,8561
63.7503,9048
64.1486,9739
64.5469,10375
64.9452,10749
65.3435,11454
65.7418,11885
66.1402,12690
66.5385,13314
66.9369,13924
67.3353,14642
67.7337,15223
68.1321,16064
68.5305,16751
68.929,17284
69.3275,17731
69.7259,18029
70.1244,18612
70.5229,19032
70.9215,19039
71.32,19422
71.7186,19586
72.1171,19156
72.5157,19306
72.9143,18955
73.313,18899
73.7116,18867
74.1103,18256
74.5089,17967
74.9076,17655
75.3063,17162
75.705,16465
76.1037,15905
76.5025,15427
76.9012,14759
77.3,14349
77.6988,13935
