Energy, Data
-13.7484,0
-13.3574,0
-12.9663,0
-12.5751,0
-12.184,0
-11.7929,0
-11.4017,0
-11.0105,0
-10.6193,0
-10.2281,0
-9.83685,0
-9.44559,0
-9.05432,0
-8.66303,0
-8.27173,0
-7.8804,0
-7.48906,0
-7.09771,0
-6.70633,0
-6.31494,0
-5.92353,0
-5.5321,0
-5.14066,0
-4.7492,0
-4.35772,0
-3.96622,0
-3.57471,0
-3.18318,0
-2.79163,0
-2.40006,0
-2.00848,0
-1.61688,0
-1.22527,0
-0.833631,0
-0.441979,0
-0.0503108,5
0.341375,3
0.733078,6
1.1248,4
1.51654,5
1.90829,6
2.30006,6
2.69185,7
3.08366,4
3.47548,6
3.86733,6
4.25918,6
4.65106,3
5.04295,3
5.43486,4
5.82679,5
6.21874,10
6.6107,6
7.00268,6
7.39468,6
7.78669,7
8.17872,4
8.57077,8
8.96284,5
9.35492,5
9.74702,8
10.1391,9
10.5313,9
10.9234,4
11.3156,10
11.7078,7
12.1,10
12.4922,7
12.8844,5
13.2767,4
13.669,6
14.0613,5
14.4536,6
14.8459,4
15.2382,9
15.6306,2
16.023,5
16.4154,8
16.8078,12
17.2002,7
17.5927,6
17.9851,12
18.3776,12
18.7701,11
19.1626,14
19.5551,8
19.9477,14
20.3403,17
20.7328,12
21.1254,11
21.5181,11
21.9107,18
22.3033,14
22.696,13
23.0887,12
23.4814,13
23.8741,11
24.2669,17
24.6596,23
25.0524,14
25.4452,16
25.838,16
26.2308,24
26.6237,29
27.0165,11
27.4094,21
27.8023,25
28.1952,17
28.5881,23
28.9811,32
29.3741,33
29.767,24
30.16,31
30.553,32
30.9461,38
31.3391,29
31.7322,33
32.1253,43
32.5184,44
32.9115,46
33.3046,55
33.6978,55
34.091,58
34.4842,60
34.8774,54
35.2706,64
35.6638,75
36.0571,72
36.4504,80
36.8436,73
37.237,79
37.6303,91
38.0236,109
38.417,94
38.8104,101
39.2038,97
39.5972,111
39.9906,130
40.384,130
40.7775,158
41.171,161
41.5645,189
41.958,190
42.3515,216
42.7451,234
43.1387,280
43.5322,294
43.9259,338
44.3195,439
44.7131,510
45.1068,555
45.5004,648
45.8941,783
46.2878,941
46.6816,1064
47.0753,1184
47.4691,1414
47.8628,1519
48.2566,1760
48.6504,1974
49.0443,2206
49.4381,2437
49.832,2655
50.2258,3014
50.6197,3190
51.0137,3628
51.4076,3736
51.8015,4040
52.1955,4235
52.5895,4517
52.9835,4780
53.3775,4995
53.7715,5215
54.1656,5360
54.5597,5539
54.9537,5813
55.3478,5855
55.742,6058
56.1361,6095
56.5303,6289
56.9244,6451
57.3186,6389
57.7128,6626
58.107,6729
58.5013,6814
58.8955,6960
59.2898,6894
59.6841,7168
60.0784,7171
60.4728,7325
60.8671,7524
61.2615,7698
61.6558,7773
62.0502,8043
62.4447,8345
62.8391,8423
63.2335,8909
63.628,9152
64.0225,9586
64.417,9815
64.8115,10405
65.206,10958
65.6006,11347
65.9952,12110
66.3897,12486
66.7843,13096
67.179,13711
67.5736,14299
67.9683,14795
68.3629,15353
68.7576,15802
69.1523,16631
69.5471,16866
69.9418,17220
70.3366,17476
70.7313,17759
71.1261,18215
71.521,18150
71.9158,18606
72.3106,18448
72.7055,18425
73.1004,18336
73.4953,18288
73.8902,18098
74.2851,17659
74.6801,17267
75.075,16934
75.47,16515
75.865,16120
76.26,15799
76.6551,14971
77.0501,14449
77.4452,14188
77.8403,13723
78.2354,13117
78.6305,12635
79.0256,12574
79.4208,11981
79.816,11573
80.2112,11255
80.6064,10873
81.0016,10634
81.3968,10409
81.7921,10166
82.1874,10231
82.5827,9824
82.978,9908
83.3733,9738
83.7687,9583
84.164,9283
84.5594,9075
84.9548,8893
85.3502,8684
85.7457,8555
86.1411,8459
86.5366,8226
86.9321,7931
87.3276,7759
87.7231,7531
88.1186,7224
88.5142,6997
88.9097,6763
89.3053,6437
89.7009,6244
90.0966,6228
90.4922,5890
90.8879,5582
91.2835,5414
91.6792,5319
92.0749,5041
92.4707,4938
92.8664,4820
93.2622,4591
93.6579,4412
94.0537,4482
94.4496,4173
94.8454,4227
95.2412,4122
95.6371,4177
96.033,4014
96.4289,3896
96.8248,3895
97.2207,3812
97.6167,3808
98.0126,3766
98.4086,3680
98.8046,3644
99.2007,3701
99.5967,3683
99.9927,3585
100.389,3741
100.785,3784
101.181,3452
101.577,3543
101.973,3650
102.369,3557
102.766,3551
103.162,3371
103.558,3558
103.954,3518
104.35,3536
104.747,3462
105.143,3414
105.539,3505
105.936,3601
106.332,3405
106.728,3570
107.125,3480
107.521,3503
107.917,3427
108.314,3473
108.71,3414
109.107,3373
109.503,3493
109.9,3406
110.296,3411
110.693,3415
111.089,3486
111.486,3440
111.882,3508
112.279,3420
112.676,3547
113.072,3450
113.469,3473
113.866,3590
114.262,3540
114.659,3597
115.056,3452
115.452,3494
115.849,3587
116.246,3623
116.643,3705
117.039,3662
117.436,3627
117.833,3726
118.23,3629
118.627,3663
119.024,3704
119.421,3643
119.817,3653
120.214,3733
120.611,3808
121.008,3757
121.405,3645
121.802,3710
122.199,3564
122.596,3618
122.993,3716
123.391,3657
123.788,3702
124.185,3630
124.582,3487
124.979,3507
125.376,3495
125.773,3467
126.171,3485
126.568,3304
126.965,3375
127.362,3258
127.759,3349
128.157,3139
128.554,3274
128.951,3186
129.349,3130
129.746,3173
130.143,3057
130.541,3075
130.938,3027
131.336,3040
131.733,2955
132.131,2997
132.528,2915
132.925,2929
133.323,2935
133.721,2983
134.118,2812
134.516,2958
134.913,2926
135.311,2870
135.708,2890
136.106,2883
136.504,2808
136.901,2815
137.299,2846
137.697,2904
138.094,2814
138.492,2802
138.89,2997
139.288,2848
139.685,2858
140.083,2887
140.481,2942
140.879,2924
141.277,2926
141.675,3003
142.072,2924
142.47,2946
142.868,2783
143.266,3003
143.664,2961
144.062,2982
144.46,2901
144.858,2873
145.256,2959
145.654,2951
146.052,3072
146.45,2964
146.848,3108
147.247,3021
147.645,3014
148.043,3087
148.441,3146
148.839,3211
149.237,3020
149.636,3101
150.034,3135
150.432,3067
150.83,3134
151.229,3194
151.627,3131
152.025,3182
152.424,3217
152.822,3290
153.22,3195
153.619,3229
154.017,3315
154.415,3170
154.814,3232
155.212,3288
155.611,3171
156.009,3141
156.408,3346
156.806,3276
157.205,3305
157.603,3358
158.002,3328
158.401,3301
158.799,3371
159.198,3304
159.596,3290
159.995,3374
160.394,3435
160.793,3386
161.191,3433
161.59,3285
161.989,3475
162.387,3507
162.786,3515
163.185,3573
163.584,3552
163.983,3382
164.382,3445
164.78,3434
165.179,3605
165.578,3440
165.977,3442
166.376,3498
166.775,3583
167.174,3550
167.573,3565
167.972,3439
168.371,3493
168.77,3587
169.169,3561
169.568,3643
169.967,3553
170.366,3589
170.766,3557
171.165,3651
171.564,3550
171.963,3634
172.362,3632
172.761,3553
173.161,3571
173.56,3498
173.959,3684
174.359,3609
174.758,3601
175.157,3610
175.556,3638
175.956,3652
176.355,3753
176.755,3474
177.154,3632
177.553,3571
177.953,3727
178.352,3593
178.752,3550
179.151,3576
179.551,3572
179.95,3687
180.35,3584
180.749,3620
181.149,3451
181.549,3516
181.948,3645
182.348,3654
182.747,3700
183.147,3705
183.547,3703
183.946,3600
184.346,3769
184.746,3665
185.146,3726
185.545,3670
185.945,3676
186.345,3662
186.745,3631
187.145,3620
187.545,3699
187.944,3499
188.344,3592
188.744,3705
189.144,3572
189.544,3695
189.944,3668
190.344,3544
190.744,3602
191.144,3477
191.544,3582
191.944,3476
192.344,3567
192.744,3632
193.144,3663
193.544,3634
193.945,3641
194.345,3506
194.745,3492
195.145,3531
195.545,3575
195.945,3573
196.346,3542
196.746,3497
197.146,3572
197.546,3478
197.947,3543
198.347,3440
198.747,3579
199.148,3667
199.548,3709
199.949,3671
200.349,3649
200.749,3630
201.15,3657
201.55,3519
201.951,3537
202.351,3541
202.752,3742
203.152,3642
203.553,3714
203.953,3631
204.354,3656
204.755,3644
205.155,3662
205.556,3677
205.956,3602
206.357,3712
206.758,3677
207.159,3641
207.559,3765
207.96,3732
208.361,3628
208.761,3782
209.162,3843
209.563,3729
209.964,3764
210.365,3751
210.766,3797
211.166,3840
211.567,3749
211.968,3860
212.369,3854
212.77,3736
213.171,3694
213.572,3688
213.973,3828
214.374,3798
214.775,3786
215.176,3872
215.577,3805
215.978,3971
216.379,3835
216.781,3807
217.182,3873
217.583,3942
217.984,4056
218.385,3840
218.786,3973
219.188,3936
219.589,4036
219.99,3966
220.391,4052
220.793,3982
221.194,4036
221.595,4157
221.997,4081
222.398,4153
222.799,4202
223.201,4078
223.602,4175
224.004,4246
224.405,4367
224.806,4302
225.208,4341
225.609,4305
226.011,4460
226.412,4500
226.814,4544
227.216,4634
227.617,4606
228.019,4560
228.42,4766
228.822,4859
229.224,5069
229.625,5027
230.027,4895
230.429,4967
230.83,5228
231.232,5217
231.634,5301
232.036,5474
232.437,5473
232.839,5539
233.241,5633
233.643,5761
234.045,5910
234.447,5848
234.848,5799
235.25,6065
235.652,6288
236.054,6161
236.456,6115
236.858,6312
237.26,6457
237.662,6375
238.064,6467
238.466,6826
238.868,6744
239.27,6697
239.673,6900
240.075,6721
240.477,6936
240.879,6873
241.281,6998
241.683,6882
242.085,7032
242.488,6974
242.89,6922
243.292,7137
243.694,6954
244.097,7136
244.499,7206
244.901,7072
245.304,7071
245.706,7100
246.108,6958
246.511,7078
246.913,7162
247.316,7055
247.718,7092
248.121,6868
248.523,6771
248.926,6630
249.328,6693
249.731,6706
250.133,6582
250.536,6574
250.938,6591
251.341,6350
251.744,6379
252.146,6251
252.549,6180
252.951,6085
253.354,6056
253.757,5992
254.16,5964
254.562,5890
254.965,5765
255.368,5604
255.771,5605
256.173,5583
256.576,5384
256.979,5277
257.382,5183
257.785,5170
258.188,5201
258.591,4995
258.994,5013
259.397,4824
259.799,4827
260.202,4701
260.605,4661
261.008,4613
261.411,4546
261.815,4602
262.218,4511
262.621,4477
263.024,4328
263.427,4119
263.83,4259
264.233,4072
264.636,4243
265.04,4081
265.443,3996
265.846,4047
266.249,4081
266.652,3898
267.056,4019
267.459,3914
267.862,3794
268.266,3924
268.669,3736
269.072,3858
269.476,3812
269.879,3709
270.283,3748
270.686,3651
271.089,3757
271.493,3675
271.896,3732
272.3,3647
272.703,3697
273.107,3631
273.51,3617
273.914,3577
274.318,3595
274.721,3599
275.125,3474
275.528,3542
275.932,3593
276.336,3543
276.739,3490
277.143,3552
277.547,3531
277.951,3609
278.354,3473
278.758,3601
279.162,3542
279.566,3475
279.97,3503
280.373,3528
280.777,3454
281.181,3538
281.585,3517
281.989,3495
282.393,3407
282.797,3508
283.201,3415
283.605,3505
284.009,3418
284.413,3369
284.817,3429
285.221,3489
285.625,3368
286.029,3510
286.433,3475
286.837,3384
287.241,3379
287.646,3441
288.05,3448
288.454,3442
288.858,3416
289.262,3420
289.667,3330
290.071,3444
290.475,3420
290.879,3361
291.284,3433
291.688,3396
292.092,3368
292.497,3422
292.901,3470
293.305,3481
293.71,3461
294.114,3389
294.519,3365
294.923,3455
295.328,3423
295.732,3330
296.137,3396
296.541,3503
296.946,3436
297.35,3486
297.755,3424
298.16,3378
298.564,3508
298.969,3384
299.373,3399
299.778,3451
300.183,3359
300.588,3376
300.992,3332
301.397,3422
301.802,3390
302.207,3359
302.611,3355
303.016,3353
303.421,3359
303.826,3306
304.231,3468
304.636,3353
305.04,3359
305.445,3388
305.85,3420
306.255,3481
306.66,3455
307.065,3430
307.47,3469
307.875,3448
308.28,3514
308.685,3491
309.09,3279
309.495,3469
309.901,3528
310.306,3585
310.711,3595
311.116,3494
311.521,3686
311.926,3670
312.332,3604
312.737,3627
313.142,3703
313.547,3749
313.953,3696
314.358,3812
314.763,3847
315.168,3918
315.574,3885
315.979,4062
316.385,4077
316.79,4076
317.195,4214
317.601,4302
318.006,4307
318.412,4453
318.817,4377
319.223,4561
319.628,4670
320.034,4739
320.439,4859
320.845,4989
321.25,5065
321.656,5255
322.062,5344
322.467,5477
322.873,5480
323.279,5644
323.684,5874
324.09,6048
324.496,6139
324.901,6412
325.307,6391
325.713,6626
326.119,6784
326.525,6982
326.93,7065
327.336,7342
327.742,7445
328.148,7653
328.554,7848
328.96,7845
329.366,8146
329.772,8297
330.178,8832
330.584,8868
330.99,8984
331.396,9151
331.802,9067
332.208,9200
332.614,9517
333.02,9746
333.426,9613
333.832,10112
334.238,10341
334.644,10346
335.051,10504
335.457,10909
335.863,11063
336.269,11080
336.676,11286
337.082,11344
337.488,11325
337.894,11732
338.301,11768
338.707,11872
339.113,12159
339.52,12005
339.926,12049
340.332,12222
340.739,12603
341.145,12271
341.552,12383
341.958,12555
342.365,12633
342.771,12528
343.178,12692
343.584,12794
343.991,12656
344.397,12734
344.804,12418
345.211,12827
345.617,12583
346.024,12419
346.431,12496
346.837,12486
347.244,12433
347.651,12331
348.057,12398
348.464,12186
348.871,12068
349.278,12127
349.684,11796
350.091,11864
350.498,11880
350.905,11561
351.312,11373
351.719,11238
352.126,11199
352.532,10952
352.939,10771
353.346,10749
353.753,10386
354.16,10227
354.567,10075
354.974,9824
355.381,9660
355.788,9781
356.195,9202
356.603,9350
357.01,8971
357.417,8701
357.824,8535
358.231,8418
358.638,8257
359.045,8022
359.453,8013
359.86,7658
360.267,7390
360.674,7313
361.082,7047
361.489,6799
361.896,6740
362.304,6592
362.711,6421
363.118,6247
363.526,6067
363.933,6079
364.341,5762
364.748,5562
365.155,5479
365.563,5177
365.97,5151
366.378,5086
366.785,4849
367.193,4661
367.6,4487
368.008,4490
368.416,4344
368.823,4240
369.231,3977
369.639,3958
370.046,3907
370.454,3787
370.862,3740
371.269,3529
371.677,3470
372.085,3290
372.492,3356
372.9,3353
373.308,3221
373.716,3130
374.124,3034
374.532,2931
374.939,3063
375.347,2941
375.755,2923
376.163,2728
376.571,2817
376.979,2675
377.387,2685
377.795,2627
378.203,2629
378.611,2611
379.019,2481
379.427,2583
379.835,2535
380.243,2470
380.651,2454
381.059,2452
381.468,2330
381.876,2354
382.284,2425
382.692,2425
383.1,2341
383.509,2320
383.917,2327
384.325,2334
384.733,2309
385.142,2263
385.55,2284
385.958,2162
386.367,2394
386.775,2189
387.183,2216
387.592,2198
388,2238
388.409,2265
388.817,2270
389.226,2203
389.634,2186
390.043,2276
390.451,2223
390.86,2313
391.268,2204
391.677,2252
392.085,2183
392.494,2259
392.903,2317
393.311,2191
393.72,2243
394.129,2104
394.537,2232
394.946,2177
395.355,2126
395.763,2277
396.172,2250
396.581,2303
396.99,2263
397.399,2385
397.807,2309
398.216,2336
398.625,2246
399.034,2376
399.443,2259
399.852,2286
400.261,2329
400.67,2319
401.079,2375
401.488,2354
401.897,2325
402.306,2372
402.715,2416
403.124,2392
403.533,2355
403.942,2336
404.351,2377
404.76,2309
405.169,2360
405.579,2497
405.988,2419
406.397,2393
406.806,2478
407.215,2467
407.625,2427
408.034,2417
408.443,2438
408.852,2413
409.262,2434
409.671,2438
410.08,2489
410.49,2442
410.899,2538
411.309,2527
411.718,2650
412.127,2512
412.537,2517
412.946,2467
413.356,2583
413.765,2502
414.175,2512
414.584,2623
414.994,2516
415.404,2588
415.813,2498
416.223,2481
416.632,2567
417.042,2587
417.452,2593
417.861,2560
418.271,2544
418.681,2547
419.091,2531
419.5,2552
419.91,2464
420.32,2581
420.73,2549
421.139,2520
421.549,2472
421.959,2697
422.369,2403
422.779,2615
423.189,2539
423.599,2545
424.009,2556
424.419,2477
424.829,2572
425.239,2576
425.649,2561
426.059,2492
426.469,2446
426.879,2526
427.289,2493
427.699,2509
428.109,2536
428.519,2597
428.929,2649
429.339,2523
429.75,2447
430.16,2561
430.57,2590
430.98,2532
431.391,2538
431.801,2536
432.211,2520
432.621,2466
433.032,2594
433.442,2508
433.852,2498
434.263,2562
434.673,2533
435.084,2617
435.494,2455
435.904,2550
436.315,2603
436.725,2560
437.136,2539
437.546,2562
437.957,2542
438.367,2449
438.778,2596
439.189,2574
439.599,2541
440.01,2530
440.42,2540
440.831,2530
441.242,2534
441.652,2491
442.063,2453
442.474,2537
442.884,2425
443.295,2498
443.706,2554
444.117,2463
444.528,2440
444.938,2558
445.349,2610
445.76,2462
446.171,2453
446.582,2363
446.993,2395
447.404,2440
447.815,2396
448.226,2602
448.637,2539
449.048,2423
449.459,2392
449.87,2426
450.281,2376
450.692,2330
451.103,2434
451.514,2349
451.925,2296
452.336,2326
452.747,2321
453.158,2363
453.57,2256
453.981,2347
454.392,2191
454.803,2160
455.214,2172
455.626,2144
456.037,2204
456.448,2166
456.86,2175
457.271,2155
457.682,2160
458.094,2202
458.505,2142
458.917,2108
459.328,2029
459.739,2043
460.151,2082
460.562,2082
460.974,1988
461.385,1927
461.797,1935
462.208,2041
462.62,1961
463.031,1978
463.443,2008
463.855,2042
464.266,1884
464.678,1879
465.09,1847
465.501,1855
465.913,1980
466.325,1871
466.736,1926
467.148,1826
467.56,1891
467.972,1755
468.384,1754
468.795,1775
469.207,1796
469.619,1797
470.031,1856
470.443,1724
470.855,1804
471.267,1755
471.679,1719
472.091,1825
472.503,1718
472.915,1733
473.327,1801
473.739,1697
474.151,1668
474.563,1698
474.975,1651
475.387,1712
475.799,1639
476.211,1683
476.623,1722
477.035,1668
477.448,1687
477.86,1705
478.272,1636
478.684,1593
479.097,1634
479.509,1656
479.921,1605
480.333,1609
480.746,1603
481.158,1675
481.57,1579
481.983,1633
482.395,1588
482.808,1607
483.22,1655
483.632,1546
484.045,1680
484.457,1665
484.87,1691
485.282,1602
485.695,1585
486.107,1659
486.52,1675
486.933,1659
487.345,1601
487.758,1680
488.17,1653
488.583,1573
488.996,1639
489.408,1528
489.821,1680
490.234,1665
490.647,1647
491.059,1634
491.472,1647
491.885,1609
492.298,1631
492.711,1607
493.123,1585
493.536,1560
493.949,1562
494.362,1624
494.775,1596
495.188,1622
495.601,1717
496.014,1673
496.427,1662
496.84,1643
497.253,1655
497.666,1652
498.079,1584
498.492,1713
498.905,1650
499.318,1592
499.731,1596
500.144,1598
500.557,1662
500.971,1679
501.384,1624
501.797,1639
502.21,1575
502.623,1695
503.037,1631
503.45,1597
503.863,1705
504.277,1607
504.69,1645
505.103,1598
505.517,1616
505.93,1649
506.343,1591
506.757,1731
507.17,1635
507.584,1625
507.997,1668
508.411,1608
508.824,1560
509.238,1617
509.651,1591
510.065,1604
510.478,1603
510.892,1686
511.305,1526
511.719,1642
512.133,1610
512.546,1579
512.96,1667
513.374,1585
513.787,1578
514.201,1578
514.615,1625
515.029,1543
515.442,1588
515.856,1529
516.27,1634
516.684,1559
517.098,1619
517.511,1526
517.925,1521
518.339,1597
518.753,1622
519.167,1478
519.581,1508
519.995,1543
520.409,1536
520.823,1482
521.237,1482
521.651,1598
522.065,1528
522.479,1590
522.893,1606
523.307,1578
523.721,1495
524.135,1500
524.55,1483
524.964,1548
525.378,1468
525.792,1603
526.206,1483
526.621,1498
527.035,1520
527.449,1594
527.863,1443
528.278,1530
528.692,1523
529.106,1538
529.521,1533
529.935,1472
530.35,1476
530.764,1509
531.178,1539
531.593,1517
532.007,1485
532.422,1457
532.836,1501
533.251,1425
533.665,1500
534.08,1496
534.494,1439
534.909,1458
535.324,1452
535.738,1429
536.153,1493
536.568,1462
536.982,1471
537.397,1496
537.812,1439
538.226,1452
538.641,1498
539.056,1443
539.471,1480
539.885,1492
540.3,1519
540.715,1474
541.13,1486
541.545,1473
541.96,1408
542.374,1496
542.789,1416
543.204,1467
543.619,1511
544.034,1500
