Energy, Data
-12.3306,0
-11.9562,0
-11.5818,0
-11.2073,0
-10.8329,0
-10.4584,0
-10.0839,0
-9.70942,0
-9.33489,0
-8.96034,0
-8.58577,0
-8.21119,0
-7.83658,0
-7.46196,0
-7.08732,0
-6.71265,0
-6.33797,0
-5.96327,0
-5.58855,0
-5.21381,0
-4.83906,0
-4.46428,0
-4.08948,0
-3.71467,0
-3.33983,0
-2.96498,0
-2.59011,0
-2.21522,0
-1.84031,0
-1.46538,0
-1.09043,0
-0.715464,0
-0.340478,16
0.0345272,14
0.409552,10
0.784595,17
1.15966,13
1.53474,10
1.90984,16
2.28496,14
2.6601,16
3.03526,14
3.41043,12
3.78563,18
4.16084,22
4.53608,19
4.91133,20
5.2866,12
5.66189,23
6.0372,24
6.41253,23
6.78788,20
7.16325,20
7.53864,16
7.91404,16
8.28947,31
8.66491,16
9.04037,20
9.41585,25
9.79136,19
10.1669,29
10.5424,20
10.918,20
11.2935,26
11.6691,24
12.0448,30
12.4204,33
12.796,31
13.1717,32
13.5474,21
13.9231,31
14.2989,30
14.6746,22
15.0504,29
15.4262,21
15.802,36
16.1778,39
16.5536,34
16.9295,31
17.3054,30
17.6813,34
18.0572,39
18.4331,38
18.8091,32
19.1851,32
19.5611,41
19.9371,40
20.3131,45
20.6892,46
21.0652,46
21.4413,44
21.8174,46
22.1936,52
22.5697,42
22.9459,58
23.3221,60
23.6983,49
24.0745,43
24.4508,58
24.827,44
25.2033,53
25.5796,58
25.9559,57
26.3323,63
26.7086,55
27.085,68
27.4614,63
27.8378,79
28.2142,75
28.5907,74
28.9672,81
29.3437,83
29.7202,83
30.0967,91
30.4732,81
30.8498,81
31.2264,100
31.603,90
31.9796,96
32.3563,81
32.7329,94
33.1096,116
33.4863,97
33.863,124
34.2398,111
34.6165,127
34.9933,135
35.3701,137
35.7469,120
36.1238,159
36.5006,118
36.8775,137
37.2544,149
37.6313,158
38.0082,182
38.3852,175
38.7621,176
39.1391,159
39.5161,214
39.8932,232
40.2702,228
40.6473,226
41.0244,248
41.4015,285
41.7786,315
42.1557,359
42.5329,372
42.9101,420
43.2873,500
43.6645,575
44.0417,650
44.419,696
44.7962,834
45.1735,949
45.5508,1103
45.9282,1220
46.3055,1363
46.6829,1548
47.0603,1751
47.4377,1983
47.8151,2131
48.1926,2355
48.57,2438
48.9475,2681
49.325,2961
49.7025,3137
50.0801,3243
50.4576,3584
50.8352,3642
51.2128,3896
51.5904,4014
51.968,4354
52.3457,4360
52.7234,4551
53.1011,4651
53.4788,4886
53.8565,4861
54.2343,5064
54.612,5163
54.9898,5318
55.3676,5279
55.7454,5497
56.1233,5621
56.5012,5636
56.879,5835
57.2569,5842
