Energy, Data
-14.2631,0
-13.8668,0
-13.4705,0
-13.0742,0
-12.6778,0
-12.2815,0
-11.8851,0
-11.4887,0
-11.0923,0
-10.6959,0
-10.2994,0
-9.90296,0
-9.50648,0
-9.10999,0
-8.71348,0
-8.31696,0
-7.92042,0
-7.52386,0
-7.12729,0
-6.7307,0
-6.3341,0
-5.93748,0
-5.54084,0
-5.14419,0
-4.74752,0
-4.35083,0
-3.95413,0
-3.55741,0
-3.16067,0
-2.76392,0
-2.36716,0
-1.97037,0
-1.57357,19
-1.17676,15
-0.779923,20
-0.383075,20
0.0137902,24
0.410671,19
0.807569,15
1.20448,19
1.60141,15
1.99836,21
2.39532,19
2.7923,13
3.18929,24
3.5863,22
3.98333,27
4.38038,22
4.77744,20
5.17451,26
5.5716,24
5.96871,32
6.36584,23
6.76298,26
7.16014,26
7.55731,24
7.9545,21
8.3517,24
8.74893,31
9.14617,28
9.54342,28
9.94069,28
10.338,38
10.7353,28
11.1326,31
11.5299,21
11.9273,36
12.3247,38
12.722,31
13.1194,43
13.5169,22
13.9143,36
14.3117,36
14.7092,35
15.1067,29
15.5042,29
15.9017,50
16.2992,42
16.6968,41
17.0943,39
17.4919,39
17.8895,45
18.2871,53
18.6848,47
19.0824,57
19.4801,61
19.8777,46
20.2754,50
20.6731,63
21.0709,58
21.4686,58
21.8664,50
22.2641,59
22.6619,64
23.0597,53
23.4576,58
23.8554,74
24.2533,58
24.6511,66
25.049,65
25.4469,71
25.8449,68
26.2428,71
26.6407,81
27.0387,77
27.4367,96
27.8347,95
28.2327,87
28.6308,106
29.0288,100
29.4269,117
29.825,101
30.2231,133
30.6212,113
31.0193,130
31.4174,116
31.8156,146
32.2138,133
32.612,145
33.0102,126
33.4084,149
33.8067,163
34.2049,172
34.6032,177
35.0015,197
35.3998,200
35.7981,191
36.1965,215
36.5949,197
36.9932,205
37.3916,244
37.79,286
38.1885,272
38.5869,282
38.9854,343
39.3838,285
39.7823,348
40.1808,367
40.5793,392
40.9779,395
41.3764,438
41.775,471
42.1736,551
42.5722,653
42.9708,720
43.3694,835
43.7681,926
44.1668,993
44.5655,1135
44.9642,1439
45.3629,1601
45.7616,1938
46.1604,2312
46.5591,2457
46.9579,2815
47.3567,3095
47.7555,3523
48.1543,3656
48.5532,4289
48.9521,4509
49.3509,4741
49.7498,5166
50.1487,5357
50.5477,5696
50.9466,6141
51.3456,6444
51.7445,6653
52.1435,7065
52.5425,7291
52.9416,7620
53.3406,7995
53.7397,8214
54.1387,8475
54.5378,8633
54.9369,9020
55.3361,9267
55.7352,9633
56.1344,9770
56.5335,9996
56.9327,10426
57.3319,10720
57.7311,10951
58.1304,11281
58.5296,11435
58.9289,11525
59.3282,12067
59.7275,12440
60.1268,12934
60.5261,13077
60.9255,13844
61.3249,14134
61.7242,14850
62.1236,15165
62.5231,16121
62.9225,16741
63.3219,17280
63.7214,18325
64.1209,19476
64.5204,20608
