Energy, Data
-14.1849,0
-13.8018,0
-13.4186,0
-13.0355,0
-12.6523,0
-12.2691,0
-11.8859,0
-11.5027,0
-11.1194,0
-10.7362,0
-10.3529,0
-9.96961,0
-9.58631,0
-9.20299,0
-8.81965,0
-8.43629,0
-8.05292,0
-7.66954,0
-7.28613,0
-6.90271,0
-6.51928,0
-6.13582,0
-5.75236,0
-5.36887,0
-4.98537,0
-4.60185,0
-4.21832,0
-3.83477,0
-3.4512,0
-3.06762,0
-2.68402,0
-2.3004,0
-1.91677,2
-1.53312,3
-1.14945,1
-0.765772,2
-0.382074,3
0.00164034,6
0.385371,3
0.769118,6
1.15288,2
1.53666,4
1.92046,4
2.30427,2
2.6881,4
3.07194,1
3.45581,1
3.83968,2
4.22358,1
4.60749,4
4.99142,11
5.37536,6
5.75932,4
6.14329,5
6.52729,3
6.9113,4
7.29532,3
7.67936,5
8.06342,3
8.44749,4
8.83158,2
9.21569,4
9.59982,6
9.98396,8
10.3681,7
10.7523,5
11.1365,4
11.5207,10
11.9049,6
12.2891,4
12.6734,5
13.0577,6
13.4419,14
13.8263,8
14.2106,7
14.5949,5
14.9793,4
15.3636,7
15.748,8
16.1324,5
16.5168,7
16.9013,4
17.2857,8
17.6702,11
18.0547,5
18.4392,17
18.8237,7
19.2082,9
19.5928,13
19.9773,13
20.3619,13
20.7465,9
21.1311,17
21.5158,18
21.9004,13
22.2851,10
22.6697,18
23.0544,17
23.4392,19
23.8239,19
24.2086,18
24.5934,23
24.9782,17
25.363,23
25.7478,21
26.1326,22
26.5174,26
26.9023,22
27.2872,31
27.6721,25
28.057,29
28.4419,26
28.8268,33
29.2118,37
29.5968,37
29.9818,34
30.3668,34
30.7518,39
31.1368,45
31.5219,38
31.907,33
32.2921,52
32.6772,49
33.0623,42
33.4474,47
33.8326,58
34.2177,60
34.6029,58
34.9881,68
35.3734,68
35.7586,69
36.1438,72
36.5291,78
36.9144,84
37.2997,101
37.685,85
38.0704,88
38.4557,126
38.8411,123
39.2265,111
39.6119,160
39.9973,154
40.3827,160
40.7681,176
41.1536,228
41.5391,258
41.9246,255
42.3101,282
42.6956,348
43.0812,421
43.4667,460
43.8523,519
44.2379,621
44.6235,733
45.0092,875
45.3948,1023
45.7805,1120
46.1661,1250
46.5518,1450
46.9376,1659
47.3233,1734
47.709,2016
48.0948,2085
48.4806,2357
48.8664,2555
49.2522,2910
49.638,2996
50.0238,3222
50.4097,3459
50.7956,3668
51.1814,3735
51.5674,4112
51.9533,4349
52.3392,4496
52.7252,4629
53.1111,4673
53.4971,5022
53.8831,5098
54.2692,5226
54.6552,5293
55.0413,5400
55.4273,5595
55.8134,5526
56.1995,5786
56.5856,5816
56.9718,6081
57.3579,5987
57.7441,6036
58.1303,6123
58.5165,6236
58.9027,6275
59.2889,6579
59.6752,6586
60.0614,6746
60.4477,6820
60.834,6977
61.2203,7297
61.6067,7447
61.993,7639
62.3794,7830
62.7658,8238
63.1522,8666
63.5386,8827
63.925,9434
64.3115,9790
64.6979,10058
65.0844,10675
65.4709,11337
65.8574,11690
66.2439,12358
66.6305,12675
67.017,13469
67.4036,14229
67.7902,14565
68.1768,15314
68.5635,15820
68.9501,16312
69.3368,16919
69.7234,17399
70.1101,17624
70.4968,18040
70.8836,18107
71.2703,18441
71.6571,18418
72.0438,18229
72.4306,18587
72.8174,18436
73.2043,18450
73.5911,17961
73.978,17791
74.3648,17513
74.7517,17003
75.1386,16738
75.5255,16011
75.9125,15935
76.2994,15281
76.6864,14770
77.0734,14431
77.4604,13732
77.8474,13441
78.2344,12966
78.6215,12593
79.0086,12122
79.3957,11807
79.7828,11372
80.1699,11234
80.557,10855
80.9442,10583
81.3313,10660
81.7185,10242
82.1057,9825
82.4929,9849
82.8801,9458
83.2674,9291
83.6547,9349
84.0419,9264
84.4292,9098
84.8166,8842
85.2039,8542
85.5912,8437
85.9786,8434
86.366,7889
86.7534,7738
87.1408,7698
87.5282,7359
87.9157,7139
88.3031,6929
88.6906,6534
89.0781,6391
89.4656,6210
89.8531,5929
90.2407,5647
90.6282,5484
91.0158,5369
91.4034,5031
91.791,4855
92.1786,4786
92.5663,4628
92.9539,4585
93.3416,4282
93.7293,4243
94.117,4083
94.5047,4124
94.8925,4021
95.2802,3788
95.668,3830
96.0558,3810
96.4436,3707
96.8314,3644
97.2192,3651
97.6071,3616
97.995,3546
98.3829,3593
98.7708,3555
99.1587,3521
99.5466,3440
99.9346,3369
100.323,3527
100.711,3362
101.099,3448
101.487,3294
101.875,3265
102.263,3377
102.651,3318
103.039,3283
103.427,3342
103.815,3229
104.203,3289
104.591,3307
104.979,3150
105.368,3272
105.756,3267
106.144,3323
106.532,3262
106.921,3269
107.309,3259
107.697,3237
108.085,3283
108.474,3183
108.862,3137
109.25,3141
109.639,3040
110.027,3124
110.415,3085
110.804,3090
111.192,3030
111.581,3053
111.969,2987
112.358,3117
112.746,3053
113.135,2968
113.523,3021
113.912,3006
114.3,2931
114.689,3037
115.077,2934
115.466,2932
115.855,2893
116.243,2979
116.632,2859
117.021,2888
117.409,2840
117.798,2892
118.187,2839
118.576,2913
118.964,2887
119.353,2814
119.742,2893
120.131,2797
120.519,2890
120.908,2762
121.297,2797
121.686,2778
122.075,2759
122.464,2769
122.853,2755
123.242,2681
123.631,2722
124.02,2808
124.409,2695
124.798,2694
125.187,2784
125.576,2663
125.965,2701
126.354,2682
126.743,2621
127.132,2704
127.521,2688
127.91,2588
128.299,2635
128.688,2603
129.078,2604
129.467,2591
129.856,2534
130.245,2608
130.635,2566
131.024,2587
131.413,2570
131.802,2518
132.192,2579
132.581,2564
132.97,2578
133.36,2594
133.749,2569
134.138,2571
134.528,2499
134.917,2613
135.307,2461
135.696,2682
136.086,2590
136.475,2531
136.865,2552
137.254,2627
137.644,2559
138.033,2657
138.423,2663
138.812,2650
139.202,2593
139.592,2673
139.981,2732
140.371,2681
140.761,2680
141.15,2729
141.54,2664
141.93,2651
142.319,2629
142.709,2760
143.099,2884
143.489,2665
143.879,2656
144.268,2796
144.658,2776
145.048,2649
145.438,2752
145.828,2759
146.218,2718
146.608,2820
146.998,2702
147.388,2870
147.777,2783
148.167,2935
148.557,2828
148.947,2892
149.337,2916
149.728,2828
150.118,2830
150.508,2835
150.898,2913
151.288,2778
151.678,2847
152.068,2853
152.458,2861
152.849,2988
153.239,3001
153.629,2935
154.019,3004
154.409,2963
154.8,3008
155.19,2971
155.58,2943
155.971,2945
156.361,2996
156.751,2896
157.142,3061
157.532,2998
157.922,2959
158.313,2972
158.703,2936
159.094,2997
159.484,2998
159.874,3043
160.265,3040
160.655,3101
161.046,3031
161.437,3060
161.827,3246
162.218,3087
162.608,3197
162.999,3118
163.389,3168
163.78,3178
164.171,3153
164.561,3131
164.952,3115
165.343,3089
165.734,3112
166.124,3073
166.515,3094
166.906,3195
167.297,3154
167.687,3222
168.078,3225
168.469,3200
168.86,3197
169.251,3216
169.642,3128
170.033,3126
170.423,3192
170.814,3187
171.205,3257
171.596,3232
171.987,3254
172.378,3307
172.769,3318
173.16,3187
173.551,3289
173.942,3129
174.333,3197
174.725,3232
175.116,3296
175.507,3237
175.898,3156
176.289,3247
176.68,3169
177.071,3276
177.463,3194
177.854,3251
178.245,3387
178.636,3180
179.028,3259
179.419,3349
179.81,3193
180.202,3268
180.593,3313
180.984,3365
181.376,3239
181.767,3347
182.158,3173
182.55,3328
182.941,3162
183.333,3267
183.724,3218
184.116,3153
184.507,3256
184.899,3139
185.29,3244
185.682,3295
186.073,3171
186.465,3229
186.857,3250
187.248,3227
187.64,3223
188.031,3312
188.423,3292
188.815,3252
189.207,3339
189.598,3242
189.99,3203
190.382,3302
190.773,3322
191.165,3286
191.557,3264
191.949,3219
192.341,3325
192.733,3253
193.124,3294
193.516,3140
193.908,3171
194.3,3370
194.692,3281
195.084,3256
195.476,3129
195.868,3246
196.26,3210
196.652,3221
197.044,3290
197.436,3224
197.828,3391
198.22,3267
198.612,3269
199.004,3280
199.396,3256
199.789,3253
200.181,3279
200.573,3217
200.965,3319
201.357,3308
201.75,3282
202.142,3241
202.534,3345
202.926,3355
203.319,3218
203.711,3348
204.103,3332
204.496,3297
204.888,3293
205.28,3277
205.673,3358
206.065,3388
206.458,3277
206.85,3386
207.242,3366
207.635,3370
208.027,3346
208.42,3358
208.812,3404
209.205,3370
209.597,3329
209.99,3474
210.383,3376
210.775,3309
211.168,3436
211.56,3461
211.953,3399
212.346,3395
212.738,3391
213.131,3492
213.524,3420
213.917,3579
214.309,3469
214.702,3328
215.095,3570
215.488,3483
215.88,3455
216.273,3509
216.666,3491
217.059,3528
217.452,3564
217.845,3541
218.238,3608
218.631,3518
219.024,3631
219.417,3576
219.809,3735
220.202,3522
220.595,3586
220.989,3627
221.382,3544
221.775,3782
222.168,3681
222.561,3678
222.954,3639
223.347,3815
223.74,3797
224.133,3779
224.526,3839
224.92,3772
225.313,3828
225.706,3892
226.099,3950
226.493,3895
226.886,4070
227.279,4099
227.672,4144
228.066,4160
228.459,4134
228.852,4322
229.246,4364
229.639,4460
230.033,4350
230.426,4441
230.819,4495
231.213,4587
231.606,4548
232,4670
232.393,4791
232.787,4812
233.18,4854
233.574,4919
233.968,4935
234.361,4946
234.755,5014
235.148,5170
235.542,5368
235.936,5334
236.329,5254
236.723,5277
237.117,5368
237.51,5487
237.904,5512
238.298,5617
238.692,5549
239.085,5551
239.479,5563
239.873,5857
240.267,5722
240.661,5766
241.054,5933
241.448,5820
241.842,5875
242.236,5832
242.63,5838
243.024,5875
243.418,5839
243.812,5966
244.206,5915
244.6,5964
244.994,5909
245.388,5938
245.782,5910
246.176,5635
246.57,5761
246.964,5857
247.358,5827
247.753,5780
248.147,5804
248.541,5715
248.935,5726
249.329,5573
249.724,5506
250.118,5492
250.512,5365
250.906,5427
251.301,5367
251.695,5443
252.089,5311
252.484,5216
252.878,5165
253.272,4978
253.667,5152
254.061,4912
254.455,4917
254.85,4858
255.244,4774
255.639,4741
256.033,4704
256.428,4587
256.822,4557
257.217,4571
257.611,4461
258.006,4372
258.4,4294
258.795,4244
259.19,4290
259.584,4357
259.979,4189
260.374,4016
260.768,3929
261.163,4140
261.558,3985
261.952,3976
262.347,3975
262.742,3995
263.137,3847
263.531,3773
263.926,3683
264.321,3629
264.716,3725
265.111,3650
265.506,3614
265.901,3678
266.296,3572
266.69,3648
267.085,3458
267.48,3503
267.875,3496
268.27,3451
268.665,3455
269.06,3478
269.455,3354
269.85,3376
270.245,3393
270.641,3287
271.036,3301
271.431,3347
271.826,3283
272.221,3443
272.616,3422
273.011,3351
273.407,3311
273.802,3365
274.197,3328
274.592,3231
274.988,3224
275.383,3258
275.778,3157
276.173,3292
276.569,3260
276.964,3234
277.36,3221
277.755,3289
278.15,3152
278.546,3126
278.941,3319
279.337,3191
279.732,3264
280.128,3263
280.523,3214
280.919,3277
281.314,3274
281.71,3169
282.105,3177
282.501,3194
282.896,3164
283.292,3176
283.688,3163
284.083,3155
284.479,3092
284.875,3171
285.27,3217
285.666,3268
286.062,3223
286.457,3212
286.853,3231
287.249,3189
287.645,3280
288.041,3111
288.436,3178
288.832,3266
289.228,3215
289.624,3167
290.02,3227
290.416,3191
290.812,3182
291.208,3187
291.604,3285
292,3116
292.395,3189
292.792,3062
293.188,3196
293.584,3068
293.98,3153
294.376,3214
294.772,3237
295.168,3177
295.564,3210
295.96,3126
296.356,3215
296.752,3171
297.149,3222
297.545,3165
297.941,3208
298.337,3078
298.733,3154
299.13,3038
299.526,3170
299.922,3049
300.319,3167
300.715,3107
301.111,3190
301.508,3054
301.904,3128
302.3,3160
302.697,3037
303.093,3071
303.49,3231
303.886,3058
304.283,3110
304.679,3150
305.076,3161
305.472,3067
305.869,3191
306.265,3105
306.662,3189
307.058,3172
307.455,3201
307.852,3239
308.248,3232
308.645,3184
309.042,3081
309.438,3210
309.835,3267
310.232,3282
310.629,3281
311.025,3353
311.422,3202
311.819,3311
312.216,3348
312.612,3275
313.009,3502
313.406,3525
313.803,3538
314.2,3535
314.597,3625
314.994,3586
315.391,3549
315.788,3728
316.185,3696
316.582,3750
316.979,3749
317.376,3862
317.773,3934
318.17,4001
318.567,4095
318.964,3989
319.361,4293
319.758,4279
320.155,4455
320.552,4594
320.949,4516
321.347,4729
321.744,4711
322.141,4925
322.538,5061
322.936,5113
323.333,5206
323.73,5314
324.127,5404
324.525,5419
324.922,5648
325.319,5965
325.717,6012
326.114,6053
326.512,6364
326.909,6321
327.306,6560
327.704,6696
328.101,6757
328.499,7107
328.896,7075
329.294,7243
329.691,7422
330.089,7560
330.486,7650
330.884,7873
331.282,8000
331.679,8103
332.077,8279
332.474,8421
332.872,8558
333.27,8686
333.667,8864
334.065,9008
334.463,9008
334.861,9217
335.258,9618
335.656,9685
336.054,9576
336.452,9833
336.849,10041
337.247,10082
337.645,9990
338.043,10199
338.441,10285
338.839,10491
339.237,10574
339.635,10456
340.033,10640
340.431,10706
340.829,10874
341.227,10707
341.625,10859
342.023,10858
342.421,11173
342.819,10908
343.217,11072
343.615,11042
344.013,10968
344.411,10905
344.809,11025
345.207,10949
345.606,11022
346.004,10931
346.402,10815
346.8,10988
347.199,10836
347.597,10793
347.995,10648
348.393,10606
348.792,10678
349.19,10501
349.588,10545
349.987,10224
350.385,10057
350.783,9913
351.182,10068
351.58,10001
351.979,9589
352.377,9530
352.776,9599
353.174,9437
353.573,9307
353.971,8853
354.37,8853
354.768,8683
355.167,8683
355.565,8281
355.964,8326
356.363,8177
356.761,8088
357.16,7906
357.559,7704
357.957,7463
358.356,7251
358.755,7156
359.153,6958
359.552,7037
359.951,6651
360.35,6514
360.749,6318
361.147,6375
361.546,5966
361.945,5824
362.344,5818
362.743,5603
363.142,5460
363.541,5273
363.94,5294
364.339,5028
364.737,4837
365.136,4801
365.535,4776
365.934,4626
366.333,4357
366.733,4280
367.132,4159
367.531,4152
367.93,4193
368.329,3963
368.728,3888
369.127,3756
369.526,3681
369.926,3554
370.325,3510
370.724,3429
371.123,3357
371.522,3209
371.922,3325
372.321,3129
372.72,3039
373.12,2893
373.519,2921
373.918,2906
374.318,2860
374.717,2698
375.116,2711
375.516,2710
375.915,2589
376.315,2645
376.714,2586
377.113,2488
377.513,2497
377.912,2436
378.312,2437
378.712,2320
379.111,2381
379.511,2345
379.91,2298
380.31,2300
380.709,2377
381.109,2246
381.509,2217
381.908,2287
382.308,2234
382.708,2213
383.108,2202
383.507,2141
383.907,2210
384.307,2099
384.707,2063
385.106,2179
385.506,2219
385.906,2085
386.306,2132
386.706,2070
387.106,2025
387.505,2093
387.905,2115
388.305,2066
388.705,2058
389.105,2118
389.505,2172
389.905,2048
390.305,2120
390.705,2047
391.105,2100
391.505,2055
391.905,2111
392.306,2026
392.706,2149
393.106,2096
393.506,2148
393.906,2057
394.306,2054
394.706,2140
395.107,2097
395.507,2167
395.907,2187
396.307,2174
396.708,2081
397.108,2191
397.508,2120
397.909,2184
398.309,2175
398.709,2095
399.11,2160
399.51,2196
399.91,2266
400.311,2170
400.711,2132
401.112,2170
401.512,2254
401.913,2250
402.313,2234
402.714,2334
403.114,2287
403.515,2216
403.915,2265
404.316,2250
404.717,2232
405.117,2293
405.518,2327
405.918,2338
406.319,2246
406.72,2355
407.12,2289
407.521,2401
407.922,2324
408.323,2263
408.723,2336
409.124,2322
409.525,2247
409.926,2387
410.327,2287
410.728,2373
411.128,2304
411.529,2372
411.93,2455
412.331,2400
412.732,2353
413.133,2388
413.534,2289
413.935,2441
414.336,2441
414.737,2378
415.138,2333
415.539,2328
415.94,2378
416.341,2346
416.742,2395
417.143,2305
417.544,2403
417.946,2358
418.347,2380
418.748,2333
419.149,2411
419.55,2421
419.951,2378
420.353,2409
420.754,2394
