Energy, Data
-13.9563,0
-13.5687,0
-13.1811,0
-12.7935,0
-12.4059,0
-12.0182,0
-11.6306,0
-11.2429,0
-10.8552,0
-10.4675,0
-10.0798,0
-9.69202,0
-9.30426,0
-8.91648,0
-8.52869,0
-8.14088,0
-7.75306,0
-7.36521,0
-6.97735,0
-6.58948,0
-6.20158,0
-5.81367,0
-5.42575,0
-5.0378,0
-4.64984,0
-4.26186,0
-3.87387,0
-3.48586,0
-3.09783,0
-2.70979,0
-2.32173,0
-1.93365,0
-1.54556,0
-1.15744,0
-0.769317,0
-0.381173,22
0.00698859,16
0.395166,24
0.783361,28
1.17157,21
1.5598,25
1.94805,17
2.33631,25
2.72459,20
3.11288,22
3.50119,20
3.88952,20
4.27787,19
4.66623,22
5.05461,32
5.443,28
5.83141,32
6.21984,24
6.60829,20
6.99675,28
7.38523,25
7.77373,23
8.16224,20
8.55077,35
8.93931,25
9.32788,21
9.71646,30
10.1051,33
10.4937,31
10.8823,28
11.2709,42
11.6596,24
12.0483,35
12.437,35
12.8257,39
13.2144,33
13.6032,39
13.9919,39
14.3807,47
14.7695,25
15.1583,30
15.5472,39
15.936,49
16.3249,41
16.7137,48
17.1026,30
17.4916,53
17.8805,42
18.2694,42
18.6584,40
19.0474,64
19.4364,47
19.8254,56
20.2144,55
20.6035,54
20.9925,63
21.3816,59
21.7707,80
22.1598,74
22.549,62
22.9381,72
23.3273,62
23.7165,69
24.1057,80
24.4949,83
24.8841,78
25.2734,83
25.6626,98
26.0519,72
26.4412,72
26.8305,97
27.2199,106
27.6092,117
27.9986,112
28.3879,124
28.7773,109
29.1668,115
29.5562,127
29.9456,122
30.3351,138
30.7246,153
31.1141,155
31.5036,142
31.8931,137
32.2827,173
32.6723,174
33.0618,182
33.4514,184
33.8411,175
34.2307,181
34.6203,187
35.01,220
35.3997,232
35.7894,223
36.1791,231
36.5689,246
36.9586,291
37.3484,257
37.7382,264
38.128,272
38.5178,325
38.9076,332
39.2975,343
39.6873,397
40.0772,448
40.4671,476
40.857,529
41.247,560
41.6369,715
42.0269,784
42.4169,919
42.8069,1041
43.1969,1299
43.5869,1465
43.977,1638
44.367,2077
44.7571,2354
45.1472,2696
45.5373,3011
45.9275,3375
46.3176,3760
46.7078,4098
47.098,4556
47.4882,4967
47.8784,5278
48.2687,5507
48.6589,5854
49.0492,6143
49.4395,6410
49.8298,6736
50.2201,6829
50.6104,7398
51.0008,7248
51.3911,7622
51.7815,7937
52.1719,8162
52.5624,8413
52.9528,8642
53.3432,8884
53.7337,9030
54.1242,9269
54.5147,9414
54.9052,9654
55.2958,9573
55.6863,9975
56.0769,10191
56.4675,10159
56.8581,10438
57.2487,10730
57.6393,10943
58.03,10983
58.4207,11249
58.8114,11677
59.2021,11794
59.5928,12165
59.9835,12268
60.3743,12552
60.765,12903
61.1558,13635
61.5466,14190
61.9375,14450
62.3283,15118
62.7192,15879
63.11,16914
63.5009,17534
63.8918,18548
64.2827,19125
64.6737,20282
65.0646,21446
65.4556,22804
65.8466,23717
66.2376,25126
66.6286,26486
67.0197,28135
67.4107,29294
67.8018,30405
68.1929,32184
68.584,33438
68.9751,34678
69.3662,35660
69.7574,36949
70.1486,37749
70.5398,38879
70.931,39456
71.3222,40099
71.7134,40903
72.1047,41032
72.496,40726
72.8873,41361
73.2786,40875
73.6699,40549
74.0612,40125
74.4526,39483
74.844,39018
75.2354,38024
75.6268,37016
76.0182,36496
76.4096,35591
76.8011,34062
77.1926,33564
77.584,32515
77.9756,31828
78.3671,30671
78.7586,30025
79.1502,29040
79.5417,28421
79.9333,27889
80.325,27241
80.7166,26415
81.1082,26078
81.4999,25915
81.8915,25583
82.2832,25361
82.6749,25332
83.0667,24917
83.4584,24790
83.8502,24795
84.242,24477
84.6337,24190
85.0256,24145
85.4174,23874
85.8092,23228
86.2011,22746
86.593,22170
86.9848,22095
87.3768,21801
87.7687,21086
88.1606,20628
88.5526,19874
88.9446,19413
89.3366,19483
89.7286,18646
90.1206,18383
90.5126,17483
90.9047,16937
91.2968,16465
91.6889,16047
92.081,15533
92.4731,15078
92.8652,14713
93.2574,14338
93.6496,14038
94.0418,13669
94.434,13210
94.8262,13029
95.2185,12883
95.6107,12658
96.003,12283
96.3953,12398
96.7876,11884
97.1799,11811
97.5723,11621
97.9646,11509
98.357,11197
98.7494,11282
99.1418,11288
99.5342,11103
99.9267,11136
100.319,11149
100.712,11023
101.104,11050
101.497,11096
101.889,11107
102.282,11305
102.674,11249
103.067,11093
103.459,11447
103.852,11675
104.245,11739
104.637,11796
105.03,11996
105.423,12407
105.815,12697
106.208,13106
106.601,13182
106.994,13532
107.386,14056
107.779,14467
108.172,15038
108.565,15515
108.958,16079
109.35,17032
109.743,17907
110.136,18435
110.529,19505
110.922,20307
111.315,21639
111.708,23056
112.101,24358
112.494,25913
112.887,27045
113.28,28644
113.673,30340
114.066,31747
114.459,33874
114.852,35983
115.245,37447
115.638,39649
116.031,41105
116.424,43190
116.818,44598
117.211,46739
117.604,48226
117.997,49924
118.39,51181
118.784,52506
119.177,53516
119.57,54787
119.964,54866
120.357,55953
120.75,56720
121.144,56916
121.537,56793
121.93,56534
122.324,56251
122.717,55941
123.111,54855
123.504,53871
123.897,52986
124.291,51100
124.684,49896
125.078,48177
125.471,46186
125.865,44743
126.259,42781
126.652,40898
127.046,38869
127.439,36768
127.833,34683
128.227,32914
128.62,30920
129.014,28894
129.408,27696
129.801,25479
130.195,24047
130.589,22259
130.983,20720
131.376,19573
131.77,18274
132.164,17005
132.558,16104
132.952,14789
133.346,14045
133.74,13250
134.133,12346
134.527,11775
134.921,10985
135.315,10512
135.709,9947
136.103,9507
136.497,9162
136.891,8824
137.285,8445
137.679,8165
138.073,7710
138.467,7666
138.862,7463
139.256,7145
139.65,7087
140.044,6810
140.438,6783
140.832,6572
141.227,6501
141.621,6426
142.015,6437
142.409,6296
142.803,6173
143.198,6134
143.592,6165
143.986,5982
144.381,5896
144.775,5988
145.169,5852
145.564,5986
145.958,5879
146.353,5838
146.747,5746
147.142,5953
147.536,5771
147.931,5678
148.325,5793
148.72,5775
149.114,5628
149.509,5737
149.903,5774
150.298,5845
150.692,5739
151.087,5642
151.482,5692
151.876,5748
152.271,5716
152.666,5803
153.06,5877
153.455,5659
153.85,5701
154.245,5681
154.639,5726
155.034,5880
155.429,5748
155.824,5837
156.219,5821
156.613,5762
157.008,5838
157.403,5963
157.798,5967
158.193,5969
158.588,5991
158.983,6019
159.378,5947
159.773,6002
160.168,6030
160.563,6162
160.958,6083
161.353,6223
161.748,6116
162.143,6151
162.538,6193
162.933,6243
163.329,6359
163.724,6124
164.119,6114
164.514,6329
164.909,6292
165.304,6326
165.7,6443
166.095,6345
166.49,6342
166.886,6397
167.281,6461
167.676,6332
168.071,6511
168.467,6284
168.862,6546
169.258,6456
169.653,6411
170.048,6364
170.444,6233
170.839,6361
171.235,6316
171.63,6397
172.026,6212
172.421,6349
172.817,6291
173.212,6255
173.608,6176
174.004,6131
174.399,6295
174.795,6418
175.19,6142
