(required),Total Attenuation,
Photon,,
Energy,,
,With Coherent,Without Coherent
,Scattering,Scattering
MeV,cm2/g,cm2/g
1.00E-03,9.79E+03,9.79E+03
1.05E-03,8.64E+03,8.64E+03
1.10E-03,7.64E+03,7.63E+03
1.10E-03,8.62E+03,8.62E+03
1.50E-03,4.06E+03,4.06E+03
2.00E-03,1.98E+03,1.97E+03
3.00E-03,6.85E+02,6.82E+02
4.00E-03,3.17E+02,3.14E+02
5.00E-03,1.73E+02,1.71E+02
6.00E-03,1.05E+02,1.03E+02
8.00E-03,4.78E+01,4.61E+01
8.98E-03,3.48E+01,3.33E+01
8.98E-03,2.50E+02,2.48E+02
1.00E-02,1.94E+02,1.92E+02
1.50E-02,6.64E+01,6.56E+01
2.00E-02,3.03E+01,2.98E+01
3.00E-02,9.80E+00,9.49E+00
4.00E-02,4.38E+00,4.18E+00
5.00E-02,2.36E+00,2.23E+00
6.00E-02,1.45E+00,1.35E+00
8.00E-02,7.01E-01,6.41E-01
1.00E-01,4.27E-01,3.87E-01
1.50E-01,2.13E-01,1.94E-01
2.00E-01,1.53E-01,1.42E-01
3.00E-01,1.12E-01,1.07E-01
4.00E-01,9.48E-02,9.19E-02
5.00E-01,8.45E-02,8.26E-02
6.00E-01,7.72E-02,7.59E-02
8.00E-01,6.70E-02,6.62E-02
1.00E+00,5.99E-02,5.94E-02
1.02E+00,5.92E-02,5.87E-02
1.25E+00,5.34E-02,5.31E-02
1.50E+00,4.87E-02,4.85E-02
2.00E+00,4.26E-02,4.24E-02
