(required),Total Attenuation,
Photon,,
Energy,,
,With Coherent,Without Coherent
,Scattering,Scattering
MeV,cm2/g,cm2/g
1.00E-03,3.14E+03,3.14E+03
1.50E-03,1.04E+03,1.04E+03
2.00E-03,4.60E+02,4.59E+02
3.00E-03,1.42E+02,1.41E+02
4.00E-03,6.03E+01,5.97E+01
5.00E-03,3.09E+01,3.04E+01
6.00E-03,1.78E+01,1.74E+01
8.00E-03,7.47E+00,7.21E+00
1.00E-02,3.85E+00,3.66E+00
1.50E-02,1.24E+00,1.12E+00
2.00E-02,6.26E-01,5.49E-01
3.00E-02,3.16E-01,2.76E-01
4.00E-02,2.38E-01,2.13E-01
5.00E-02,2.07E-01,1.91E-01
6.00E-02,1.91E-01,1.79E-01
8.00E-02,1.72E-01,1.65E-01
1.00E-01,1.61E-01,1.57E-01
1.50E-01,1.43E-01,1.41E-01
2.00E-01,1.30E-01,1.29E-01
3.00E-01,1.13E-01,1.12E-01
4.00E-01,1.01E-01,1.01E-01
5.00E-01,9.20E-02,9.18E-02
6.00E-01,8.51E-02,8.49E-02
8.00E-01,7.47E-02,7.46E-02
1.00E+00,6.72E-02,6.71E-02
1.02E+00,6.65E-02,6.64E-02
1.25E+00,6.01E-02,6.00E-02
1.50E+00,5.47E-02,5.46E-02
2.00E+00,4.69E-02,4.69E-02
2.04E+00,4.64E-02,4.64E-02
3.00E+00,3.77E-02,3.77E-02
4.00E+00,3.23E-02,3.23E-02
5.00E+00,2.87E-02,2.87E-02
6.00E+00,2.62E-02,2.62E-02
7.00E+00,2.43E-02,2.43E-02
8.00E+00,2.29E-02,2.29E-02
9.00E+00,2.18E-02,2.18E-02
1.00E+01,2.09E-02,2.09E-02
1.10E+01,2.02E-02,2.02E-02
1.20E+01,1.95E-02,1.95E-02
1.30E+01,1.90E-02,1.90E-02
1.40E+01,1.86E-02,1.86E-02
1.50E+01,1.82E-02,1.82E-02
1.60E+01,1.79E-02,1.79E-02
1.80E+01,1.74E-02,1.74E-02
2.00E+01,1.69E-02,1.69E-02
2.20E+01,1.66E-02,1.66E-02
2.40E+01,1.64E-02,1.64E-02
2.60E+01,1.62E-02,1.62E-02
2.80E+01,1.60E-02,1.60E-02
3.00E+01,1.59E-02,1.59E-02
4.00E+01,1.56E-02,1.56E-02
5.00E+01,1.55E-02,1.55E-02
6.00E+01,1.55E-02,1.55E-02
8.00E+01,1.57E-02,1.57E-02
1.00E+02,1.59E-02,1.59E-02
1.50E+02,1.64E-02,1.64E-02
2.00E+02,1.68E-02,1.68E-02
3.00E+02,1.74E-02,1.74E-02
4.00E+02,1.77E-02,1.77E-02
5.00E+02,1.80E-02,1.80E-02
6.00E+02,1.82E-02,1.82E-02
8.00E+02,1.84E-02,1.84E-02
1.00E+03,1.86E-02,1.86E-02
1.50E+03,1.89E-02,1.89E-02
2.00E+03,1.90E-02,1.90E-02
3.00E+03,1.92E-02,1.92E-02
4.00E+03,1.93E-02,1.93E-02
5.00E+03,1.94E-02,1.94E-02
6.00E+03,1.94E-02,1.94E-02
8.00E+03,1.95E-02,1.95E-02
1.00E+04,1.95E-02,1.95E-02
1.50E+04,1.95E-02,1.95E-02
2.00E+04,1.96E-02,1.96E-02
3.00E+04,1.96E-02,1.96E-02
4.00E+04,1.96E-02,1.96E-02
5.00E+04,1.96E-02,1.96E-02
6.00E+04,1.96E-02,1.96E-02
8.00E+04,1.96E-02,1.96E-02
1.00E+05,1.96E-02,1.96E-02
