(required),Total Attenuation,
Photon,,
Energy,,
,With Coherent,Without Coherent
,Scattering,Scattering
MeV,cm2/g,cm2/g
1.00E-03,3.65E+03,3.64E+03
1.50E-03,1.60E+03,1.59E+03
1.81E-03,1.07E+03,1.06E+03
1.81E-03,1.27E+03,1.26E+03
1.84E-03,1.85E+03,1.84E+03
1.87E-03,2.71E+03,2.70E+03
1.87E-03,2.95E+03,2.94E+03
2.00E-03,3.68E+03,3.67E+03
2.28E-03,2.65E+03,2.65E+03
2.28E-03,3.08E+03,3.07E+03
2.42E-03,2.66E+03,2.65E+03
2.58E-03,2.29E+03,2.28E+03
2.58E-03,2.44E+03,2.43E+03
2.69E-03,2.19E+03,2.18E+03
2.82E-03,1.97E+03,1.96E+03
2.82E-03,2.05E+03,2.05E+03
3.00E-03,1.78E+03,1.77E+03
4.00E-03,8.95E+02,8.87E+02
5.00E-03,5.17E+02,5.10E+02
6.00E-03,3.28E+02,3.22E+02
8.00E-03,1.59E+02,1.54E+02
1.00E-02,9.05E+01,8.63E+01
1.02E-02,8.59E+01,8.18E+01
1.02E-02,2.18E+02,2.13E+02
1.09E-02,1.85E+02,1.81E+02
1.15E-02,1.57E+02,1.54E+02
1.15E-02,2.15E+02,2.12E+02
1.18E-02,2.04E+02,2.00E+02
1.21E-02,1.92E+02,1.89E+02
1.21E-02,2.22E+02,2.19E+02
1.50E-02,1.29E+02,1.27E+02
2.00E-02,6.12E+01,5.93E+01
3.00E-02,2.12E+01,2.01E+01
4.00E-02,9.95E+00,9.21E+00
5.00E-02,5.55E+00,5.03E+00
6.00E-02,3.47E+00,3.08E+00
6.95E-02,2.39E+00,2.08E+00
6.95E-02,1.05E+01,1.02E+01
8.00E-02,7.28E+00,7.04E+00
1.00E-01,4.14E+00,3.97E+00
1.50E-01,1.48E+00,1.40E+00
2.00E-01,7.39E-01,6.90E-01
3.00E-01,3.09E-01,2.86E-01
4.00E-01,1.86E-01,1.73E-01
5.00E-01,1.35E-01,1.26E-01
6.00E-01,1.08E-01,1.01E-01
8.00E-01,8.03E-02,7.67E-02
1.00E+00,6.63E-02,6.39E-02
1.02E+00,6.51E-02,6.29E-02
1.25E+00,5.61E-02,5.46E-02
1.50E+00,5.03E-02,4.93E-02
2.00E+00,4.45E-02,4.39E-02
