Energy, Data
-1.73205,0
-1.69893,0
-1.66581,0
-1.63269,0
-1.59958,0
-1.56646,0
-1.53334,0
-1.50022,0
-1.4671,0
-1.43398,0
-1.40086,1
-1.36774,0
-1.33462,0
-1.3015,1
-1.26838,0
-1.23527,0
-1.20215,2
-1.16903,0
-1.13591,1
-1.10279,0
-1.06967,1
-1.03655,0
-1.00343,0
-0.970312,0
-0.937193,0
-0.904074,0
-0.870955,0
-0.837836,0
-0.804717,0
-0.771598,0
-0.738479,0
-0.70536,0
-0.67224,0
-0.639121,0
-0.606002,0
-0.572883,0
-0.539764,0
-0.506645,0
-0.473526,0
-0.440407,0
-0.407288,0
-0.374168,0
-0.341049,0
-0.30793,0
-0.274811,0
-0.241692,0
-0.208573,1
-0.175454,0
-0.142335,0
-0.109216,0
-0.0760965,1
-0.0429774,0
-0.00985825,0
0.0232609,0
0.05638,1
0.0894991,0
0.122618,0
0.155737,0
0.188856,0
0.221976,0
0.255095,1
0.288214,0
0.321333,0
0.354452,0
0.387571,0
0.42069,1
0.453809,0
0.486928,0
0.520048,0
0.553167,0
0.586286,0
0.619405,1
0.652524,0
0.685643,0
0.718762,1
0.751881,0
0.785,0
0.81812,1
0.851239,0
0.884358,1
0.917477,1
0.950596,1
0.983715,1
1.01683,2
1.04995,0
1.08307,1
1.11619,1
1.14931,2
1.18243,0
1.21555,1
1.24867,0
1.28179,1
1.31491,1
1.34803,2
1.38114,0
1.41426,5
1.44738,2
1.4805,0
1.51362,0
1.54674,1
1.57986,0
1.61298,3
1.6461,1
1.67922,2
1.71234,3
1.74545,1
1.77857,1
1.81169,1
1.84481,3
1.87793,2
1.91105,1
1.94417,3
1.97729,4
2.01041,4
2.04353,1
2.07665,3
2.10977,3
2.14288,2
2.176,1
2.20912,2
2.24224,6
2.27536,4
2.30848,7
2.3416,4
2.37472,2
2.40784,3
2.44096,5
2.47408,7
2.50719,4
2.54031,7
2.57343,8
2.60655,15
2.63967,14
2.67279,13
2.70591,15
2.73903,23
2.77215,29
2.80527,43
2.83839,40
2.8715,61
2.90462,73
2.93774,90
2.97086,72
3.00398,80
3.0371,106
3.07022,105
3.10334,137
3.13646,96
3.16958,114
3.2027,129
3.23581,109
3.26893,131
3.30205,126
3.33517,100
3.36829,97
3.40141,103
3.43453,111
3.46765,101
3.50077,108
3.53389,79
3.56701,97
3.60013,93
3.63324,106
3.66636,94
3.69948,78
3.7326,78
3.76572,77
3.79884,80
3.83196,64
3.86508,63
3.8982,83
3.93132,71
3.96444,69
3.99755,66
4.03067,54
4.06379,62
4.09691,57
4.13003,54
4.16315,60
4.19627,45
4.22939,51
4.26251,54
4.29563,63
4.32875,50
4.36186,47
4.39498,57
4.4281,61
4.46122,42
4.49434,51
4.52746,40
4.56058,41
4.5937,43
4.62682,44
4.65994,32
4.69306,46
4.72617,35
4.75929,37
4.79241,40
4.82553,34
4.85865,29
4.89177,37
4.92489,38
4.95801,33
4.99113,30
5.02425,34
5.05737,35
5.09049,44
5.1236,26
5.15672,28
5.18984,18
5.22296,31
5.25608,30
5.2892,25
5.32232,26
5.35544,26
5.38856,29
5.42168,29
5.4548,24
5.48791,23
5.52103,36
5.55415,28
5.58727,28
5.62039,22
5.65351,26
5.68663,26
5.71975,22
5.75287,27
5.78599,32
5.81911,30
5.85222,32
5.88534,23
5.91846,19
5.95158,29
5.9847,34
6.01782,32
6.05094,26
6.08406,28
6.11718,20
6.1503,30
6.18342,22
6.21653,29
6.24965,17
6.28277,27
6.31589,25
6.34901,27
6.38213,16
6.41525,21
6.44837,25
6.48149,20
6.51461,16
6.54773,21
6.58084,24
6.61396,24
6.64708,22
6.6802,23
6.71332,25
6.74644,18
6.77956,30
6.81268,21
6.8458,20
6.87892,24
6.91204,20
6.94516,31
6.97827,14
7.01139,20
7.04451,16
7.07763,18
7.11075,22
7.14387,14
7.17699,17
7.21011,15
7.24323,19
7.27635,8
7.30947,15
7.34258,15
7.3757,21
7.40882,17
7.44194,16
7.47506,19
7.50818,18
7.5413,21
7.57442,25
7.60754,12
7.64066,26
7.67378,23
7.70689,19
7.74001,17
7.77313,15
7.80625,22
7.83937,19
7.87249,17
7.90561,19
7.93873,19
7.97185,25
8.00497,16
8.03809,21
8.07121,32
8.10432,25
8.13744,11
8.17056,16
8.20368,17
8.2368,16
8.26992,10
8.30304,22
8.33616,15
8.36928,19
8.4024,18
8.43552,18
8.46863,30
8.50175,22
8.53487,14
8.56799,21
8.60111,18
8.63423,15
8.66735,11
8.70047,17
8.73359,15
8.76671,18
8.79983,17
8.83294,20
8.86606,19
8.89918,19
8.9323,12
8.96542,21
8.99854,10
9.03166,19
9.06478,27
9.0979,11
9.13102,14
9.16414,22
9.19726,25
9.23037,19
9.26349,18
9.29661,18
9.32973,22
9.36285,20
9.39597,19
9.42909,13
9.46221,20
9.49533,9
9.52845,19
9.56157,10
9.59468,10
9.6278,24
9.66092,16
9.69404,15
9.72716,19
9.76028,17
9.7934,27
9.82652,21
9.85964,21
9.89276,21
9.92588,16
9.95899,20
9.99211,14
10.0252,10
10.0584,16
10.0915,19
10.1246,15
10.1577,9
10.1908,15
10.2239,10
10.2571,22
10.2902,11
10.3233,24
10.3564,8
10.3895,15
10.4227,13
10.4558,11
10.4889,8
10.522,17
10.5551,12
10.5883,11
10.6214,16
10.6545,12
10.6876,12
10.7207,14
10.7539,16
10.787,11
10.8201,18
10.8532,11
10.8863,11
10.9194,14
10.9526,17
10.9857,11
11.0188,19
11.0519,11
11.085,18
11.1182,16
11.1513,12
11.1844,13
11.2175,13
11.2506,10
11.2838,13
11.3169,11
11.35,9
11.3831,12
11.4162,13
11.4494,13
11.4825,14
11.5156,12
11.5487,12
11.5818,14
11.615,13
11.6481,8
11.6812,12
11.7143,17
11.7474,11
11.7805,11
11.8137,13
11.8468,17
11.8799,10
11.913,12
11.9461,16
11.9793,9
12.0124,14
12.0455,11
12.0786,8
12.1117,10
12.1449,23
12.178,10
12.2111,11
12.2442,11
12.2773,12
12.3105,12
12.3436,12
12.3767,12
12.4098,12
12.4429,7
12.476,4
12.5092,10
12.5423,7
12.5754,9
12.6085,7
12.6416,14
12.6748,6
12.7079,18
12.741,7
12.7741,19
12.8072,7
12.8404,9
12.8735,10
12.9066,6
12.9397,9
12.9728,12
13.006,6
13.0391,4
13.0722,17
13.1053,6
13.1384,6
13.1715,13
13.2047,11
13.2378,10
13.2709,10
13.304,10
13.3371,10
13.3703,9
13.4034,9
13.4365,12
13.4696,11
13.5027,10
13.5359,16
13.569,12
13.6021,9
13.6352,11
13.6683,16
13.7015,7
13.7346,6
13.7677,11
13.8008,12
13.8339,8
13.8671,10
13.9002,5
13.9333,14
13.9664,13
13.9995,11
14.0326,9
14.0658,6
14.0989,7
14.132,7
14.1651,12
14.1982,6
14.2314,16
14.2645,15
14.2976,16
14.3307,8
14.3638,7
14.397,6
14.4301,10
14.4632,15
14.4963,10
14.5294,10
14.5626,14
14.5957,6
14.6288,15
14.6619,7
14.695,13
14.7281,7
14.7613,10
14.7944,10
14.8275,9
14.8606,9
14.8937,8
14.9269,9
14.96,9
14.9931,18
15.0262,15
15.0593,5
15.0925,11
15.1256,12
15.1587,16
15.1918,10
15.2249,15
15.2581,15
15.2912,10
15.3243,5
15.3574,6
15.3905,16
15.4236,12
15.4568,12
15.4899,15
15.523,6
15.5561,13
15.5892,6
15.6224,7
15.6555,16
15.6886,13
15.7217,13
15.7548,10
15.788,14
15.8211,9
15.8542,12
15.8873,10
15.9204,10
