Energy, Data
-1.9726,0
-1.93903,0
-1.90546,0
-1.87189,0
-1.83832,0
-1.80475,0
-1.77118,0
-1.73761,0
-1.70404,0
-1.67047,1
-1.63691,0
-1.60334,0
-1.56977,1
-1.5362,0
-1.50263,0
-1.46906,0
-1.43549,1
-1.40192,0
-1.36835,0
-1.33478,0
-1.30121,0
-1.26764,0
-1.23408,0
-1.20051,0
-1.16694,0
-1.13337,0
-1.0998,1
-1.06623,0
-1.03266,0
-0.999092,0
-0.965522,0
-0.931953,0
-0.898384,0
-0.864815,1
-0.831246,0
-0.797677,1
-0.764108,1
-0.730538,1
-0.696969,0
-0.6634,0
-0.629831,2
-0.596262,0
-0.562693,0
-0.529123,0
-0.495554,0
-0.461985,0
-0.428416,0
-0.394847,0
-0.361278,0
-0.327709,0
-0.294139,0
-0.26057,0
-0.227001,0
-0.193432,0
-0.159863,0
-0.126294,0
-0.0927246,0
-0.0591554,0
-0.0255863,1
0.00798285,1
0.041552,0
0.0751211,0
0.10869,0
0.142259,0
0.175829,0
0.209398,0
0.242967,0
0.276536,0
0.310105,1
0.343674,3
0.377243,0
0.410813,0
0.444382,2
0.477951,0
0.51152,1
0.545089,0
0.578658,0
0.612227,0
0.645797,0
0.679366,1
0.712935,0
0.746504,1
0.780073,2
0.813642,0
0.847211,1
0.880781,1
0.91435,0
0.947919,2
0.981488,1
1.01506,1
1.04863,0
1.0822,3
1.11576,0
1.14933,0
1.1829,1
1.21647,0
1.25004,2
1.28361,4
1.31718,2
1.35075,1
1.38432,1
1.41789,0
1.45146,2
1.48503,2
1.51859,4
1.55216,4
1.58573,3
1.6193,5
1.65287,1
1.68644,2
1.72001,3
1.75358,3
1.78715,6
1.82072,2
1.85429,1
1.88786,4
1.92142,6
1.95499,5
1.98856,2
2.02213,5
2.0557,7
2.08927,7
2.12284,6
2.15641,9
2.18998,5
2.22355,8
2.25712,6
2.29068,4
2.32425,4
2.35782,5
2.39139,7
2.42496,16
2.45853,14
2.4921,11
2.52567,22
2.55924,28
2.59281,34
2.62638,34
2.65995,70
2.69351,68
2.72708,66
2.76065,83
2.79422,84
2.82779,109
2.86136,103
2.89493,110
2.9285,106
2.96207,129
2.99564,136
3.02921,132
3.06278,120
3.09634,97
3.12991,122
3.16348,122
3.19705,98
3.23062,98
3.26419,115
3.29776,108
3.33133,115
3.3649,121
3.39847,100
3.43204,100
3.4656,91
3.49917,93
3.53274,94
3.56631,102
3.59988,80
3.63345,89
3.66702,102
3.70059,99
3.73416,101
3.76773,81
3.8013,81
3.83487,69
