Energy, Data
11.6835,0
12.0304,0
12.3774,0
12.7243,0
13.0714,0
13.4184,0
13.7655,0
14.1126,0
14.4598,0
14.807,0
15.1542,0
15.5015,0
15.8488,0
16.1962,0
16.5435,0
16.891,0
17.2384,0
17.5859,0
17.9335,0
18.2811,0
18.6287,0
18.9764,0
19.324,0
19.6718,0
20.0196,0
20.3674,0
20.7152,0
21.0631,0
21.411,0
21.759,0
22.107,0
22.455,0
22.8031,0
23.1512,0
23.4994,0
23.8476,2
24.1958,0
24.5441,1
24.8924,2
25.2407,1
25.5891,0
25.9375,3
26.286,1
26.6345,1
26.983,0
27.3316,2
27.6802,2
28.0289,0
28.3776,0
28.7263,4
29.0751,2
29.4239,1
29.7727,1
30.1216,1
30.4705,2
30.8195,1
31.1684,0
31.5175,1
31.8666,1
32.2157,0
32.5648,2
32.914,3
33.2632,0
33.6125,1
33.9618,2
34.3111,1
34.6605,2
35.0099,2
35.3594,1
35.7089,2
36.0584,0
36.4079,4
36.7576,2
37.1072,3
37.4569,1
37.8066,4
38.1564,2
38.5062,4
38.856,1
39.2059,2
39.5558,6
39.9057,0
40.2557,3
40.6057,2
40.9558,7
41.3059,3
41.656,4
42.0062,5
42.3564,2
42.7067,4
43.057,4
43.4073,3
43.7577,1
44.1081,7
44.4585,3
44.809,6
45.1595,3
45.5101,3
45.8607,3
46.2113,4
46.562,4
46.9127,10
47.2635,7
47.6143,7
47.9651,7
48.3159,6
48.6669,6
49.0178,10
49.3688,7
49.7198,8
50.0708,9
50.4219,8
50.7731,13
51.1242,12
51.4755,11
51.8267,7
52.178,10
52.5293,16
52.8807,9
53.2321,13
53.5835,16
53.935,11
54.2865,18
54.6381,21
54.9896,11
55.3413,25
55.6929,20
56.0446,19
56.3964,20
56.7482,18
57.1,30
57.4518,21
57.8037,24
58.1557,28
58.5076,36
58.8597,26
59.2117,39
59.5638,37
59.9159,35
60.2681,33
60.6203,49
60.9725,50
61.3248,59
61.6771,78
62.0295,95
62.3819,95
62.7343,126
63.0868,153
63.4393,144
63.7918,213
64.1444,211
64.497,299
64.8497,351
65.2024,410
65.5551,461
65.9079,561
66.2607,629
66.6135,723
66.9664,782
67.3194,910
67.6723,1049
68.0253,1101
68.3784,1292
68.7315,1414
69.0846,1437
69.4377,1636
69.7909,1764
70.1441,1900
70.4974,1969
70.8507,2089
71.2041,2276
71.5575,2347
71.9109,2351
72.2643,2550
72.6178,2605
72.9714,2724
73.325,2806
73.6786,2829
74.0322,2945
74.3859,2865
74.7396,3012
75.0934,3062
75.4472,3149
75.8011,3021
76.1549,3093
76.5089,3194
76.8628,3164
77.2168,3163
77.5708,3065
77.9249,3203
78.279,3191
78.6332,3208
78.9874,3231
79.3416,3123
79.6959,3280
80.0502,3156
80.4045,3226
80.7589,3254
81.1133,3314
81.4677,3334
81.8222,3310
