Energy, Data
4.3064,0
4.65329,0
5.00023,0
5.3472,0
5.69421,0
6.04126,0
6.38834,0
6.73547,0
7.08263,0
7.42983,0
7.77707,0
8.12434,0
8.47166,0
8.81901,0
9.1664,0
9.51383,0
9.8613,0
10.2088,0
10.5563,0
10.9039,0
11.2516,0
11.5992,0
11.9469,0
12.2946,0
12.6424,0
12.9902,0
13.3381,0
13.686,0
14.0339,0
14.3819,0
14.7299,0
15.0779,0
15.426,0
15.7741,0
16.1222,0
16.4704,1
16.8187,0
17.1669,0
17.5152,0
17.8636,0
18.212,1
18.5604,2
18.9089,1
19.2574,2
19.6059,1
19.9545,0
20.3031,1
20.6517,0
21.0004,2
21.3491,1
21.6979,2
22.0467,4
22.3956,3
22.7444,1
23.0934,2
23.4423,4
23.7913,4
24.1403,2
24.4894,0
24.8385,3
25.1877,1
25.5368,4
25.8861,0
26.2353,5
26.5846,2
26.934,2
27.2833,4
27.6328,6
27.9822,6
28.3317,3
28.6812,5
29.0308,3
29.3804,2
29.7301,2
30.0797,3
30.4295,3
30.7792,1
31.129,4
31.4788,2
31.8287,7
32.1786,6
32.5286,4
32.8786,3
33.2286,6
33.5787,1
33.9288,7
34.2789,3
34.6291,7
34.9793,8
35.3295,7
35.6798,8
36.0302,2
36.3805,3
36.7309,3
37.0814,7
37.4319,8
37.7824,5
38.133,10
38.4836,6
38.8342,6
39.1849,6
39.5356,11
39.8863,4
40.2371,6
40.5879,14
40.9388,8
41.2897,4
41.6407,13
41.9916,11
42.3426,10
42.6937,18
43.0448,22
43.3959,4
43.7471,14
44.0983,18
44.4496,14
44.8008,12
45.1522,17
45.5035,12
45.8549,19
46.2064,23
46.5578,17
46.9094,23
47.2609,29
47.6125,21
47.9641,22
48.3158,25
48.6675,21
49.0192,27
49.371,24
49.7228,28
50.0747,35
50.4266,34
50.7785,33
51.1305,31
51.4825,39
51.8346,49
52.1866,42
52.5388,53
52.8909,59
53.2431,69
53.5954,77
53.9477,83
54.3,84
54.6523,99
55.0047,104
55.3572,120
55.7096,185
56.0621,189
56.4147,225
56.7673,262
57.1199,292
57.4725,415
57.8252,494
58.178,533
58.5307,603
58.8836,761
59.2364,764
59.5893,989
59.9422,1067
60.2952,1113
60.6482,1255
61.0012,1360
61.3543,1509
61.7074,1651
62.0606,1757
62.4138,1818
62.767,1918
63.1203,2091
63.4736,2099
63.8269,2134
64.1803,2269
64.5337,2390
64.8872,2406
65.2407,2504
65.5942,2517
65.9478,2514
66.3014,2741
66.6551,2697
67.0088,2730
67.3625,2656
67.7163,2882
68.0701,2871
68.4239,2852
68.7778,2876
69.1317,2867
69.4857,2891
69.8397,2956
70.1937,2969
70.5478,2944
70.9019,3006
71.256,3051
71.6102,3189
71.9644,3225
72.3187,3284
72.673,3354
73.0274,3491
73.3817,3398
73.7361,3592
74.0906,3689
74.4451,3762
74.7996,3780
75.1542,3795
75.5088,4051
75.8634,4120
76.2181,4421
76.5728,4474
76.9276,4584
77.2824,4958
77.6372,5050
77.9921,5307
78.347,5498
78.702,5802
79.057,5820
79.412,6212
79.7671,6535
80.1222,6553
80.4773,6933
80.8325,7094
81.1877,7365
81.5429,7584
81.8982,7749
82.2536,7994
82.6089,8153
82.9643,8274
83.3198,8420
83.6753,8634
84.0308,8603
84.3864,8615
84.742,8498
85.0976,8410
85.4533,8572
85.809,8516
86.1647,8332
86.5205,8271
86.8764,8176
87.2322,7983
87.5881,7694
87.9441,7692
88.3001,7390
88.6561,7257
89.0121,7185
89.3682,6877
89.7244,6886
90.0805,6479
90.4367,6489
90.793,6201
91.1493,6022
91.5056,5943
91.862,5828
92.2184,5775
92.5748,5603
92.9313,5604
93.2878,5492
93.6443,5344
94.0009,5192
94.3576,5244
94.7142,5141
95.0709,5135
95.4277,4964
95.7845,5052
96.1413,4818
96.4982,4880
96.855,4799
97.212,4574
97.569,4577
97.926,4524
98.283,4393
98.6401,4253
98.9972,4176
99.3544,3930
99.7116,4014
100.069,3776
100.426,3595
100.783,3629
101.141,3559
101.498,3400
101.856,3192
102.213,3220
102.571,3002
102.928,3078
103.286,3014
103.643,2891
104.001,2844
104.359,2695
104.716,2741
105.074,2622
105.432,2603
105.79,2497
106.148,2542
106.506,2519
106.864,2473
107.222,2456
107.58,2323
107.938,2368
108.296,2392
108.654,2358
109.012,2423
109.37,2286
109.729,2402
110.087,2320
110.445,2299
110.804,2350
111.162,2318
111.521,2391
111.879,2351
112.238,2282
112.596,2305
112.955,2278
113.314,2219
113.672,2266
114.031,2278
