Energy, Data
-6.3873,0
-6.02824,0
-5.66914,0
-5.31,0
-4.95082,0
-4.59161,0
-4.23235,0
-3.87306,0
-3.51373,0
-3.15436,0
-2.79495,0
-2.43551,0
-2.07602,0
-1.7165,0
-1.35694,0
-0.997344,0
-0.637708,0
-0.278033,0
0.0816791,0
0.44143,0
0.801219,0
1.16105,0
1.52091,0
1.88081,0
2.24076,0
2.60074,0
2.96075,0
3.32081,0
3.6809,0
4.04104,0
4.40121,0
4.76142,0
5.12166,0
5.48195,0
5.84227,0
6.20263,1
6.56303,0
6.92347,0
7.28395,1
7.64446,1
8.00501,0
8.3656,0
8.72623,0
9.0869,0
9.4476,1
9.80835,0
10.1691,1
10.5299,2
10.8908,0
11.2517,2
11.6126,0
11.9736,1
12.3346,0
12.6957,2
13.0568,1
13.4179,0
13.779,0
14.1402,0
14.5015,2
14.8628,0
15.2241,1
15.5854,2
15.9468,1
16.3083,1
16.6697,0
17.0312,5
17.3928,1
17.7544,1
18.116,1
18.4776,0
18.8393,1
19.2011,0
19.5628,1
19.9247,2
20.2865,0
20.6484,0
21.0103,3
21.3723,2
21.7343,4
22.0963,1
22.4584,0
22.8205,3
23.1827,3
23.5449,0
23.9071,4
24.2694,2
24.6317,2
24.994,4
25.3564,1
25.7188,6
26.0813,6
26.4438,3
26.8063,6
27.1689,4
27.5315,2
27.8942,4
28.2569,6
28.6196,6
28.9824,2
29.3452,5
29.708,7
30.0709,4
30.4338,2
30.7968,7
31.1598,7
31.5228,10
31.8859,7
32.249,11
32.6121,5
32.9753,9
33.3385,12
33.7018,8
34.0651,8
34.4285,8
34.7918,8
35.1552,5
35.5187,13
35.8822,4
36.2457,12
36.6093,12
36.9729,12
37.3365,12
37.7002,14
38.0639,10
38.4277,13
38.7915,19
39.1553,7
39.5192,17
39.8831,21
40.2471,18
40.6111,14
40.9751,18
41.3391,13
41.7033,15
42.0674,16
42.4316,34
42.7958,26
43.16,26
43.5243,35
43.8887,39
44.253,32
44.6175,31
44.9819,43
45.3464,59
45.7109,65
46.0755,76
46.4401,94
46.8047,133
47.1694,115
47.5341,182
47.8988,198
48.2636,231
48.6285,278
48.9933,312
49.3582,387
