Energy, Data
-2.19517,0
-1.84827,0
-1.50134,0
-1.15437,0
-0.807357,0
-0.460309,0
-0.113223,0
0.233901,0
0.581063,0
0.928263,0
1.2755,0
1.62278,0
1.97009,0
2.31745,0
2.66484,0
3.01227,0
3.35973,0
3.70724,0
4.05478,0
4.40237,0
4.74999,0
5.09764,0
5.44534,0
5.79308,0
6.14085,0
6.48866,0
6.83651,0
7.1844,0
7.53232,0
7.88029,0
8.22829,0
8.57633,0
8.92441,0
9.27252,0
9.62068,0
9.96887,1
10.3171,1
10.6654,0
11.0137,1
11.362,2
11.7104,0
12.0588,0
12.4073,1
12.7558,2
13.1043,2
13.4529,3
13.8015,1
14.1502,0
14.4989,3
14.8476,1
15.1963,2
15.5451,0
15.894,2
16.2429,1
16.5918,1
16.9407,1
17.2897,4
17.6388,2
17.9878,3
18.337,2
18.6861,4
19.0353,1
19.3845,1
19.7338,5
20.0831,2
20.4324,0
20.7818,6
21.1312,3
21.4807,1
21.8301,2
22.1797,3
22.5292,7
22.8788,2
23.2285,2
23.5782,4
23.9279,2
24.2776,8
24.6274,7
24.9773,6
25.3272,10
25.6771,4
26.027,4
26.377,5
26.727,5
27.0771,11
27.4272,6
27.7773,7
28.1275,6
28.4777,6
28.828,7
29.1783,6
29.5286,11
29.879,4
30.2294,6
30.5798,12
30.9303,4
31.2808,6
31.6314,5
31.982,8
32.3326,5
32.6833,6
33.034,6
33.3848,7
33.7355,12
34.0864,3
34.4372,14
34.7881,5
35.1391,8
35.4901,9
35.8411,8
36.1921,13
36.5432,12
36.8944,17
37.2455,15
37.5967,14
37.948,16
38.2993,13
38.6506,11
39.002,17
39.3534,25
39.7048,17
40.0563,18
40.4078,21
40.7593,19
41.1109,39
41.4626,20
41.8142,23
42.1659,30
42.5177,28
42.8695,22
43.2213,33
43.5731,31
43.925,24
44.277,35
44.6289,40
44.9809,43
45.333,25
45.6851,47
46.0372,63
46.3894,46
46.7416,50
47.0938,56
47.4461,61
47.7984,88
48.1508,93
48.5032,104
48.8556,149
49.2081,149
49.5606,175
49.9131,199
50.2657,269
50.6183,303
50.971,425
51.3237,494
51.6764,564
52.0292,630
52.382,744
52.7348,795
53.0877,967
53.4407,1074
53.7936,1119
54.1466,1255
54.4997,1370
54.8527,1514
55.2059,1653
55.559,1717
55.9122,1854
56.2654,1928
56.6187,1964
56.972,2205
57.3254,2167
57.6788,2358
58.0322,2368
58.3856,2488
58.7391,2425
59.0927,2459
59.4463,2660
59.7999,2640
60.1535,2697
60.5072,2630
60.8609,2735
61.2147,2748
61.5685,2786
61.9224,2733
62.2762,2859
62.6302,2815
62.9841,2970
63.3381,2910
63.6921,3001
64.0462,2962
64.4003,2958
64.7545,2942
65.1087,3069
65.4629,3083
65.8171,3034
66.1714,3227
66.5258,3224
66.8802,3442
67.2346,3490
67.589,3420
67.9435,3572
68.2981,3522
68.6526,3745
69.0072,3822
69.3619,3957
69.7166,4080
70.0713,4255
70.426,4494
70.7808,4474
71.1357,4636
71.4905,4793
71.8455,5110
72.2004,5305
72.5554,5464
72.9104,5858
73.2655,6072
73.6206,6204
73.9757,6415
74.3309,6697
74.6861,7039
75.0414,7344
75.3967,7482
75.752,7767
76.1074,7908
76.4628,8149
76.8182,8338
77.1737,8529
77.5292,8670
77.8848,8540
78.2404,8580
78.596,8668
78.9517,8878
79.3074,8961
79.6632,8784
80.019,8754
80.3748,8606
80.7307,8404
81.0866,8209
81.4425,8116
81.7985,7935
82.1545,7835
82.5106,7434
82.8667,7236
83.2228,7218
83.579,7131
83.9352,6851
84.2914,6541
84.6477,6505
85.004,6216
85.3604,6123
85.7168,5988
86.0732,5896
86.4297,5589
86.7862,5615
87.1428,5548
87.4994,5543
87.856,5622
88.2127,5439
88.5694,5362
88.9261,5189
89.2829,5129
89.6397,5144
89.9966,5095
90.3535,4863
90.7104,4922
91.0674,4794
91.4244,4829
91.7815,4745
92.1385,4599
92.4957,4365
92.8528,4425
93.21,4222
93.5673,4187
93.9246,4019
94.2819,3723
94.6392,3769
94.9966,3579
95.3541,3586
95.7115,3518
96.069,3262
96.4266,3270
96.7842,3266
97.1418,3104
97.4994,3064
97.8571,2823
98.2149,2899
98.5727,2879
98.9305,2868
99.2883,2702
99.6462,2567
100.004,2522
100.362,2597
100.72,2471
101.078,2450
101.436,2399
101.794,2451
102.153,2438
102.511,2375
102.869,2347
103.227,2382
103.586,2307
103.944,2357
104.302,2236
104.661,2331
105.019,2337
105.378,2449
105.736,2277
106.095,2300
106.453,2245
106.812,2207
107.171,2254
107.529,2200
107.888,2140
108.247,2237
108.606,2270
108.965,2263
109.324,2295
109.683,2261
110.042,2302
110.401,2262
110.76,2253
111.119,2285
111.478,2238
111.837,2197
112.196,2300
112.556,2309
112.915,2293
113.274,2333
113.634,2185
113.993,2267
114.353,2152
114.712,2294
115.072,2245
115.431,2262
115.791,2290
116.15,2321
116.51,2161
116.87,2294
117.23,2206
117.589,2222
117.949,2327
118.309,2313
118.669,2225
119.029,2236
119.389,2278
119.749,2294
120.109,2144
120.469,2250
120.829,2329
121.189,2226
121.55,2272
121.91,2348
122.27,2364
122.631,2333
122.991,2257
123.351,2206
123.712,2311
124.072,2344
124.433,2455
124.793,2379
125.154,2319
125.515,2305
125.875,2439
126.236,2294
126.597,2365
126.958,2316
127.318,2336
127.679,2475
128.04,2421
128.401,2328
128.762,2414
129.123,2388
129.484,2394
129.845,2462
130.206,2451
130.568,2450
130.929,2424
131.29,2494
131.651,2489
132.013,2425
132.374,2440
132.735,2397
133.097,2372
133.458,2444
133.82,2464
134.181,2414
134.543,2399
134.905,2507
135.266,2481
135.628,2524
135.99,2501
136.352,2529
136.713,2417
137.075,2426
137.437,2448
137.799,2494
138.161,2516
138.523,2431
138.885,2537
139.247,2519
139.609,2558
139.971,2557
140.334,2474
140.696,2572
141.058,2406
141.42,2426
141.783,2505
142.145,2560
142.508,2513
142.87,2505
143.233,2494
143.595,2446
143.958,2480
144.32,2402
144.683,2512
145.046,2474
145.409,2539
145.771,2542
146.134,2573
146.497,2491
146.86,2587
147.223,2591
147.586,2529
147.949,2438
148.312,2583
148.675,2516
149.038,2447
149.401,2485
149.764,2585
150.128,2624
150.491,2436
150.854,2547
151.218,2430
151.581,2556
151.944,2488
152.308,2507
152.671,2607
153.035,2592
153.398,2544
153.762,2470
154.126,2589
154.489,2478
154.853,2495
155.217,2621
155.581,2507
155.945,2563
156.308,2574
156.672,2579
157.036,2581
157.4,2522
157.764,2616
158.128,2581
158.493,2578
158.857,2576
159.221,2500
159.585,2576
159.949,2579
160.314,2666
160.678,2556
161.042,2586
161.407,2522
161.771,2590
162.136,2606
162.5,2596
162.865,2550
163.229,2546
163.594,2551
163.959,2560
164.324,2618
164.688,2628
165.053,2584
165.418,2587
165.783,2661
166.148,2722
166.513,2729
166.878,2699
167.243,2588
167.608,2643
167.973,2740
168.338,2661
168.703,2664
169.068,2673
169.434,2656
169.799,2679
170.164,2560
170.53,2728
170.895,2711
171.26,2794
171.626,2696
171.992,2738
172.357,2728
172.723,2701
173.088,2728
173.454,2787
173.82,2664
174.185,2851
174.551,2719
174.917,2872
175.283,2872
175.649,3036
176.015,2922
176.381,2917
176.747,2834
177.113,2943
177.479,2976
177.845,3061
178.211,2918
178.577,2967
178.944,3095
179.31,3064
179.676,3086
180.043,3076
180.409,3108
180.776,3149
181.142,3090
181.509,3160
181.875,3078
182.242,3228
182.608,3301
182.975,3356
183.342,3324
183.708,3325
184.075,3451
184.442,3450
184.809,3314
185.176,3387
185.543,3572
185.91,3533
186.277,3397
186.644,3450
187.011,3499
187.378,3529
187.745,3522
188.112,3627
188.48,3626
188.847,3690
189.214,3686
189.582,3802
189.949,3761
190.316,3741
190.684,3786
191.051,3952
191.419,3735
191.787,3856
192.154,3951
192.522,3878
192.89,3944
193.257,3953
193.625,3823
193.993,3872
194.361,4024
194.729,3958
195.097,3913
195.465,3965
195.833,4079
196.201,4097
196.569,4127
196.937,4146
197.305,4087
197.673,4104
198.041,4169
198.41,4194
198.778,4177
199.146,4245
199.515,4109
199.883,4251
200.252,4167
200.62,4282
200.989,4213
201.357,4331
201.726,4361
202.094,4253
202.463,4288
202.832,4285
203.201,4431
203.569,4216
203.938,4377
204.307,4423
204.676,4340
205.045,4365
205.414,4297
205.783,4419
206.152,4401
206.521,4490
206.89,4438
207.26,4429
207.629,4580
207.998,4429
208.367,4572
208.737,4592
209.106,4389
209.476,4506
209.845,4454
210.215,4617
210.584,4605
210.954,4549
211.323,4598
211.693,4667
212.063,4667
212.432,4497
212.802,4547
213.172,4582
213.542,4635
213.912,4614
214.282,4714
214.651,4633
215.021,4581
215.392,4612
215.762,4578
216.132,4759
216.502,4706
216.872,4687
217.242,4578
217.612,4641
217.983,4586
218.353,4596
218.723,4783
219.094,4634
219.464,4825
219.835,4817
220.205,4685
220.576,4617
220.947,4800
221.317,4676
221.688,4836
222.059,4707
222.429,4739
222.8,4669
223.171,4622
223.542,4722
223.913,4585
224.284,4572
224.655,4673
225.026,4755
225.397,4778
225.768,4703
226.139,4692
226.51,4555
226.881,4709
227.253,4671
227.624,4665
227.995,4591
228.367,4723
228.738,4661
229.109,4687
229.481,4743
229.852,4562
230.224,4679
230.596,4596
230.967,4698
231.339,4643
231.711,4585
232.082,4625
232.454,4675
232.826,4648
233.198,4671
233.57,4555
233.942,4521
234.314,4568
234.686,4550
235.058,4460
235.43,4578
235.802,4507
236.174,4513
236.546,4426
236.919,4556
237.291,4607
237.663,4564
238.036,4443
238.408,4559
238.78,4502
239.153,4320
239.525,4448
239.898,4500
240.27,4447
240.643,4466
241.016,4281
241.388,4298
241.761,4450
242.134,4418
242.507,4432
242.88,4404
243.253,4319
243.625,4341
243.998,4212
244.371,4310
244.745,4256
245.118,4351
245.491,4223
245.864,4145
246.237,4291
246.61,4380
246.984,4188
247.357,4134
247.73,4266
248.104,4133
248.477,4116
248.851,4124
249.224,4141
249.598,4041
249.971,4096
250.345,4061
250.718,4047
251.092,4077
251.466,4200
251.84,4059
252.213,3966
252.587,3927
252.961,4055
253.335,3987
253.709,4071
254.083,3994
254.457,3971
254.831,3981
255.205,4017
255.579,3982
255.954,3905
256.328,3930
256.702,3999
257.076,3945
257.451,3863
257.825,3937
258.2,3953
258.574,3888
258.949,3803
259.323,3893
259.698,3800
260.072,3853
260.447,3833
260.822,3758
261.196,3680
261.571,3799
261.946,3713
262.321,3817
262.696,3711
263.071,3784
263.445,3816
263.82,3754
264.195,3725
264.571,3777
264.946,3716
265.321,3652
265.696,3655
266.071,3657
266.447,3731
266.822,3674
267.197,3580
267.573,3763
267.948,3665
268.323,3663
268.699,3614
269.074,3549
269.45,3592
269.826,3515
270.201,3592
270.577,3563
270.953,3499
271.328,3597
271.704,3541
272.08,3401
272.456,3470
272.832,3391
273.208,3484
273.584,3341
273.96,3477
274.336,3409
274.712,3437
275.088,3338
275.464,3477
275.84,3468
276.217,3324
276.593,3405
276.969,3399
277.346,3268
277.722,3442
278.098,3351
278.475,3363
278.852,3306
279.228,3413
279.605,3373
279.981,3294
280.358,3415
280.735,3193
281.111,3246
281.488,3228
281.865,3323
282.242,3251
282.619,3328
282.996,3301
283.373,3294
283.75,3201
284.127,3241
284.504,3220
284.881,3185
285.258,3164
285.635,3189
286.013,3149
286.39,3163
286.767,3200
287.145,3238
287.522,3093
287.899,3259
288.277,3152
288.654,3136
289.032,3157
289.41,3081
289.787,3101
290.165,3054
290.543,3065
290.92,3025
291.298,3073
291.676,3125
292.054,3079
292.432,3156
292.81,3053
293.188,3048
293.566,2922
293.944,3002
294.322,3117
294.7,2971
295.078,2864
295.456,2846
295.834,2940
296.213,2962
296.591,2962
296.969,2943
297.348,2927
297.726,2907
298.105,2909
298.483,2871
298.862,2929
299.24,2808
299.619,2882
299.998,2907
300.376,2898
300.755,2932
301.134,2864
301.513,2886
301.891,2913
302.27,2818
302.649,2890
303.028,2892
303.407,2875
303.786,2799
304.165,2822
304.544,2884
304.924,2818
305.303,2774
305.682,2827
306.061,2793
306.441,2779
306.82,2750
307.199,2761
307.579,2742
307.958,2745
308.338,2718
308.717,2765
309.097,2812
309.476,2712
309.856,2724
310.236,2715
310.615,2604
310.995,2705
311.375,2712
311.755,2703
312.135,2706
312.515,2600
312.895,2662
313.275,2625
313.655,2701
314.035,2694
314.415,2630
314.795,2674
315.175,2625
315.555,2606
315.936,2639
316.316,2682
316.696,2669
317.077,2633
317.457,2570
317.838,2568
318.218,2612
318.599,2584
318.979,2622
319.36,2555
319.74,2644
320.121,2532
320.502,2483
320.883,2492
321.263,2554
321.644,2601
322.025,2582
322.406,2612
322.787,2593
323.168,2560
323.549,2504
323.93,2414
324.311,2586
324.692,2499
325.073,2560
325.455,2447
325.836,2557
326.217,2466
326.598,2551
326.98,2501
327.361,2568
327.743,2516
328.124,2599
328.506,2453
328.887,2423
329.269,2511
329.65,2478
330.032,2473
330.414,2459
330.796,2521
331.177,2340
331.559,2358
331.941,2500
332.323,2567
332.705,2431
333.087,2403
333.469,2412
333.851,2461
334.233,2407
334.615,2333
334.997,2511
335.38,2458
335.762,2370
336.144,2347
336.526,2443
336.909,2410
337.291,2385
337.674,2402
338.056,2381
338.439,2393
338.821,2355
339.204,2403
339.586,2365
339.969,2342
340.352,2377
340.734,2381
341.117,2475
341.5,2360
341.883,2440
342.266,2409
342.649,2389
343.032,2302
343.415,2358
343.798,2360
344.181,2375
344.564,2298
344.947,2333
345.33,2358
345.714,2333
346.097,2322
346.48,2277
346.864,2237
347.247,2294
347.63,2379
348.014,2310
348.397,2309
348.781,2250
349.164,2262
349.548,2252
349.932,2264
350.315,2354
350.699,2308
351.083,2276
351.467,2202
351.851,2303
352.235,2274
352.618,2306
353.002,2282
353.386,2271
353.77,2219
354.155,2257
354.539,2246
354.923,2276
355.307,2221
355.691,2292
356.076,2250
356.46,2248
356.844,2290
357.229,2274
357.613,2222
357.997,2242
358.382,2292
358.766,2303
359.151,2138
359.536,2368
359.92,2331
360.305,2335
360.69,2230
361.074,2194
361.459,2312
361.844,2238
362.229,2288
362.614,2322
362.999,2220
363.384,2227
363.769,2200
364.154,2298
364.539,2220
364.924,2263
365.309,2224
365.695,2296
366.08,2248
366.465,2272
366.851,2197
367.236,2166
367.621,2210
368.007,2221
368.392,2243
368.778,2200
369.163,2170
369.549,2271
369.935,2165
370.32,2212
370.706,2181
371.092,2209
371.478,2100
371.863,2164
372.249,2149
372.635,2216
373.021,2173
373.407,2102
373.793,2235
374.179,2121
374.565,2233
374.952,2233
375.338,2233
375.724,2166
376.11,2241
376.496,2212
376.883,2306
377.269,2149
377.656,2210
378.042,2217
378.428,2237
378.815,2241
379.202,2260
379.588,2221
379.975,2281
380.361,2157
380.748,2216
381.135,2215
381.522,2128
381.909,2236
382.295,2164
382.682,2141
383.069,2117
383.456,2257
383.843,2266
384.23,2243
384.617,2243
385.005,2198
385.392,2258
385.779,2245
386.166,2163
386.553,2207
386.941,2231
387.328,2150
387.716,2198
388.103,2210
388.49,2255
388.878,2152
389.266,2229
389.653,2163
390.041,2227
390.428,2202
390.816,2237
391.204,2222
391.592,2262
391.979,2173
392.367,2227
392.755,2153
393.143,2209
393.531,2257
393.919,2208
394.307,2331
394.695,2252
395.083,2276
395.472,2301
395.86,2317
396.248,2185
396.636,2235
397.025,2239
397.413,2265
397.801,2258
398.19,2197
398.578,2230
398.967,2255
399.355,2409
399.744,2290
400.133,2239
400.521,2351
400.91,2264
401.299,2255
401.687,2267
402.076,2236
402.465,2252
402.854,2244
403.243,2258
403.632,2172
404.021,2230
404.41,2245
404.799,2193
405.188,2295
405.577,2392
405.966,2306
406.356,2296
406.745,2260
407.134,2292
407.524,2322
407.913,2267
408.302,2344
408.692,2345
409.081,2266
409.471,2323
409.86,2218
410.25,2295
410.64,2220
411.029,2281
411.419,2316
411.809,2169
412.199,2228
412.589,2220
412.978,2303
413.368,2330
413.758,2210
414.148,2345
414.538,2274
414.928,2264
415.319,2327
415.709,2261
416.099,2284
416.489,2339
416.879,2306
417.27,2310
417.66,2274
418.05,2300
418.441,2270
418.831,2361
419.222,2335
419.612,2348
420.003,2313
420.393,2282
420.784,2221
421.175,2264
421.566,2331
421.956,2335
422.347,2257
422.738,2367
423.129,2287
423.52,2414
423.911,2242
424.302,2304
424.693,2301
425.084,2313
425.475,2239
425.866,2257
426.257,2322
426.648,2441
427.04,2307
427.431,2285
427.822,2306
428.214,2353
428.605,2296
428.996,2241
429.388,2320
429.779,2267
430.171,2300
430.563,2225
430.954,2339
431.346,2325
431.738,2349
432.129,2135
432.521,2276
432.913,2377
433.305,2279
433.697,2228
434.089,2289
434.481,2293
434.873,2292
435.265,2220
435.657,2278
436.049,2278
436.441,2301
436.833,2177
437.226,2264
437.618,2118
438.01,2270
438.403,2253
438.795,2179
439.188,2199
439.58,2170
439.973,2097
440.365,2088
440.758,2172
441.15,2087
441.543,2141
441.936,2203
442.328,2166
442.721,2046
443.114,2048
443.507,2042
443.9,2026
444.293,1973
444.686,2034
445.079,2032
445.472,2137
445.865,2027
446.258,1967
446.651,1983
447.044,1962
447.438,1937
447.831,1997
448.224,1971
448.618,1924
449.011,1884
449.404,1791
449.798,1857
450.191,1787
450.585,1817
450.978,1822
451.372,1869
451.766,1791
452.159,1817
452.553,1806
452.947,1732
453.341,1830
453.735,1676
454.129,1735
454.522,1748
454.916,1695
455.31,1661
455.704,1630
456.099,1629
456.493,1570
456.887,1543
457.281,1547
457.675,1630
458.069,1596
458.464,1591
458.858,1568
459.253,1563
459.647,1423
460.041,1453
460.436,1429
460.83,1475
461.225,1391
461.62,1397
462.014,1407
462.409,1347
462.804,1346
463.199,1326
463.593,1311
463.988,1294
464.383,1363
464.778,1321
465.173,1286
465.568,1261
465.963,1242
466.358,1195
466.753,1213
467.148,1145
467.543,1168
467.939,1133
468.334,1137
468.729,1157
469.125,1127
469.52,1107
469.915,1139
470.311,1109
470.706,1115
471.102,1061
471.497,1033
471.893,1072
472.289,1028
472.684,995
473.08,1058
473.476,988
473.872,1023
474.268,978
474.663,985
475.059,946
475.455,927
475.851,885
476.247,874
476.643,917
477.039,873
477.436,922
477.832,867
478.228,893
478.624,821
479.021,828
479.417,850
479.813,832
480.21,831
480.606,793
481.003,789
481.399,828
481.796,787
482.192,802
482.589,794
482.986,751
483.382,774
483.779,710
484.176,753
484.573,748
484.97,707
485.366,727
485.763,728
486.16,719
486.557,692
486.954,671
487.352,689
487.749,711
488.146,653
488.543,674
488.94,632
489.338,718
