Energy, Data
-13.5914,0
-13.1999,0
-12.8084,0
-12.4169,0
-12.0254,0
-11.6339,0
-11.2424,0
-10.8508,0
-10.4592,0
-10.0676,0
-9.67601,0
-9.28437,0
-8.89272,0
-8.50105,0
-8.10937,0
-7.71766,0
-7.32594,0
-6.9342,0
-6.54244,0
-6.15067,0
-5.75887,0
-5.36706,0
-4.97523,0
-4.58339,0
-4.19152,0
-3.79964,0
-3.40774,0
-3.01582,0
-2.62389,0
-2.23193,0
-1.83996,0
-1.44797,0
-1.05596,0
-0.663938,0
-0.271895,0
0.120165,3
0.512244,12
0.90434,5
1.29645,4
1.68859,7
2.08074,6
2.4729,6
2.86509,9
3.25729,5
3.64951,4
4.04175,5
4.43401,7
4.82628,5
5.21858,10
5.61089,7
6.00321,8
6.39556,11
6.78792,9
7.18031,10
7.5727,9
7.96512,13
8.35756,8
8.75001,10
9.14248,11
9.53497,11
9.92747,8
10.32,9
10.7125,16
11.1051,18
11.4977,16
11.8903,4
12.2829,10
12.6755,13
13.0682,10
13.4608,11
13.8535,14
14.2462,14
14.6389,7
15.0317,12
15.4244,11
15.8172,15
16.21,15
16.6028,8
16.9956,9
17.3885,10
17.7813,12
18.1742,17
18.5671,16
18.96,17
19.353,18
19.7459,28
20.1389,19
20.5319,15
20.9249,17
21.3179,19
21.7109,18
22.104,20
22.4971,27
22.8902,11
23.2833,31
23.6764,31
24.0696,22
24.4627,18
24.8559,25
25.2491,31
25.6423,34
26.0356,26
26.4288,19
26.8221,37
27.2154,34
27.6087,32
28.002,32
28.3954,44
28.7887,42
29.1821,31
29.5755,36
29.9689,37
30.3624,36
30.7558,53
31.1493,52
31.5428,42
31.9363,48
32.3298,51
32.7233,61
33.1169,60
33.5105,61
33.904,57
34.2977,67
34.6913,77
35.0849,70
35.4786,78
35.8723,88
36.266,105
36.6597,101
37.0534,90
37.4472,99
37.841,115
38.2347,118
38.6286,99
39.0224,123
39.4162,131
39.8101,141
40.204,165
40.5979,160
40.9918,184
41.3857,212
41.7797,242
42.1736,248
42.5676,276
42.9616,315
43.3556,324
43.7497,416
44.1437,510
44.5378,570
44.9319,620
45.326,739
45.7201,870
46.1143,1024
46.5084,1166
46.9026,1390
47.2968,1601
47.691,1707
48.0853,2100
48.4795,2369
48.8738,2572
49.2681,3001
49.6624,3239
50.0567,3685
50.451,4008
50.8454,4299
51.2398,4793
51.6342,5378
52.0286,5632
52.423,5991
52.8175,6369
53.2119,6875
53.6064,7131
54.0009,7263
54.3954,7654
54.79,8033
55.1845,8409
55.5791,8551
55.9737,8764
56.3683,8690
56.7629,8859
57.1576,8756
57.5522,8968
57.9469,9205
58.3416,9339
58.7363,9244
59.1311,9648
59.5258,9363
59.9206,9250
60.3154,9530
60.7102,9589
61.105,9841
61.4998,9800
61.8947,10182
62.2896,10056
62.6845,10202
63.0794,10299
63.4743,10893
63.8693,11116
64.2642,11507
64.6592,11892
65.0542,12312
65.4492,12733
65.8443,13280
66.2393,13713
66.6344,14198
67.0295,14876
67.4246,15218
67.8197,15836
68.2149,16181
68.61,16959
69.0052,16991
69.4004,17433
69.7956,17821
70.1908,18627
70.5861,18735
70.9814,18830
71.3766,18786
71.7719,19187
72.1673,19202
72.5626,19121
72.958,18876
73.3533,18847
73.7487,18526
74.1441,18329
74.5396,17947
74.935,17698
75.3305,17097
75.726,16928
76.1215,16313
76.517,15878
76.9125,15392
77.3081,14836
77.7036,14323
78.0992,13680
78.4948,13464
78.8905,13027
79.2861,12749
79.6818,12314
80.0774,12159
80.4731,11654
80.8689,11526
81.2646,11143
81.6603,10791
82.0561,10513
82.4519,10755
82.8477,10195
83.2435,10114
83.6394,9966
84.0352,10138
84.4311,9800
84.827,9630
85.2229,9394
