Energy, Data
-15.7056,0
-15.3097,0
-14.9138,0
-14.5179,0
-14.1219,0
-13.726,0
-13.33,0
-12.934,0
-12.538,0
-12.142,0
-11.746,0
-11.35,0
-10.9539,0
-10.5579,0
-10.1618,0
-9.76568,0
-9.36957,0
-8.97345,0
-8.57731,0
-8.18116,0
-7.785,0
-7.38882,0
-6.99262,0
-6.59641,0
-6.20019,0
-5.80395,0
-5.4077,0
-5.01143,0
-4.61515,0
-4.21886,0
-3.82255,0
-3.42622,0
-3.02989,1
-2.63353,3
-2.23717,0
-1.84079,2
-1.44439,1
-1.04798,2
-0.651556,2
-0.255118,3
0.141335,6
0.537802,2
0.934283,1
1.33078,3
1.72729,4
2.12381,2
2.52035,0
2.9169,7
3.31347,4
3.71005,5
4.10665,4
4.50326,4
4.89988,3
5.29652,3
5.69318,5
6.08984,2
6.48653,5
6.88322,7
7.27993,4
7.67666,4
8.0734,4
8.47015,3
8.86692,6
9.2637,2
9.6605,1
10.0573,4
10.4541,4
10.851,4
11.2478,5
11.6447,4
12.0416,8
12.4385,10
12.8354,4
13.2323,8
13.6293,4
14.0262,4
14.4232,5
14.8202,5
15.2172,11
15.6142,8
16.0112,5
16.4082,9
16.8053,4
17.2024,8
17.5994,5
17.9965,10
18.3937,11
18.7908,10
19.1879,10
19.5851,15
19.9822,12
20.3794,9
20.7766,6
21.1738,8
21.5711,11
21.9683,10
22.3656,9
22.7628,14
23.1601,11
23.5574,10
23.9547,7
24.3521,10
24.7494,13
25.1467,13
25.5441,9
25.9415,17
26.3389,9
26.7363,25
27.1337,18
27.5312,16
27.9286,20
28.3261,24
28.7236,16
29.1211,19
29.5186,15
29.9161,20
30.3137,16
30.7112,24
31.1088,22
31.5064,19
31.904,36
32.3016,31
32.6992,29
33.0969,26
33.4945,31
33.8922,16
34.2899,39
34.6876,26
35.0853,39
35.483,37
35.8808,34
36.2785,39
36.6763,58
37.0741,50
37.4719,57
37.8697,46
38.2675,58
38.6654,66
39.0632,61
39.4611,81
39.859,97
40.2569,94
40.6548,95
41.0527,119
41.4507,108
41.8486,165
42.2466,196
42.6446,189
43.0426,240
43.4406,277
43.8386,342
44.2367,409
44.6347,463
45.0328,587
45.4309,597
45.829,690
46.2271,845
46.6252,949
47.0234,1087
47.4215,1267
47.8197,1320
48.2179,1480
48.6161,1643
49.0143,1830
49.4125,1866
49.8108,2012
50.209,2173
50.6073,2373
51.0056,2466
51.4039,2557
51.8022,2752
52.2006,2867
52.5989,2982
52.9973,3082
53.3956,3142
53.794,3189
54.1924,3378
54.5908,3376
54.9893,3504
55.3877,3319
55.7862,3635
56.1846,3620
56.5831,3684
56.9816,3672
57.3802,3772
57.7787,3832
58.1772,3792
58.5758,3942
58.9744,4058
59.373,4101
59.7716,4331
60.1702,4160
60.5688,4197
60.9674,4341
61.3661,4501
61.7648,4561
62.1635,4688
62.5622,4898
62.9609,5211
63.3596,5227
63.7584,5299
64.1571,5630
64.5559,5725
64.9547,6050
65.3535,6341
65.7523,6376
66.1511,6591
66.55,6774
66.9489,7060
67.3477,7131
67.7466,7429
68.1455,7531
68.5444,7636
68.9434,7904
69.3423,7882
69.7413,8152
70.1403,8310
70.5392,8254
70.9382,8096
71.3373,8394
71.7363,8271
72.1353,8125
72.5344,8233
72.9335,8119
73.3326,8046
73.7317,7862
74.1308,7672
74.5299,7587
74.9291,7455
75.3282,7380
75.7274,7170
76.1266,7017
76.5258,6928
76.925,6879
77.3243,6574
77.7235,6447
78.1228,6113
78.522,6143
78.9213,5982
79.3206,5912
79.72,5907
80.1193,5867
80.5186,5677
80.918,5688
81.3174,5392
81.7168,5426
82.1162,5393
82.5156,5396
82.915,5325
83.3145,5339
83.7139,5307
84.1134,4994
84.5129,5037
84.9124,5028
85.3119,4890
85.7115,4728
86.111,4718
86.5106,4695
86.9102,4649
87.3097,4389
87.7094,4282
88.109,4303
88.5086,4128
88.9083,4127
89.3079,3933
89.7076,4026
90.1073,3906
90.507,3752
90.9067,3721
91.3064,3636
91.7062,3620
92.106,3594
92.5057,3639
92.9055,3500
93.3053,3517
93.7052,3455
94.105,3370
94.5048,3478
94.9047,3345
95.3046,3248
95.7045,3383
96.1044,3275
96.5043,3347
96.9042,3385
97.3042,3314
97.7042,3404
98.1041,3368
98.5041,3227
98.9041,3347
99.3042,3298
99.7042,3238
100.104,3165
100.504,3294
100.904,3261
101.304,3231
101.705,3184
102.105,3185
102.505,3150
102.905,3177
103.305,3185
103.705,3160
104.106,3106
104.506,3162
104.906,3059
105.306,3200
105.706,3038
106.107,3041
106.507,3055
106.907,3158
107.308,3023
107.708,3071
108.108,3005
108.509,2977
108.909,2903
109.309,2951
109.71,2878
110.11,2973
110.511,2981
110.911,2911
111.311,2978
111.712,2919
112.112,2846
112.513,2915
112.913,2885
113.314,2836
113.714,2841
114.115,2854
114.516,2832
114.916,2741
115.317,2738
115.717,2711
116.118,2793
116.519,2713
116.919,2723
117.32,2714
117.721,2623
118.121,2702
118.522,2714
118.923,2597
119.324,2560
119.724,2650
120.125,2628
120.526,2601
120.927,2625
121.327,2549
121.728,2558
122.129,2522
122.53,2632
122.931,2485
123.332,2607
123.733,2591
124.133,2636
124.534,2570
124.935,2519
125.336,2564
125.737,2518
126.138,2530
126.539,2488
126.94,2542
127.341,2497
127.742,2530
128.143,2591
128.544,2563
128.946,2494
129.347,2597
129.748,2504
130.149,2488
130.55,2482
130.951,2578
131.352,2485
131.753,2603
132.155,2528
132.556,2420
132.957,2467
133.358,2439
133.76,2555
134.161,2529
134.562,2495
134.963,2561
135.365,2472
135.766,2574
136.167,2682
136.569,2522
136.97,2512
137.372,2518
137.773,2574
138.174,2532
138.576,2590
138.977,2559
139.379,2578
139.78,2535
140.182,2660
140.583,2669
140.985,2660
141.386,2631
141.788,2641
142.189,2616
142.591,2588
142.992,2614
143.394,2670
143.796,2712
144.197,2705
144.599,2637
145.001,2783
145.402,2769
145.804,2648
146.206,2689
146.607,2696
147.009,2783
147.411,2773
147.813,2722
148.214,2666
148.616,2784
149.018,2700
149.42,2740
149.822,2705
150.223,2815
150.625,2815
151.027,2745
151.429,2795
151.831,2837
152.233,2723
152.635,2797
153.037,2857
153.439,2849
153.841,2816
154.243,2789
154.645,2830
155.047,2771
155.449,2869
155.851,2887
156.253,2833
156.655,2812
157.057,2833
157.459,2839
157.861,2882
158.263,2854
158.665,2878
159.068,2854
159.47,2779
159.872,2668
160.274,2852
160.676,2758
161.079,2738
161.481,2792
161.883,2772
162.285,2795
162.688,2698
163.09,2753
163.492,2757
163.895,2805
164.297,2885
164.699,2819
165.102,2857
165.504,2750
165.906,2726
166.309,2755
166.711,2900
167.114,2812
167.516,2824
167.919,2766
168.321,2728
168.724,2775
169.126,2782
169.529,2780
169.931,2976
170.334,2803
170.736,2900
171.139,2821
171.542,2808
171.944,2862
172.347,2935
172.749,2933
173.152,2813
173.555,2906
173.957,2832
174.36,2867
174.763,2885
175.166,2800
175.568,2830
175.971,2800
176.374,2855
176.777,2899
177.179,2904
177.582,2844
177.985,2843
178.388,2863
178.791,2856
179.194,2882
179.597,2923
179.999,2926
180.402,2878
180.805,2869
181.208,2840
181.611,2853
182.014,2861
182.417,2789
182.82,2919
183.223,2931
183.626,2883
184.029,2850
184.432,2798
184.835,2902
185.238,2875
185.642,2863
186.045,2841
186.448,2800
186.851,2895
187.254,2872
187.657,2808
188.061,2852
188.464,2828
188.867,2914
189.27,2817
189.673,2965
190.077,2922
190.48,2905
190.883,2902
191.287,2941
191.69,2886
192.093,2828
192.497,2837
192.9,2839
193.303,2862
193.707,2982
194.11,2863
194.513,2844
194.917,2901
195.32,2884
195.724,2823
196.127,3019
196.531,2921
196.934,2869
197.338,2851
197.741,2881
198.145,2939
198.548,2978
198.952,2880
199.356,2994
199.759,2954
200.163,2803
200.566,2950
200.97,3046
201.374,3038
201.777,2882
202.181,2946
202.585,2920
202.989,2966
203.392,2961
203.796,2923
204.2,2957
204.604,2920
205.007,2935
205.411,2937
205.815,2903
206.219,3000
206.623,2932
207.027,3067
207.43,3011
207.834,3016
208.238,2842
208.642,3001
209.046,2983
209.45,2917
209.854,3021
210.258,2976
210.662,3099
211.066,3105
211.47,3010
211.874,3096
212.278,3039
212.682,3022
213.086,3043
213.49,3008
213.894,3012
214.299,2913
214.703,2957
215.107,3051
215.511,3028
215.915,2999
216.319,3047
216.724,3051
217.128,3008
217.532,3141
217.936,3035
218.341,3034
218.745,3003
219.149,2989
219.553,3053
219.958,3107
220.362,3159
220.766,3114
221.171,3170
221.575,3145
221.98,3194
222.384,3094
222.788,3115
223.193,3195
223.597,3186
224.002,3194
224.406,3270
224.811,3233
225.215,3311
225.62,3302
226.024,3285
226.429,3423
226.833,3264
227.238,3445
227.643,3447
228.047,3477
228.452,3492
228.856,3370
229.261,3674
229.666,3508
230.07,3573
230.475,3637
230.88,3628
231.285,3796
231.689,3853
232.094,3806
232.499,3813
232.904,3844
233.308,3971
233.713,3969
234.118,4057
234.523,4088
234.928,4081
235.333,4178
235.737,4328
236.142,4228
236.547,4304
236.952,4361
237.357,4481
237.762,4374
238.167,4442
238.572,4553
238.977,4495
239.382,4539
239.787,4568
240.192,4598
240.597,4619
241.002,4703
241.407,4558
241.812,4704
242.217,4813
242.623,4723
243.028,4629
243.433,4773
243.838,4660
244.243,4674
244.648,4720
245.054,4752
245.459,4767
245.864,4745
246.269,4597
246.675,4620
247.08,4658
247.485,4465
247.891,4610
248.296,4658
248.701,4571
249.107,4508
249.512,4425
249.917,4263
250.323,4361
250.728,4401
251.133,4364
251.539,4182
251.944,4175
252.35,4243
252.755,3965
253.161,3958
253.566,4008
253.972,3851
254.377,3924
254.783,3943
255.189,3870
255.594,3892
256,3850
256.405,3660
256.811,3721
257.217,3718
257.622,3520
258.028,3527
258.434,3472
258.839,3484
259.245,3344
259.651,3396
260.056,3380
260.462,3298
260.868,3356
261.274,3212
261.68,3179
262.085,3158
262.491,3149
262.897,3075
263.303,3097
263.709,3142
264.115,3068
264.521,3030
264.926,3008
265.332,3010
265.738,3009
266.144,3026
266.55,2993
266.956,2966
267.362,2836
267.768,2870
268.174,2935
268.58,2744
268.986,2740
269.392,2810
269.799,2808
270.205,2818
270.611,2775
271.017,2894
271.423,2784
271.829,2796
272.235,2749
272.642,2736
273.048,2723
273.454,2711
273.86,2641
274.266,2844
274.673,2743
275.079,2708
275.485,2760
275.892,2799
276.298,2748
276.704,2694
277.111,2746
277.517,2697
277.923,2760
278.33,2766
278.736,2690
279.142,2562
279.549,2702
279.955,2625
280.362,2743
280.768,2694
281.175,2676
281.581,2679
281.988,2675
282.394,2681
282.801,2749
283.207,2752
283.614,2673
284.021,2701
284.427,2654
284.834,2696
285.24,2669
285.647,2692
286.054,2626
286.46,2675
286.867,2700
287.274,2663
287.68,2680
288.087,2695
288.494,2864
288.901,2754
289.307,2686
289.714,2699
290.121,2708
290.528,2783
290.935,2685
291.342,2699
291.748,2646
292.155,2643
292.562,2764
292.969,2661
293.376,2663
293.783,2713
294.19,2733
294.597,2761
295.004,2752
295.411,2665
295.818,2766
296.225,2765
296.632,2704
297.039,2673
297.446,2781
297.853,2632
298.26,2698
298.667,2688
299.074,2678
299.481,2607
299.889,2630
300.296,2764
300.703,2703
301.11,2771
301.517,2708
301.924,2634
302.332,2662
302.739,2727
303.146,2644
303.553,2715
303.961,2838
304.368,2654
304.775,2745
305.183,2713
305.59,2729
305.997,2781
306.405,2707
306.812,2746
307.22,2729
307.627,2839
308.034,2768
308.442,2808
308.849,2787
309.257,2731
309.664,2860
310.072,2873
310.479,2784
310.887,2840
311.294,2883
311.702,2912
312.11,2793
312.517,2874
312.925,3092
313.332,2878
313.74,2970
314.148,2967
314.555,3024
314.963,3094
315.371,3142
315.778,3179
316.186,3141
316.594,3292
317.002,3284
317.409,3440
317.817,3268
318.225,3448
318.633,3586
319.041,3528
319.448,3688
319.856,3745
320.264,3778
320.672,3986
321.08,3857
321.488,4099
321.896,4137
322.304,4181
322.712,4326
323.12,4425
323.527,4452
323.935,4461
324.343,4689
324.751,4984
325.16,4947
325.568,5062
325.976,5077
326.384,5060
326.792,5347
327.2,5647
327.608,5590
