Energy, Data
-14.749,0
-14.3582,0
-13.9674,0
-13.5765,0
-13.1857,0
-12.7948,0
-12.4039,0
-12.013,0
-11.6221,0
-11.2311,0
-10.8402,0
-10.4492,0
-10.0582,0
-9.66723,0
-9.27621,0
-8.88519,0
-8.49414,0
-8.10308,0
-7.712,0
-7.32091,0
-6.9298,0
-6.53868,0
-6.14754,0
-5.75639,0
-5.36522,0
-4.97404,0
-4.58284,0
-4.19162,0
-3.80039,0
-3.40914,0
-3.01788,0
-2.62661,0
-2.23531,0
-1.84401,4
-1.45268,3
-1.06134,2
-0.66999,2
-0.278621,8
0.112764,4
0.504164,2
0.89558,2
1.28701,2
1.67846,2
2.06992,3
2.4614,2
2.85289,6
3.2444,4
3.63592,3
4.02746,3
4.41902,6
4.81059,1
5.20217,7
5.59377,1
5.98539,7
6.37702,7
6.76867,4
7.16033,4
7.55201,2
7.9437,4
8.33541,4
8.72713,2
9.11887,9
9.51063,7
9.9024,4
10.2942,5
10.686,4
11.0778,4
11.4696,3
11.8615,4
12.2533,3
12.6452,9
13.0371,6
13.429,3
13.821,5
14.2129,7
14.6048,4
14.9968,9
15.3888,5
15.7808,11
16.1728,6
16.5649,5
16.9569,10
17.349,9
17.7411,6
18.1331,9
18.5253,8
18.9174,6
19.3095,10
19.7017,10
20.0938,6
20.486,8
20.8782,8
21.2705,10
21.6627,11
22.0549,10
22.4472,9
22.8395,11
23.2318,13
23.6241,7
24.0164,18
24.4088,10
24.8011,19
25.1935,7
25.5859,18
25.9783,12
26.3707,12
26.7631,17
27.1556,14
27.548,14
27.9405,17
28.333,16
28.7255,20
29.1181,16
29.5106,7
29.9032,22
30.2957,29
30.6883,26
31.0809,20
31.4735,21
31.8662,22
32.2588,23
32.6515,20
33.0442,29
33.4369,32
33.8296,31
34.2223,41
34.615,34
35.0078,26
35.4006,40
35.7934,31
36.1862,50
36.579,42
36.9718,43
37.3647,58
37.7575,50
38.1504,67
38.5433,56
38.9362,71
39.3292,67
39.7221,87
40.1151,77
40.508,88
40.901,97
41.294,95
41.687,140
42.0801,149
42.4731,174
42.8662,206
43.2593,237
43.6524,323
44.0455,349
44.4386,410
44.8318,496
45.2249,543
45.6181,632
46.0113,702
46.4045,880
46.7977,999
47.191,1110
47.5842,1242
47.9775,1390
48.3708,1502
48.764,1609
49.1574,1810
49.5507,2002
49.944,2120
50.3374,2224
50.7308,2380
51.1242,2504
51.5176,2591
51.911,2723
52.3044,2815
52.6979,2872
53.0913,3143
53.4848,3112
53.8783,3262
54.2718,3315
54.6654,3393
55.0589,3583
55.4525,3576
55.8461,3581
56.2396,3661
56.6332,3672
57.0269,3714
57.4205,3696
57.8142,3693
58.2078,3816
58.6015,3770
58.9952,3754
59.3889,4017
59.7827,4060
60.1764,4260
60.5702,4195
60.9639,4307
61.3577,4382
61.7515,4396
62.1454,4541
62.5392,4720
62.933,4783
63.3269,4982
63.7208,5248
64.1147,5206
64.5086,5440
64.9025,5669
65.2965,5758
65.6905,6026
66.0844,6174
66.4784,6597
66.8724,6562
67.2665,6709
67.6605,6941
68.0545,7270
68.4486,7260
68.8427,7539
69.2368,7732
69.6309,7682
70.025,7878
70.4192,7823
70.8134,7960
71.2075,8064
71.6017,8088
71.9959,8293
72.3902,8001
72.7844,7942
73.1786,7906
73.5729,7767
73.9672,7843
74.3615,7637
74.7558,7601
75.1502,7498
75.5445,7337
75.9389,7019
76.3332,7029
76.7276,6775
77.122,6574
77.5165,6485
77.9109,6315
78.3054,6210
78.6998,6159
79.0943,6110
79.4888,5832
79.8833,5963
80.2779,5770
80.6724,5623
81.067,5530
81.4616,5510
81.8561,5404
82.2508,5467
82.6454,5288
83.04,5247
83.4347,5301
83.8293,5257
84.224,5119
84.6187,5129
85.0135,5029
85.4082,4927
85.8029,4704
86.1977,4747
86.5925,4661
86.9873,4595
87.3821,4427
87.7769,4554
88.1717,4376
88.5666,4229
88.9615,4262
89.3564,4102
89.7513,4073
90.1462,4041
90.5411,4055
90.9361,3780
91.331,3732
91.726,3810
92.121,3586
92.516,3694
92.911,3499
93.3061,3557
93.7011,3561
94.0962,3461
94.4913,3334
94.8864,3494
95.2815,3412
95.6767,3413
96.0718,3362
96.467,3350
96.8621,3214
97.2573,3366
97.6525,3308
98.0478,3305
98.443,3236
98.8383,3288
99.2336,3249
99.6288,3377
100.024,3321
100.419,3299
100.815,3201
101.21,3399
101.606,3178
102.001,3273
102.396,3264
102.792,3128
103.187,3403
103.583,3193
103.978,3292
104.373,3219
104.769,3152
105.164,3263
105.56,3269
105.956,3074
106.351,3166
106.747,3104
107.142,3087
107.538,3165
107.933,3093
108.329,3128
108.725,3084
109.12,3064
109.516,3093
109.912,3016
110.307,2976
110.703,2966
111.099,3001
111.495,3019
111.89,2863
112.286,2946
112.682,2867
113.078,2921
113.474,2860
113.869,2851
114.265,2836
114.661,2849
115.057,2776
115.453,2901
115.849,2830
116.245,2776
116.641,2775
117.037,2684
117.433,2837
117.829,2846
118.225,2691
118.621,2683
119.017,2791
119.413,2740
119.809,2737
120.205,2639
120.601,2692
120.997,2626
121.393,2680
121.79,2680
122.186,2666
122.582,2579
122.978,2650
123.374,2649
123.771,2589
124.167,2576
124.563,2608
124.959,2665
125.356,2566
125.752,2628
126.148,2618
126.545,2580
126.941,2522
127.337,2601
127.734,2575
128.13,2561
128.527,2642
128.923,2469
129.319,2574
129.716,2516
130.112,2531
130.509,2533
130.905,2591
131.302,2599
131.698,2588
132.095,2556
132.492,2508
132.888,2603
133.285,2574
133.681,2559
134.078,2626
134.475,2579
134.871,2597
135.268,2582
135.665,2557
136.061,2578
136.458,2606
136.855,2626
137.252,2567
137.648,2650
138.045,2697
138.442,2586
138.839,2514
139.236,2632
139.632,2613
140.029,2805
140.426,2706
140.823,2717
141.22,2627
141.617,2707
142.014,2666
142.411,2620
142.808,2773
143.205,2697
143.602,2651
143.999,2710
144.396,2693
144.793,2803
145.19,2737
145.587,2808
145.984,2682
146.381,2728
146.778,2822
147.175,2802
147.573,2867
147.97,2680
148.367,2745
148.764,2864
149.161,2751
149.559,2833
149.956,2906
150.353,2726
150.75,2853
151.148,2871
151.545,2889
151.942,3011
152.34,2840
152.737,2801
153.134,2852
153.532,2990
153.929,2807
154.327,2769
154.724,2815
155.121,2875
155.519,2962
155.916,2860
156.314,2867
156.711,2814
157.109,2899
157.506,2869
157.904,2893
158.302,2792
158.699,2907
159.097,2952
159.494,2820
159.892,2804
160.29,2885
160.687,2872
161.085,2776
161.483,2809
161.88,2813
162.278,2879
162.676,2837
163.074,2905
163.471,2852
163.869,2847
164.267,2805
164.665,2808
165.063,2818
165.46,2796
165.858,2858
166.256,2872
166.654,2891
167.052,2910
167.45,2953
167.848,3014
168.246,2904
168.644,2946
169.042,2935
169.44,2877
169.838,2864
170.236,2956
170.634,2959
171.032,3048
171.43,2809
171.828,2973
172.226,2879
172.624,2922
173.023,2956
173.421,2888
173.819,2884
174.217,2943
174.615,2889
175.013,2865
175.412,2910
