Energy, Data
-15.2173,0
-14.8274,0
-14.4375,0
-14.0476,0
-13.6577,0
-13.2678,0
-12.8778,0
-12.4878,0
-12.0978,0
-11.7078,0
-11.3178,0
-10.9278,0
-10.5377,0
-10.1477,0
-9.75758,0
-9.36749,0
-8.97738,0
-8.58726,0
-8.19712,0
-7.80697,0
-7.41681,0
-7.02663,0
-6.63643,0
-6.24622,0
-5.856,0
-5.46576,0
-5.07551,0
-4.68524,0
-4.29496,0
-3.90466,0
-3.51435,0
-3.12403,0
-2.73369,6
-2.34333,3
-1.95296,4
-1.56258,0
-1.17218,4
-0.781766,3
-0.391338,1
-0.00089566,4
0.389561,5
0.780033,2
1.17052,4
1.56102,6
1.95154,4
2.34207,6
2.73261,4
3.12317,5
3.51374,2
3.90433,4
4.29494,0
4.68555,1
5.07619,2
5.46683,2
5.85749,1
6.24817,2
6.63886,4
7.02957,5
7.42029,3
7.81102,4
8.20177,2
8.59253,7
8.98331,4
9.37411,4
9.76491,4
10.1557,9
10.5466,3
10.9374,9
11.3283,9
11.7192,7
12.1101,9
12.501,6
12.8919,10
13.2828,3
13.6738,9
14.0648,8
14.4557,4
14.8467,3
15.2378,7
15.6288,11
16.0198,10
16.4109,13
16.8019,13
17.193,4
17.5841,11
17.9752,14
18.3664,8
18.7575,15
19.1487,11
19.5398,8
19.931,7
20.3222,17
20.7135,13
21.1047,10
21.4959,11
21.8872,8
22.2785,14
22.6698,17
23.0611,16
23.4524,11
23.8437,21
24.2351,13
24.6264,14
25.0178,22
25.4092,18
25.8006,28
26.192,34
26.5835,26
26.9749,15
27.3664,28
27.7578,20
28.1493,28
28.5408,30
28.9324,23
29.3239,39
29.7155,36
30.107,49
30.4986,36
30.8902,49
31.2818,50
31.6734,42
32.0651,51
32.4567,51
32.8484,53
33.2401,47
33.6318,52
34.0235,59
34.4152,66
34.807,62
35.1987,66
35.5905,86
35.9823,83
36.3741,84
36.7659,77
37.1577,73
37.5496,83
37.9414,104
38.3333,113
38.7252,107
39.1171,115
39.509,132
39.9009,114
40.2929,141
40.6848,168
41.0768,199
41.4688,217
41.8608,231
42.2528,271
42.6449,318
43.0369,413
43.429,405
43.8211,502
44.2132,602
44.6053,751
44.9974,780
45.3895,972
45.7817,1096
46.1738,1229
46.566,1385
46.9582,1545
47.3504,1650
47.7426,1899
48.1349,2076
48.5271,2208
48.9194,2463
49.3117,2657
49.704,2881
50.0963,3020
50.4886,3189
50.881,3373
51.2733,3478
51.6657,3562
52.0581,3761
52.4505,4150
52.8429,4135
53.2353,4308
53.6278,4303
54.0202,4528
54.4127,4610
54.8052,4841
55.1977,4834
55.5902,5067
55.9827,5074
56.3753,5065
56.7678,5184
57.1604,5307
57.553,5380
57.9456,5523
58.3382,5593
58.7308,5788
59.1235,6141
59.5161,6092
59.9088,6394
60.3015,6487
60.6942,6777
61.0869,6964
61.4797,7356
61.8724,7797
62.2652,8007
62.658,8280
63.0508,8698
63.4436,9226
63.8364,9723
64.2292,10426
64.6221,10883
65.0149,11444
65.4078,11814
65.8007,12385
66.1936,13077
66.5866,13612
66.9795,14093
67.3724,15082
67.7654,15520
68.1584,16183
68.5514,16872
68.9444,17300
69.3374,17536
69.7305,18290
70.1235,18332
70.5166,18487
70.9097,18533
71.3028,18726
71.6959,18732
72.089,18848
72.4822,18734
72.8753,18537
73.2685,18101
73.6617,17640
74.0549,17748
74.4481,17001
74.8413,16636
75.2346,16309
75.6279,15595
76.0211,15098
76.4144,14860
76.8077,14279
77.201,13528
77.5944,13359
77.9877,12825
78.3811,12459
78.7745,12083
79.1679,11481
79.5613,11263
79.9547,11059
80.3481,10877
80.7416,10431
81.135,10253
81.5285,10139
81.922,9974
82.3155,9800
82.709,9742
83.1026,9530
83.4961,9244
83.8897,9083
84.2833,8970
84.6769,8799
85.0705,8514
85.4641,8527
85.8577,8029
86.2514,7903
86.6451,7543
87.0388,7517
87.4325,7128
87.8262,6906
88.2199,6840
88.6136,6454
89.0074,6256
89.4012,6161
89.795,5807
90.1888,5555
90.5826,5344
90.9764,5196
91.3702,4939
91.7641,4842
92.158,4631
92.5519,4472
92.9458,4261
93.3397,4221
93.7336,4086
94.1276,4068
94.5215,3960
94.9155,4008
95.3095,3885
95.7035,3772
96.0975,3708
96.4915,3715
96.8856,3690
97.2797,3645
97.6737,3511
98.0678,3550
98.4619,3512
98.8561,3432
99.2502,3479
99.6443,3503
100.039,3499
100.433,3348
100.827,3462
101.221,3375
101.615,3353
102.01,3412
102.404,3281
102.798,3258
103.192,3333
103.587,3463
103.981,3228
104.375,3272
104.77,3407
105.164,3275
105.558,3188
105.953,3260
106.347,3207
106.742,3144
107.136,3156
107.53,3063
107.925,3106
108.319,3159
108.714,3037
109.108,3123
109.503,3148
109.897,3102
110.292,3042
110.687,3066
111.081,2983
111.476,2955
111.87,3047
112.265,3019
112.66,2979
113.054,2904
113.449,2956
113.844,2904
114.238,2905
114.633,2880
115.028,2879
115.422,2839
115.817,2866
116.212,2812
116.607,2837
117.001,2827
117.396,2801
117.791,2700
118.186,2682
118.581,2881
118.976,2692
119.371,2719
119.765,2764
120.16,2725
120.555,2720
120.95,2727
121.345,2717
121.74,2705
122.135,2681
122.53,2727
122.925,2608
123.32,2557
123.715,2678
124.11,2674
124.505,2592
124.9,2541
