Energy, Data
-14.8602,0
-14.4729,0
-14.0856,0
-13.6983,0
-13.311,0
-12.9237,0
-12.5364,0
-12.149,0
-11.7617,0
-11.3743,0
-10.9869,0
-10.5995,0
-10.2121,0
-9.82464,0
-9.43718,0
-9.04972,0
-8.66223,0
-8.27474,0
-7.88722,0
-7.4997,0
-7.11215,0
-6.72459,0
-6.33702,0
-5.94943,0
-5.56183,0
-5.17421,0
-4.78658,0
-4.39893,0
-4.01127,0
-3.62359,0
-3.2359,0
-2.84819,0
-2.46047,1
-2.07273,1
-1.68497,0
-1.29721,3
-0.909423,0
-0.521625,1
-0.133811,1
0.254017,2
0.641861,2
1.02972,0
1.41759,4
1.80548,1
2.19338,7
2.5813,1
2.96924,3
3.35719,1
3.74515,6
4.13313,2
4.52112,3
4.90913,9
5.29715,4
5.68519,5
6.07325,3
6.46132,4
6.8494,1
7.2375,2
7.62561,3
8.01374,4
8.40189,4
8.79004,1
9.17822,2
9.56641,5
9.95461,3
10.3428,2
10.7311,5
11.1193,3
11.5076,4
11.8959,3
12.2842,6
12.6725,4
13.0608,5
13.4491,6
13.8375,8
14.2258,9
14.6142,7
15.0026,4
15.391,6
15.7795,6
16.1679,10
16.5564,11
16.9449,10
17.3333,15
17.7218,4
18.1104,13
18.4989,8
18.8875,5
19.276,13
19.6646,6
20.0532,5
20.4418,16
20.8304,10
21.2191,8
21.6077,8
21.9964,17
22.3851,15
22.7738,16
23.1625,7
23.5512,23
23.94,15
24.3287,17
24.7175,18
25.1063,23
25.4951,15
25.8839,22
26.2728,21
26.6616,21
27.0505,22
27.4394,18
27.8282,32
28.2172,29
28.6061,18
28.995,32
29.384,23
29.7729,20
30.1619,28
30.5509,42
30.94,32
31.329,35
31.718,39
32.1071,43
32.4962,47
32.8853,54
33.2744,39
33.6635,33
34.0526,36
34.4418,50
34.8309,43
35.2201,50
35.6093,58
35.9985,54
36.3877,55
36.777,72
37.1662,67
37.5555,69
37.9448,103
38.3341,61
38.7234,86
39.1128,94
39.5021,102
39.8915,111
40.2808,124
40.6702,128
41.0596,157
41.4491,176
41.8385,186
42.2279,212
42.6174,303
43.0069,314
43.3964,348
43.7859,405
44.1754,530
44.565,559
44.9545,708
45.3441,777
45.7337,850
46.1233,997
46.5129,1153
46.9025,1326
47.2922,1467
47.6818,1545
48.0715,1648
48.4612,1831
48.8509,2017
49.2406,2162
49.6304,2272
50.0201,2459
50.4099,2493
50.7997,2649
51.1895,2814
51.5793,2911
51.9691,3062
52.359,3106
52.7488,3331
53.1387,3328
53.5286,3453
53.9185,3512
54.3084,3582
54.6983,3727
55.0883,3791
55.4782,3893
55.8682,4094
56.2582,4075
56.6482,4160
57.0382,4312
57.4283,4391
57.8183,4421
58.2084,4516
58.5985,4760
58.9886,4923
59.3787,5011
59.7688,5280
60.159,5436
60.5491,5643
60.9393,5996
61.3295,6339
61.7197,6532
62.1099,6858
62.5001,7126
62.8904,7523
63.2806,8034
63.6709,8296
64.0612,9275
64.4515,9474
64.8418,10077
65.2322,10533
65.6225,11053
66.0129,11612
66.4033,12653
66.7937,13230
67.1841,13942
67.5745,14443
67.965,15146
68.3554,15866
68.7459,16320
69.1364,17034
69.5269,17496
69.9174,17821
70.3079,18125
70.6985,18607
71.0891,18704
71.4796,18844
71.8702,18903
72.2608,19033
72.6515,18548
73.0421,18543
73.4328,18352
73.8234,18104
74.2141,17706
74.6048,17342
74.9955,17030
75.3862,16536
75.777,15970
76.1677,15668
76.5585,14934
76.9493,14377
77.3401,14000
77.7309,13432
78.1218,13136
78.5126,12692
78.9035,12204
79.2944,11775
79.6853,11243
80.0762,11228
80.4671,10789
80.858,10662
81.249,10556
81.64,10281
82.0309,9997
82.4219,9781
82.813,9584
83.204,9428
83.595,9291
83.9861,9122
84.3772,8959
84.7682,8792
85.1594,8598
85.5505,8246
85.9416,7916
86.3328,7892
86.7239,7529
87.1151,7480
87.5063,7094
87.8975,6970
88.2887,6716
88.68,6334
89.0712,6054
89.4625,5746
89.8538,5694
90.2451,5365
90.6364,5199
91.0277,4903
91.4191,4801
91.8104,4509
92.2018,4379
92.5932,4253
92.9846,4069
93.376,3999
93.7675,3972
94.1589,3775
94.5504,3629
94.9419,3545
95.3334,3392
95.7249,3370
96.1164,3345
96.5079,3386
96.8995,3187
97.2911,3294
97.6826,3150
98.0742,3091
98.4659,3029
98.8575,3069
99.2491,3038
99.6408,3085
100.032,3095
100.424,2979
100.816,3040
101.208,3015
101.599,2982
101.991,3018
102.383,2887
102.775,2925
103.166,2875
103.558,2848
103.95,2886
104.342,2787
104.734,2828
105.126,2751
105.518,2741
105.909,2740
106.301,2778
106.693,2766
107.085,2748
107.477,2760
107.869,2799
108.261,2705
108.653,2699
109.045,2614
109.437,2642
109.829,2704
110.221,2560
110.613,2556
111.005,2555
111.398,2610
111.79,2474
112.182,2485
112.574,2406
112.966,2476
113.358,2464
113.751,2484
114.143,2496
114.535,2370
114.927,2419
115.32,2264
115.712,2335
116.104,2366
116.496,2357
116.889,2232
117.281,2331
117.673,2285
118.066,2312
118.458,2316
118.851,2320
119.243,2199
119.635,2201
120.028,2179
120.42,2152
120.813,2233
121.205,2203
121.598,2264
121.99,2180
122.383,2163
122.775,2129
123.168,2165
123.561,2182
123.953,2146
124.346,2179
124.738,2131
125.131,2171
125.524,2110
125.916,2274
126.309,2168
126.702,2173
127.094,2212
127.487,2143
127.88,2084
128.273,2223
128.665,2163
129.058,2154
129.451,2118
129.844,2079
130.237,2073
130.629,2104
131.022,2069
131.415,2151
131.808,2187
132.201,2172
132.594,2193
132.987,2130
133.38,2081
133.773,2239
134.166,2276
134.559,2164
134.952,2193
135.345,2168
135.738,2166
136.131,2171
136.524,2294
136.917,2170
137.31,2071
137.703,2159
138.096,2122
138.49,2204
138.883,2189
139.276,2243
139.669,2215
140.062,2175
140.456,2227
140.849,2196
141.242,2222
141.635,2208
142.029,2250
142.422,2208
142.815,2307
143.209,2306
143.602,2299
143.995,2316
144.389,2306
144.782,2311
145.175,2279
145.569,2274
145.962,2251
146.356,2220
146.749,2312
147.143,2270
147.536,2297
147.93,2408
148.323,2291
148.717,2346
149.11,2397
149.504,2325
149.897,2369
150.291,2374
150.685,2394
151.078,2386
151.472,2396
151.866,2439
152.259,2402
152.653,2398
153.047,2454
153.44,2544
153.834,2428
154.228,2373
154.622,2458
155.015,2424
155.409,2416
155.803,2408
156.197,2370
156.591,2446
156.985,2483
157.378,2542
157.772,2550
158.166,2533
158.56,2463
158.954,2439
159.348,2533
159.742,2490
160.136,2504
160.53,2468
160.924,2437
161.318,2604
161.712,2607
162.106,2573
162.5,2538
162.894,2516
163.288,2651
163.682,2418
164.076,2499
164.471,2606
164.865,2623
165.259,2560
165.653,2503
166.047,2596
166.442,2549
166.836,2583
167.23,2628
167.624,2516
168.019,2410
168.413,2558
168.807,2524
169.201,2596
169.596,2640
169.99,2575
170.385,2553
170.779,2491
171.173,2520
171.568,2554
171.962,2656
172.357,2554
172.751,2675
173.146,2545
173.54,2604
173.934,2648
174.329,2624
174.724,2532
175.118,2688
175.513,2688
175.907,2584
176.302,2638
176.696,2546
177.091,2608
177.486,2620
177.88,2603
178.275,2657
178.67,2722
179.064,2515
179.459,2620
179.854,2619
180.249,2544
180.643,2596
181.038,2599
181.433,2598
181.828,2618
182.222,2648
182.617,2644
183.012,2719
183.407,2634
183.802,2606
184.197,2572
184.592,2603
184.987,2683
185.382,2592
185.777,2575
186.171,2589
186.566,2619
186.961,2523
187.356,2656
187.751,2588
188.147,2637
188.542,2634
188.937,2569
189.332,2501
189.727,2612
190.122,2616
190.517,2666
190.912,2595
191.307,2571
191.703,2644
192.098,2538
192.493,2546
192.888,2648
193.283,2637
193.679,2572
194.074,2601
194.469,2572
194.865,2646
195.26,2680
195.655,2648
196.051,2658
196.446,2573
196.841,2676
197.237,2650
197.632,2638
198.027,2589
198.423,2674
198.818,2661
199.214,2661
199.609,2741
200.005,2599
200.4,2570
200.796,2673
201.191,2639
201.587,2598
201.982,2727
202.378,2685
202.774,2774
203.169,2678
203.565,2660
203.961,2638
204.356,2593
204.752,2609
205.148,2602
205.543,2603
205.939,2689
206.335,2687
206.73,2652
207.126,2731
207.522,2643
207.918,2658
208.314,2814
208.709,2687
209.105,2651
209.501,2692
209.897,2642
210.293,2691
210.689,2698
211.085,2691
211.481,2727
211.877,2801
212.273,2722
212.669,2793
213.064,2795
213.46,2703
213.857,2734
214.253,2749
214.649,2690
215.045,2758
215.441,2740
215.837,2730
216.233,2749
216.629,2693
217.025,2659
217.421,2755
217.818,2698
218.214,2761
218.61,2656
219.006,2842
219.402,2778
219.799,2797
220.195,2750
220.591,2818
220.987,2803
221.384,2788
221.78,2744
222.176,2834
222.573,2872
222.969,2889
223.365,2855
223.762,2924
224.158,2946
224.555,2807
224.951,2851
225.348,2866
225.744,2898
226.141,2940
226.537,2874
226.934,2948
227.33,3035
227.727,2890
228.123,2949
228.52,2973
228.916,3016
229.313,3034
229.71,3110
230.106,3143
230.503,3114
230.9,3273
231.296,3219
231.693,3178
232.09,3096
232.486,3142
232.883,3344
233.28,3209
233.677,3231
234.073,3288
234.47,3168
234.867,3308
235.264,3280
235.661,3394
236.058,3396
236.454,3470
236.851,3268
237.248,3317
237.645,3448
238.042,3392
238.439,3402
238.836,3411
239.233,3514
239.63,3493
240.027,3566
240.424,3655
240.821,3422
241.218,3637
241.615,3544
242.012,3563
242.409,3530
242.806,3600
243.204,3623
243.601,3555
243.998,3510
244.395,3595
244.792,3582
245.189,3620
245.587,3480
245.984,3554
246.381,3659
246.778,3602
247.176,3517
247.573,3435
247.97,3529
248.368,3466
248.765,3487
249.162,3619
249.56,3499
249.957,3461
250.355,3463
250.752,3453
251.149,3400
251.547,3450
251.944,3464
252.342,3326
252.739,3282
253.137,3173
253.534,3270
253.932,3202
254.329,3173
254.727,3235
255.125,3247
255.522,3111
255.92,3252
256.317,3162
256.715,3034
257.113,3025
257.51,3094
257.908,3148
258.306,3052
258.703,2951
259.101,2985
259.499,2943
259.897,2962
260.294,2960
260.692,2952
261.09,2878
261.488,2860
261.886,2879
262.284,2791
262.681,2837
263.079,2902
263.477,2803
263.875,2792
264.273,2812
264.671,2860
265.069,2765
265.467,2799
265.865,2753
266.263,2740
266.661,2732
267.059,2777
267.457,2772
267.855,2711
268.253,2648
268.651,2695
269.049,2651
269.448,2635
269.846,2647
270.244,2655
270.642,2692
271.04,2653
271.438,2633
271.837,2728
272.235,2711
272.633,2594
273.031,2632
273.43,2583
273.828,2598
274.226,2579
274.624,2662
275.023,2632
275.421,2588
275.82,2661
276.218,2653
276.616,2596
277.015,2653
277.413,2596
277.812,2673
278.21,2672
278.608,2596
279.007,2633
279.405,2594
279.804,2677
280.203,2601
