Energy, Data
-13.5786,0
-13.1919,0
-12.8053,0
-12.4186,0
-12.0319,0
-11.6452,0
-11.2584,0
-10.8717,0
-10.4849,0
-10.0981,0
-9.71133,0
-9.32452,0
-8.93769,0
-8.55084,0
-8.16398,0
-7.7771,0
-7.3902,0
-7.00329,0
-6.61636,0
-6.22941,0
-5.84245,0
-5.45547,0
-5.06848,0
-4.68147,0
-4.29444,0
-3.9074,0
-3.52034,0
-3.13327,0
-2.74617,0
-2.35906,0
-1.97194,0
-1.5848,0
-1.19764,12
-0.810468,10
-0.423278,10
-0.0360717,10
0.351151,13
0.73839,12
1.12565,14
1.51292,14
1.9002,26
2.28751,19
2.67483,13
3.06217,19
3.44952,10
3.83689,22
4.22428,15
4.61168,16
4.9991,14
5.38653,10
5.77398,21
6.16145,19
6.54893,17
6.93643,19
7.32395,14
7.71148,16
8.09903,27
8.4866,13
8.87418,20
9.26178,13
9.64939,15
10.037,14
10.4247,13
10.8123,14
11.2,17
11.5877,18
11.9754,18
12.3632,23
12.7509,30
13.1387,14
13.5264,25
13.9142,23
14.302,26
14.6899,32
15.0777,19
15.4656,20
15.8534,33
16.2413,21
16.6292,28
17.0172,40
17.4051,26
17.7931,32
18.181,42
18.569,25
18.957,41
19.3451,30
19.7331,19
20.1212,29
20.5092,29
20.8973,26
21.2854,31
21.6735,43
22.0617,27
22.4498,52
22.838,47
23.2262,49
23.6144,32
24.0026,46
24.3908,52
24.7791,37
25.1674,45
25.5556,43
25.944,44
26.3323,42
26.7206,52
27.1089,57
27.4973,43
27.8857,62
28.2741,53
28.6625,61
29.0509,48
29.4394,52
29.8279,40
30.2163,71
30.6048,63
30.9933,58
31.3819,56
31.7704,62
32.159,71
32.5476,70
32.9361,85
33.3248,70
33.7134,76
34.102,76
34.4907,72
34.8794,83
35.2681,82
35.6568,81
36.0455,100
36.4342,103
36.823,101
37.2118,105
37.6006,101
37.9894,104
38.3782,139
38.767,122
39.1559,109
39.5448,141
39.9336,142
40.3225,185
40.7115,174
41.1004,187
41.4894,177
41.8783,182
42.2673,228
42.6563,263
43.0453,293
43.4344,337
43.8234,395
44.2125,438
44.6016,506
44.9907,629
45.3798,643
45.7689,794
46.1581,940
46.5472,1030
46.9364,1191
47.3256,1257
47.7148,1504
48.1041,1626
48.4933,1732
48.8826,1977
49.2719,2095
49.6612,2279
50.0505,2566
50.4398,2567
50.8291,2725
51.2185,2891
51.6079,3077
51.9973,3155
52.3867,3422
52.7761,3494
53.1656,3567
53.555,3714
53.9445,3812
54.334,3930
54.7235,3991
55.113,3989
55.5026,4072
55.8921,4299
56.2817,4214
56.6713,4363
57.0609,4514
57.4505,4452
57.8401,4605
58.2298,4637
58.6195,4769
59.0092,4877
59.3989,4812
59.7886,4946
60.1783,5052
60.5681,5225
60.9579,5278
61.3476,5568
61.7374,5537
62.1273,5753
62.5171,5973
62.9069,6153
63.2968,6371
63.6867,6593
64.0766,6785
64.4665,7053
64.8565,7300
65.2464,7507
65.6364,7864
66.0264,8173
66.4163,8472
66.8064,8838
67.1964,9358
67.5864,9481
67.9765,9641
68.3666,10282
68.7567,10390
69.1468,10695
69.5369,11213
69.9271,11483
70.3172,11638
70.7074,12097
71.0976,12132
71.4878,12289
71.878,12494
72.2683,12671
72.6585,12699
73.0488,12705
73.4391,12636
73.8294,12660
74.2197,12557
74.6101,12492
75.0005,12484
75.3908,12257
75.7812,12080
76.1716,11954
76.562,11869
76.9525,11612
77.3429,11405
77.7334,11502
78.1239,11243
78.5144,11124
78.9049,10917
79.2955,10991
79.686,10815
80.0766,10764
80.4672,10777
80.8578,10493
81.2484,10675
81.639,10375
82.0297,10388
82.4203,10543
82.811,10547
83.2017,10416
83.5925,10629
83.9832,10598
84.3739,10474
84.7647,10311
85.1555,10501
85.5463,10429
85.9371,10254
86.3279,10323
86.7188,10404
87.1096,10130
87.5005,9859
87.8914,10007
88.2823,9888
88.6733,9776
89.0642,9796
