Photon,Total Attenuation,
Energy,,
,,
,With Coherent,Without Coherent
,Scattering,Scattering
MeV,cm2/g,cm2/g
1.00E-03,5.79E+03,5.78E+03
1.50E-03,2.56E+03,2.55E+03
2.00E-03,1.38E+03,1.37E+03
2.48E-03,8.48E+02,8.38E+02
2.48E-03,1.04E+03,1.03E+03
2.53E-03,1.09E+03,1.08E+03
2.58E-03,1.15E+03,1.14E+03
2.58E-03,1.68E+03,1.67E+03
2.58E-03,1.69E+03,1.68E+03
2.59E-03,1.70E+03,1.69E+03
2.59E-03,1.86E+03,1.85E+03
2.64E-03,1.85E+03,1.84E+03
2.69E-03,1.84E+03,1.83E+03
2.69E-03,2.22E+03,2.21E+03
3.00E-03,1.80E+03,1.79E+03
3.07E-03,1.70E+03,1.69E+03
3.07E-03,1.80E+03,1.79E+03
3.12E-03,1.72E+03,1.71E+03
3.18E-03,1.64E+03,1.63E+03
3.18E-03,1.79E+03,1.78E+03
3.36E-03,1.56E+03,1.55E+03
3.55E-03,1.36E+03,1.35E+03
3.55E-03,1.39E+03,1.38E+03
3.63E-03,1.32E+03,1.31E+03
3.70E-03,1.26E+03,1.25E+03
3.70E-03,1.31E+03,1.30E+03
3.77E-03,1.24E+03,1.23E+03
3.85E-03,1.18E+03,1.18E+03
3.85E-03,1.20E+03,1.19E+03
3.89E-03,1.17E+03,1.17E+03
3.93E-03,1.15E+03,1.14E+03
3.93E-03,1.24E+03,1.23E+03
3.96E-03,1.22E+03,1.21E+03
4.00E-03,1.20E+03,1.19E+03
4.00E-03,1.23E+03,1.22E+03
4.00E-03,1.23E+03,1.22E+03
4.16E-03,1.12E+03,1.11E+03
4.16E-03,1.16E+03,1.16E+03
4.31E-03,1.07E+03,1.06E+03
4.47E-03,9.80E+02,9.72E+02
4.47E-03,1.00E+03,9.94E+02
5.00E-03,7.63E+02,7.55E+02
6.00E-03,4.87E+02,4.80E+02
8.00E-03,2.37E+02,2.31E+02
1.00E-02,1.35E+02,1.30E+02
1.30E-02,6.86E+01,6.50E+01
1.30E-02,9.90E+01,9.54E+01
1.32E-02,9.54E+01,9.18E+01
1.34E-02,9.18E+01,8.83E+01
1.34E-02,1.40E+02,1.36E+02
1.50E-02,1.04E+02,1.01E+02
1.52E-02,1.00E+02,9.72E+01
1.52E-02,1.13E+02,1.10E+02
1.55E-02,1.09E+02,1.06E+02
1.57E-02,1.04E+02,1.01E+02
1.57E-02,1.25E+02,1.22E+02
1.58E-02,1.23E+02,1.20E+02
1.59E-02,1.22E+02,1.19E+02
1.59E-02,1.29E+02,1.26E+02
1.61E-02,1.24E+02,1.21E+02
1.64E-02,1.19E+02,1.16E+02
1.64E-02,1.29E+02,1.26E+02
2.00E-02,7.80E+01,7.58E+01
2.92E-02,2.93E+01,2.80E+01
2.92E-02,3.49E+01,3.36E+01
3.00E-02,3.26E+01,3.14E+01
4.00E-02,1.55E+01,1.46E+01
5.00E-02,8.63E+00,8.02E+00
6.00E-02,5.37E+00,4.91E+00
8.00E-02,2.57E+00,2.28E+00
8.80E-02,2.02E+00,1.78E+00
8.80E-02,3.87E+00,3.62E+00
8.93E-02,3.73E+00,3.49E+00
9.05E-02,3.60E+00,3.37E+00
9.05E-02,6.50E+00,6.27E+00
1.00E-01,5.05E+00,4.85E+00
1.50E-01,1.83E+00,1.74E+00
2.00E-01,9.13E-01,8.55E-01
3.00E-01,3.73E-01,3.45E-01
4.00E-01,2.18E-01,2.02E-01
5.00E-01,1.53E-01,1.43E-01
6.00E-01,1.20E-01,1.12E-01
8.00E-01,8.62E-02,8.19E-02
1.00E+00,6.96E-02,6.68E-02
1.02E+00,6.83E-02,6.56E-02
1.25E+00,5.80E-02,5.62E-02
1.50E+00,5.17E-02,5.04E-02
2.00E+00,4.56E-02,4.49E-02
2.04E+00,4.53E-02,4.46E-02
3.00E+00,4.17E-02,4.14E-02
4.00E+00,4.12E-02,4.10E-02
5.00E+00,4.18E-02,4.17E-02
6.00E+00,4.29E-02,4.28E-02
7.00E+00,4.42E-02,4.41E-02
8.00E+00,4.55E-02,4.55E-02
9.00E+00,4.69E-02,4.69E-02
1.00E+01,4.83E-02,4.83E-02
1.10E+01,4.97E-02,4.97E-02
1.20E+01,5.11E-02,5.10E-02
1.30E+01,5.24E-02,5.24E-02
1.40E+01,5.36E-02,5.36E-02
1.50E+01,5.48E-02,5.48E-02
1.60E+01,5.60E-02,5.60E-02
1.80E+01,5.81E-02,5.81E-02
2.00E+01,6.00E-02,6.00E-02
2.20E+01,6.18E-02,6.18E-02
2.40E+01,6.35E-02,6.35E-02
2.60E+01,6.51E-02,6.51E-02
2.80E+01,6.65E-02,6.65E-02
3.00E+01,6.78E-02,6.78E-02
4.00E+01,7.34E-02,7.34E-02
5.00E+01,7.77E-02,7.77E-02
6.00E+01,8.11E-02,8.11E-02
8.00E+01,8.61E-02,8.61E-02
1.00E+02,8.98E-02,8.98E-02
1.50E+02,9.55E-02,9.55E-02
2.00E+02,9.90E-02,9.90E-02
3.00E+02,1.03E-01,1.03E-01
4.00E+02,1.05E-01,1.05E-01
5.00E+02,1.07E-01,1.07E-01
6.00E+02,1.08E-01,1.08E-01
8.00E+02,1.10E-01,1.10E-01
1.00E+03,1.11E-01,1.11E-01
1.50E+03,1.12E-01,1.12E-01
2.00E+03,1.13E-01,1.13E-01
3.00E+03,1.14E-01,1.14E-01
4.00E+03,1.14E-01,1.14E-01
5.00E+03,1.14E-01,1.14E-01
6.00E+03,1.14E-01,1.14E-01
8.00E+03,1.15E-01,1.15E-01
1.00E+04,1.15E-01,1.15E-01
1.50E+04,1.15E-01,1.15E-01
2.00E+04,1.15E-01,1.15E-01
3.00E+04,1.15E-01,1.15E-01
4.00E+04,1.15E-01,1.15E-01
5.00E+04,1.15E-01,1.15E-01
6.00E+04,1.15E-01,1.15E-01
8.00E+04,1.15E-01,1.15E-01
1.00E+05,1.16E-01,1.16E-01
