(required),Total Attenuation,
Photon,,
Energy,,
,With Coherent,Without Coherent
,Scattering,Scattering
MeV,cm2/g,cm2/g
1.00E-03,5.21E+03,5.20E+03
1.50E-03,2.36E+03,2.34E+03
2.00E-03,1.29E+03,1.27E+03
2.48E-03,8.01E+02,7.90E+02
2.48E-03,1.40E+03,1.39E+03
2.53E-03,1.65E+03,1.64E+03
2.59E-03,1.94E+03,1.93E+03
2.59E-03,2.45E+03,2.44E+03
3.00E-03,1.97E+03,1.96E+03
3.07E-03,1.86E+03,1.85E+03
3.07E-03,2.15E+03,2.14E+03
3.30E-03,1.79E+03,1.78E+03
3.55E-03,1.50E+03,1.49E+03
3.55E-03,1.59E+03,1.58E+03
3.70E-03,1.44E+03,1.43E+03
3.85E-03,1.31E+03,1.30E+03
3.85E-03,1.37E+03,1.36E+03
4.00E-03,1.25E+03,1.24E+03
5.00E-03,7.31E+02,7.22E+02
6.00E-03,4.67E+02,4.60E+02
8.00E-03,2.29E+02,2.23E+02
1.00E-02,1.31E+02,1.26E+02
1.30E-02,6.70E+01,6.32E+01
1.30E-02,1.62E+02,1.58E+02
1.50E-02,1.12E+02,1.08E+02
1.52E-02,1.08E+02,1.05E+02
1.52E-02,1.49E+02,1.45E+02
1.55E-02,1.41E+02,1.38E+02
1.59E-02,1.34E+02,1.31E+02
1.59E-02,1.55E+02,1.52E+02
2.00E-02,8.64E+01,8.40E+01
3.00E-02,3.03E+01,2.89E+01
4.00E-02,1.44E+01,1.34E+01
5.00E-02,8.04E+00,7.39E+00
6.00E-02,5.02E+00,4.53E+00
8.00E-02,2.42E+00,2.11E+00
8.80E-02,1.91E+00,1.65E+00
8.80E-02,7.68E+00,7.42E+00
1.00E-01,5.55E+00,5.34E+00
1.50E-01,2.02E+00,1.91E+00
2.00E-01,9.99E-01,9.36E-01
3.00E-01,4.03E-01,3.73E-01
4.00E-01,2.32E-01,2.15E-01
5.00E-01,1.61E-01,1.50E-01
6.00E-01,1.25E-01,1.17E-01
8.00E-01,8.87E-02,8.41E-02
1.00E+00,7.10E-02,6.80E-02
1.02E+00,6.96E-02,6.68E-02
1.25E+00,5.88E-02,5.68E-02
1.50E+00,5.22E-02,5.09E-02
2.00E+00,4.61E-02,4.53E-02
2.04E+00,4.58E-02,4.50E-02
3.00E+00,4.23E-02,4.20E-02
4.00E+00,4.20E-02,4.18E-02
5.00E+00,4.27E-02,4.26E-02
6.00E+00,4.39E-02,4.38E-02
7.00E+00,4.53E-02,4.52E-02
8.00E+00,4.68E-02,4.67E-02
9.00E+00,4.82E-02,4.82E-02
1.00E+01,4.97E-02,4.97E-02
1.10E+01,5.12E-02,5.11E-02
1.20E+01,5.26E-02,5.26E-02
1.30E+01,5.40E-02,5.40E-02
1.40E+01,5.53E-02,5.53E-02
1.50E+01,5.66E-02,5.66E-02
1.60E+01,5.78E-02,5.78E-02
1.80E+01,6.00E-02,6.00E-02
2.00E+01,6.21E-02,6.21E-02
2.20E+01,6.39E-02,6.39E-02
2.40E+01,6.57E-02,6.57E-02
2.60E+01,6.73E-02,6.73E-02
2.80E+01,6.88E-02,6.88E-02
3.00E+01,7.02E-02,7.02E-02
4.00E+01,7.61E-02,7.61E-02
5.00E+01,8.06E-02,8.06E-02
6.00E+01,8.41E-02,8.41E-02
8.00E+01,8.93E-02,8.93E-02
1.00E+02,9.31E-02,9.31E-02
1.50E+02,9.91E-02,9.91E-02
2.00E+02,1.03E-01,1.03E-01
3.00E+02,1.07E-01,1.07E-01
4.00E+02,1.09E-01,1.09E-01
5.00E+02,1.11E-01,1.11E-01
6.00E+02,1.12E-01,1.12E-01
8.00E+02,1.14E-01,1.14E-01
1.00E+03,1.15E-01,1.15E-01
1.50E+03,1.16E-01,1.16E-01
2.00E+03,1.17E-01,1.17E-01
3.00E+03,1.18E-01,1.18E-01
4.00E+03,1.18E-01,1.18E-01
5.00E+03,1.18E-01,1.18E-01
6.00E+03,1.19E-01,1.19E-01
8.00E+03,1.19E-01,1.19E-01
1.00E+04,1.19E-01,1.19E-01
1.50E+04,1.19E-01,1.19E-01
2.00E+04,1.19E-01,1.19E-01
3.00E+04,1.20E-01,1.20E-01
4.00E+04,1.20E-01,1.20E-01
5.00E+04,1.20E-01,1.20E-01
6.00E+04,1.20E-01,1.20E-01
8.00E+04,1.20E-01,1.20E-01
1.00E+05,1.20E-01,1.20E-01
